;1;2;3;4;5;6;7;8
11;0.1990546462408766;0.17619827439041932;0.2529494641224985;0.21380477667529801;0.1765679533553206;0.21324943258141;0.1527194745603174;0.2775534189434107
10;0.21761130980290647;0.2126012535073182;0.26474476977198697;0.2669477397933122;0.2387449454171055;0.25183940192074333;0.24967571125673493;0.26294409499451993
9;0.3324399585317677;0.2653594443623103;0.30833920062858466;0.2548697522574148;0.26125960161684997;0.29705531022979054;0.31209482219047174;0.3352673136791894
8;0.18141459584367012;0.1710250511213486;0.19294346663169284;0.1479626668461981;0.14381561044070407;0.1985441162456856;0.13978776368685686;0.2576595571442669
7;0.11320963945845659;0.1663392861229768;0.15314977766039348;0.16868875601801647;0.13238392344072525;0.17593658900503126;0.14132117733852043;0.26038698184558934
6;0.18429108881785292;0.1869241261234138;0.19454793778735766;0.1972415024791312;0.1817383445613374;0.23862537532105169;0.17803961801402585;0.3046946082575866
5;0.20708254733030507;0.19337719842988627;0.1968484421919232;0.19180977377615;0.16769965353600874;0.22427497608293528;0.22472284530738063;0.3089800156456289
4;0.2511445557810272;0.25403835831921384;0.2985205304424225;0.2695235376864972;0.22918599037078657;0.29692975463998217;0.25946571323943907;0.3455214996333757
3;0.2383731950887242;0.18542371306851707;0.20352926491332343;0.22694880753026245;0.1745584895634238;0.2359344431572282;0.1811040116633601;0.3108183121915863
2;0.19094023342479244;0.1540259865654237;0.22643215566484667;0.11635311210614978;0.11045026666068371;0.2110335990217116;0.1147475607691206;0.24411059203445973
1;0.093496444608705;0.0755683546452563;0.10666087660763886;0.06671183413291495;0.008016572198233408;0.11883621673804005;0.013826897628914994;0.16098696682456248
0;0.44602999782608715;0.3462888967980184;0.4175017246639905;0.36393746277185435;0.37742643800043696;0.4091909562446149;0.39348611419308854;0.47553689664699955
