;number;text;x1;y1;x2;y2;fixations;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;pupil;fix_duration_avg;fix_distance
0;0;A;219;294;230;312;[];0.0;0.0;0;;;303.0;;1;477.10112693285646;;;[]
1;1;woodchuck,;238;293;342;317;[2419.0];0.3563;0.3563;1;10.6968;8.8853;305.0;2.0;1;370.89684458161895;9.79;0.3563;[2.129599999999982]
2;2;formally;351;293;424;318;[];0.0;0.0;0;;;305.5;0.5;1;297.2405450819279;;;[]
3;3;known;432;293;488;313;[2420.0];0.275;0.275;1;8.2473;7.8094;303.0;2.5;1;247.04940566737173;8.03;0.275;[12.56031999999999]
4;4;as;497;298;515;313;[];0.0;0.0;0;;;305.5;2.5;1;226.55390360927706;;;[]
5;5;a;523;298;532;313;[];0.0;0.0;0;;;305.5;0.0;1;214.389882318643;;;[]
6;6;Groundhog,;540;293;645;318;[2421.0, 2422.0, 2426.0];0.7929;0.3075;3;8.858;8.679;305.5;0.0;1;153.25304838926237;8.77;0.2643;[61.17696000000001, 1.5596800000000144, 4.887679999999989]
7;7;does;654;293;694;313;[];0.0;0.0;0;;;303.0;2.5;1;153.90303999999998;;;[]
8;8;not;703;295;730;313;[2423.0];0.1941;0.1941;1;8.1452;7.8394;304.0;1.0;1;155.43171118083205;7.99;0.1941;[35.784640000000024]
9;9;chuck;738;293;788;313;[2451.0];0.2103;0.2103;1;9.1136;8.3401;303.0;1.0;1;164.03112156112812;8.73;0.2103;[38.70303999999999]
10;10;wood.;796;293;848;313;[2424.0, 2425.0];0.4525;0.21;2;9.8686;8.1486;303.0;0.0;1;191.97056659967845;9.01;0.2263;[2.7455999999999676, 25.33983999999998]
11;11;They;856;293;899;318;[];0.0;0.0;0;;;305.5;2.5;1;229.5825342673122;;;[]
12;12;actually;907;293;975;318;[];0.0;0.0;0;;;305.5;0.0;1;270.4314908449117;;;[]
13;13;get;983;295;1011;318;[];0.0;0.0;0;;;306.5;1.0;1;336.4855456637054;;;[]
14;14;that;1018;293;1053;313;[];0.0;0.0;0;;;303.0;3.5;1;370.24822057722514;;;[]
15;15;name;230;403;278;418;[];0.0;0.0;0;;;410.5;107.5;2;406.2088359952324;;;[]
16;16;from;285;398;326;418;[];0.0;0.0;0;;;408.0;2.5;2;358.60451201930186;;;[]
17;17;the;334;398;362;418;[];0.0;0.0;0;;;408.0;0.0;2;322.9781404996345;;;[]
18;18;Algonquin;370;398;458;422;[2418.0, 2427.0];0.5812;0.2578;2;7.7716;8.5578;410.0;2.0;2;227.72529530247976;8.16;0.2906;[27.689599999999984, 27.136129765727496]
19;19;tribe;466;398;506;418;[];0.0;0.0;0;;;408.0;2.0;2;181.94947661535497;;;[]
20;20;of;514;398;531;418;[];0.0;0.0;0;;;408.0;0.0;2;158.01231610416198;;;[]
