;number;text;x1;y1;x2;y2;fixations;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;pupil;fix_duration_avg;fix_distance
73;73;learning;233;765;302;789;[];0.0;0.0;0;;;777.0;104.5;6;426.9941005782183;;;[]
74;74;algorithms,;311;765;411;789;[2552.0, 2559.0];0.6632;0.3721;2;15.9328;15.3387;777.0;0.0;6;376.12297819809095;15.64;0.3316;[15.42175999999995, 26.76768000000004]
75;75;we;420;770;444;784;[];0.0;0.0;0;;;777.0;0.0;6;370.5792464893327;;;[]
76;76;are;452;770;479;784;[2553.0];0.3397;0.3397;1;14.0273;12.3769;777.0;0.0;6;362.7123514971631;13.2;0.3397;[28.80831999999998]
77;77;on;487;770;507;784;[];0.0;0.0;0;;;777.0;0.0;6;358.7607385551011;;;[]
78;78;the;516;765;543;784;[];0.0;0.0;0;;;774.5;2.5;6;351.8581377893676;;;[]
79;79;right;552;765;593;789;[];0.0;0.0;0;;;777.0;2.5;6;351.9499423619808;;;[]
80;80;rack;601;765;637;784;[2554.0];0.2749;0.2749;1;12.6947;13.1408;774.5;2.5;6;356.4583323876742;12.92;0.2749;[27.535679999999957]
81;81;to;644;766;661;784;[];0.0;0.0;0;;;775.0;0.5;6;366.777810463776;;;[]
82;82;establish;669;765;746;784;[];0.0;0.0;0;;;774.5;0.5;6;373.4310221829483;;;[]
83;83;successful;755;765;844;784;[2555.0];0.3075;0.3075;1;13.513;13.9362;774.5;0.0;6;410.319557818783;13.72;0.3075;[42.79324387797678]
84;84;computer;853;766;938;789;[2556.0];0.3396;0.3396;1;14.4429;14.1366;777.5;3.0;6;469.08892019381744;14.29;0.3396;[6.447999999999979]
85;85;vision;945;766;995;784;[2557.0];0.3236;0.3236;1;14.2035;12.9199;775.0;2.5;6;534.2105403757976;13.56;0.3236;[5.751679999999965]
86;86;jobs.;1002;765;1045;789;[2558.0];0.1294;0.1294;1;14.7155;10.8401;777.0;2.0;6;577.6239277666756;12.78;0.1294;[5.142720000000054]
