;phi-1_5;roberta-base;bert-large-uncased;Meta-Llama-3-8B-Instruct;roberta-large;Mistral-7B-Instruct-v0.1;bert-base-cased;Eurus-RM-7b;UltraRM-13b;Llama-3.1-8B-Instruct;Llama-2-7b-hf;Mistral-7B-v0.1;Llama-3.1-8B;QRM-Llama3.1-8B;bert-base-uncased;Meta-Llama-3-8B;Llama-2-7b-chat-hf
1;0.1457937077894985;0.3012942389587961;0.3372359566061242;0.1806449725054098;0.3285093439477398;0.2312759981476312;0.327223606981897;0.220879316358912;0.2089956837206861;0.1881083583019912;0.2678308325349302;0.2185671325507386;0.180255685488063;0.1904720885311397;0.3492988949594799;0.1769976853459927;0.2498260004573356
2;0.1752217054481789;0.2330968241201033;0.2554656693282869;0.2094306009702441;0.2444837942236501;0.223903144645438;0.2337681460976658;0.2185264381691108;0.2201626965086987;0.2092156161296061;0.2167646393507678;0.2183713381399647;0.2149421734984537;0.2097607299461198;0.2506980194651457;0.2167524905529679;0.2361831375459796
3;0.1731923993497718;0.2295920137171209;0.2923709284775055;0.197807443972446;0.2646834433333114;0.223984987786138;0.2760372503923493;0.2237965077936799;0.2076866413136413;0.1972011291706872;0.2435053377372947;0.2198120251346142;0.1979329759613571;0.1992461462017657;0.2799997005836618;0.2006914075621646;0.2375823118665511
4;0.2181939456729681;0.2618568431491161;0.3211282431561549;0.2430121824177793;0.3041078513260529;0.2690277936916943;0.2808522173779498;0.2675065785222594;0.2275075436019999;0.2413829876131105;0.2686940872364618;0.259369942156227;0.2436279385588662;0.2436683939477452;0.3059557306178367;0.2461203935566497;0.2556028150340785
5;0.1766966603008887;0.2630548542724273;0.3138911655577605;0.227531246610742;0.2713711137147577;0.2335114240580921;0.3009529893568028;0.2451438729425459;0.2223722803258343;0.2317599210443671;0.2663292162284675;0.2492631285859479;0.2295819071489737;0.2292604295620939;0.3191864182386605;0.2281785027411181;0.2629389181318883
6;0.2216014373891228;0.3415923639989627;0.3682048278835174;0.2522519117136115;0.3522343363463736;0.272863993288845;0.3488755312764692;0.2805032317352165;0.2669022977044341;0.2468932014123184;0.2773553126492691;0.2658111981536565;0.2547214621779409;0.2488761569605869;0.3961288709638735;0.2577574322458631;0.2818596084387261
7;0.1687290968564044;0.2639564646031841;0.326816279720268;0.1993115647947534;0.2963297100067785;0.2107359438886349;0.3060072990153318;0.2170792465395061;0.2169351860319156;0.2019237605611572;0.2559647784727883;0.2124280947747863;0.2021503871543636;0.2006506661064831;0.3279992426095812;0.2087438160043332;0.2435021509849876
8;0.2132830937350655;0.2551615201409438;0.3102858902066114;0.227315028810924;0.2695179614433146;0.2452380018422007;0.2802871573023072;0.2550032338315862;0.2465480372251972;0.230538055078657;0.2655466763828326;0.2611251986538638;0.2297257688283952;0.2277452218456275;0.3123462080270363;0.2318517926436594;0.2531554126608432
mean;0.18658900581773732;0.2687006403700818;0.3156748701170286;0.21716311897448876;0.2914046942927473;0.23881766091858425;0.2942505247250966;0.2410548032366021;0.22713879580405089;0.21837787866398684;0.25774886007410147;0.23809350726872486;0.21911728735205166;0.21870997913769522;0.31770163568315946;0.2208866900815936;0.2525812943900487
std;0.02758646844592392;0.03675632092218532;0.0329037372193002;0.024485108589370693;0.035973394729432444;0.022133014428505966;0.03508885053689983;0.02465304303961921;0.0201460695380287;0.02200224422724313;0.019368799741032502;0.022801458506669654;0.02494217272264717;0.021739744629659205;0.04364635593187078;0.02582421508747491;0.0149181134203158
