;phi-1_5;roberta-base;bert-large-uncased;Meta-Llama-3-8B-Instruct;roberta-large;Mistral-7B-Instruct-v0.1;bert-base-cased;Eurus-RM-7b;UltraRM-13b;Llama-3.1-8B-Instruct;Llama-2-7b-hf;Mistral-7B-v0.1;Llama-3.1-8B;QRM-Llama3.1-8B;bert-base-uncased;Meta-Llama-3-8B;Llama-2-7b-chat-hf
1;0.1770872994511477;0.3529597641840313;0.3813221346279665;0.226627972227936;0.3677344826754928;0.269106219490632;0.3758312125997091;0.2697556536014435;0.2438739745834744;0.2313759204998172;0.3059656403488244;0.2580702065182101;0.2266391266185803;0.2330762857412433;0.3958095297821314;0.2240817902210783;0.2869452458621983
2;0.1935075087870122;0.2802815173681005;0.3038705839366916;0.2197899663377448;0.2907601607817629;0.2481026835932744;0.2711612945473;0.242991566684184;0.24306739807351;0.221136153096442;0.2504731532756508;0.2406348389942496;0.2254346612815914;0.2231939185304338;0.2915358342572123;0.226169942374496;0.2627670099570407
3;0.1935509013594782;0.2610333703276741;0.3220664034807617;0.2152415914418701;0.3029006002724289;0.2535133502660058;0.3084276509755512;0.2529328077461849;0.2316003902161508;0.2205678285942477;0.2664067101578814;0.2495917767269811;0.2184157109969899;0.2200434455285659;0.3110518947864286;0.2238505217496709;0.2608196666942227
4;0.2460107762123308;0.2969932438478742;0.3623548082596994;0.2714298489214926;0.337723177464826;0.3037962712097639;0.3123251388485808;0.299397913724856;0.2600446973751638;0.2718880718620553;0.2993278258143546;0.2925448346247926;0.2709282965200589;0.2746394732496413;0.3416219070609851;0.2732963419467754;0.2809361500000811
5;0.1991336644024343;0.2913585870470629;0.3432280919977589;0.2452224361778986;0.3008396112419779;0.2544047569583746;0.3276444117620921;0.2675653353513483;0.2457904025241817;0.2499626699287458;0.2914142750979034;0.2652434130154745;0.2482924222464204;0.2483273245845595;0.3430035148080071;0.2480541714910241;0.2869569048986392
6;0.2104851964580441;0.3935926686587967;0.4098303751665221;0.2774305078378493;0.4015721114553193;0.2644233903163873;0.4007185435325931;0.2750933451129615;0.2706223666231604;0.2709516321969846;0.3190481305080911;0.2871979009012499;0.2680572349053628;0.2671107801523374;0.3901842379605017;0.2650684531380954;0.3127744847874109
7;0.189855880918516;0.2961648500073379;0.3613699947926095;0.2326025859604185;0.3304417666671648;0.2495478017111205;0.3376647660988385;0.2505934585851962;0.2479269207020832;0.2367873043511432;0.2900485193673857;0.2455763218874712;0.2375881226191762;0.2349085160383205;0.3557314912362899;0.2359336741096434;0.27985814535319
8;0.2182651596063858;0.3256709654971886;0.3763418132708603;0.2896685918839174;0.3463908104148288;0.3139378439623275;0.3481381233213824;0.3303855507736872;0.3202357941542688;0.2924384756117412;0.3313201603601758;0.3274792201048478;0.2893094967091406;0.2883787211704836;0.3766075798309117;0.2921030844996555;0.3174901808499921
mean;0.2034870483994186;0.3122568708672583;0.3575480256916087;0.2472516875986409;0.3347953401217252;0.26960403968848573;0.3352388927107559;0.2735894539474827;0.25789524303149913;0.24938850701764714;0.2942505518662834;0.2707923140966596;0.24808313398716506;0.24870980812444815;0.3506932487153085;0.24856974744130486;0.2860684735503468
std;0.02129942898874732;0.0431395003153071;0.03387971400924319;0.028579169515912592;0.03744609085048327;0.025400144341548147;0.040558764500193044;0.02887625438049281;0.027791877016045203;0.026556943760442455;0.02637514923656882;0.029624182731021922;0.025589124257653074;0.025333252886256968;0.036847972162444766;0.025776929894194403;0.02051989327581295
