;phi-1_5;roberta-base;bert-large-uncased;Meta-Llama-3-8B-Instruct;roberta-large;Mistral-7B-Instruct-v0.1;bert-base-cased;Eurus-RM-7b;UltraRM-13b;Llama-3.1-8B-Instruct;Llama-2-7b-hf;Mistral-7B-v0.1;Llama-3.1-8B;QRM-Llama3.1-8B;bert-base-uncased;Meta-Llama-3-8B;Llama-2-7b-chat-hf
1;0.122409490625648;0.3099421733556594;0.3626282849014387;0.2153280494101372;0.3132227581490738;0.2721011778186322;0.3514145618406788;0.2537315006142651;0.2635566427268055;0.2118151070247801;0.331627130139384;0.273734783145551;0.2199623315389272;0.2131209343362575;0.4026970772869875;0.2164096290110917;0.3007641226476807
2;0.1374166994970856;0.2707727048261442;0.3711166584152721;0.2391086241925993;0.3634400209002171;0.2397261018147914;0.3704911538779424;0.257572170812977;0.2430121178702829;0.2316456143849435;0.291897971577011;0.2680764734725347;0.2430039719453021;0.2397380303569352;0.3720249280984553;0.2443829665777169;0.2892260011678691
3;0.1616227181543972;0.3458699988364699;0.3954612709194279;0.2614409284873205;0.3703400014946745;0.2598738834298446;0.4101870351731463;0.2539217473864281;0.2552619553571685;0.2816913267954037;0.2790171624653313;0.2551250382208881;0.2616316279928662;0.2747267336427647;0.4159040702705714;0.2556405116479657;0.2810213157974382
4;0.1351487795105004;0.2032539892196082;0.3201479801112146;0.2424744682408462;0.2115549197134001;0.2521781763047128;0.2443486170266554;0.2572993673728954;0.2138450819128074;0.2351160401380527;0.1932408359482393;0.2408471355113023;0.2350625887976216;0.2459876998669455;0.3102304963522741;0.2261737806881549;0.2163414804794454
5;0.1197444044350188;0.1950821723850813;0.2388673870418641;0.2046206045444449;0.2468623055614459;0.1833918906637957;0.2607808648404601;0.1840502029230107;0.1969399146243913;0.1961917810846673;0.1361996199595822;0.1800470003514279;0.200158979678729;0.2006352377350313;0.2991611190584203;0.2041750479316839;0.1186919414617633
6;0.1228081120985328;0.270479206014323;0.3668200115257329;0.2419084169821333;0.3578557647605503;0.2809205297829666;0.3649678962191811;0.2543309795232764;0.2728333461101177;0.2415707453038892;0.2859574557460187;0.2478116271356774;0.234114690436047;0.2391867448272381;0.3584965980580185;0.2272336889193571;0.2955209797404374
7;0.1596674060686445;0.2254402375714909;0.2809291981409484;0.1984238621793148;0.274722700982581;0.2198038555601432;0.2884070989236041;0.2524806001686516;0.2149644639758435;0.1930912682095554;0.2326462127835787;0.2610158873657947;0.1917450448498018;0.1903550400100656;0.2735207936971413;0.2302442593882465;0.2475757287384039
8;0.2218178246486866;0.3117920218489663;0.4555049404245052;0.3658131098628914;0.3287799015124197;0.3751448895757154;0.3977562312787182;0.4046996341223435;0.4305915012035455;0.3577885885983044;0.3808178906823776;0.414237633306246;0.3488634925064183;0.3626289225246356;0.4469838785484855;0.3752250879982619;0.379599248633931
mean;0.14757942937981422;0.2665790630072179;0.3489344664350505;0.24613975798746096;0.30834729663429533;0.2603925631188252;0.3360441823975483;0.264760775365481;0.2613756279726203;0.24361380894244955;0.26642553491269033;0.26761194731367777;0.24181784096821413;0.2457974179124842;0.3598773701712943;0.24743562152030982;0.2660926023333712
std;0.03408897433270746;0.054848745962025706;0.06770694495614839;0.0528969626547554;0.05861549697113179;0.05580320016785397;0.06314031836738011;0.06176353768556315;0.07339691847042867;0.05413994410237177;0.07744268001516598;0.06602191775459847;0.048811803993453896;0.05444288163719932;0.06131681832664069;0.053979629747400504;0.07583339507319392
