;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;563.3;False;False;66.25;169.9;;;7.27;11
1;563.1;False;False;5.54;36.4;;;;0
2;554.3;False;False;5.5;17.6;;;;0
3;554.1;False;False;10.49;53.18;;;;0
4;584.3;False;False;16.75;51.58;;;10.46;1
5;584.1;False;False;68.22;100.08;;;11.01;2
6;566.1;False;False;33.36;61.98;;;8.47;1
7;566.2;False;False;13.84;44.34;;;;0
8;567.4;False;False;85.48;165.8;;;5.93;1
9;567.1;False;False;43.98;62.38;;;11.32;2
10;544.1;False;False;9.88;36.58;;;;0
11;544.3;False;False;20.04;797.29;;;10.09;2
12;581.1;False;False;23.12;52.77;;;7.32;1
13;581.3;False;False;146.04;192.38;8.49;54.27;8.49;2
14;573.3;False;False;47.25;893.06;;;6.86;3
15;573.1;False;False;14.72;49.73;;;9.0;2
16;564.1;False;False;15.8;29.5;;;;0
17;564.6;False;False;20.92;40.02;;;13.93;2
18;550.2;False;False;61.73;88.88;;;9.61;2
19;550.1;False;False;52.39;97.08;;;20.06;4
20;583.1;False;True;7.86;5.74;;;;0
21;583.4;True;False;359.96;419.8;203.91;263.34;;0
22;543.3;False;False;30.46;69.38;;;5.68;1
23;543.1;False;False;4.29;58.64;;;;0
24;578.2;False;False;14.97;42.03;;;;0
25;578.1;False;False;12.12;66.85;;;;0
26;542.1;False;False;36.6;60.71;;;9.34;1
27;542.4;False;False;125.61;165.3;14.45;50.1;19.98;1
28;561.1;False;True;10.03;7.67;;;;0
29;561.2;False;False;2.24;4.05;;;;0
30;541.1;False;False;143.28;155.46;8.0;35.03;8.0;2
31;541.2;False;False;45.92;187.3;;;13.64;7
32;574.1;False;False;9.17;14.94;;;;0
33;574.3;False;False;10.36;147.0;;;;0
34;576.1;False;False;51.07;67.86;;;12.28;2
35;576.4;False;False;13.55;40.9;;;;0
36;559.1;False;False;19.86;37.66;;;15.26;2
37;559.3;False;False;63.68;130.69;;;8.33;5
38;545.1;False;False;18.28;46.11;;;;0
39;545.2;False;False;7.44;60.55;;;;0
