;1;2;3;4;5;6;7;8
11;0.14715972436313896;0.09874471732773704;0.15676586542359008;0.11907595949693811;0.09542026087639725;0.18103776381057027;0.12838320808159484;0.17001378899920855
10;0.19591772274899133;0.12529949647574026;0.18171039626163704;0.10462061168162806;0.1705135431450224;0.22153769966111236;0.1915332158499215;0.17545455128198578
9;0.17097735789926355;0.11762018488340067;0.19917468203710736;0.12058802407737612;0.13019873070383808;0.20617122780853023;0.14755546261083474;0.1748317980552955
8;0.15094415453281113;0.11062530921146141;0.17580863311519868;0.11662738525468104;0.11578151243183804;0.1799194354047203;0.14850173957850124;0.1550068700288434
7;0.1755539001839535;0.13128618986785648;0.20236784485361198;0.16043692735100276;0.18769781976871105;0.18862961050138646;0.17092837079211792;0.19033897378386166
6;0.18456032751308846;0.1250136397499392;0.19700240692092424;0.154827567419387;0.18166943447275788;0.20467651165361542;0.18349644828899458;0.16881116669852272
5;0.19364051078992198;0.14579286362561578;0.20324050745153005;0.1625997989714199;0.17043009765695338;0.20103055852547722;0.19028679086527256;0.18273065588518092
4;0.19249997253645604;0.11939595504183886;0.16646005923222207;0.14641633850556546;0.16491749741639755;0.20422933138153165;0.17448017207804142;0.17893289850100338
3;0.15180480641956298;0.0831065829060485;0.1704861487636623;0.13542076983991208;0.14751534242699704;0.18323277967618762;0.17818607784341528;0.16308667622544637
2;0.22822161459367296;0.14830269191902948;0.20234954164788768;0.16954032602962402;0.20978366921239477;0.2608179309437144;0.20396446639861032;0.2095879876525722
1;0.20783186827691283;0.12138902487411347;0.17827750510657775;0.14076150565979104;0.16710970970811534;0.22289628154383714;0.19405515105075372;0.19917301605955526
0;0.3211641796006676;0.19244565898222754;0.27565704956320486;0.24104803528947494;0.26974911598065876;0.31116178556954516;0.26597048575948323;0.2505809073333225
