;number;text;x1;y1;x2;y2;fixations;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;pupil;fix_duration_avg;fix_distance
0;0;Good;48;354;105;373;[];0.0;0.0;0;;;363.5;;1;1098.2285163406134;;;[]
1;1;evening,;124;354;236;378;[758];0.3718;0.3718;1;20.488;20.4641;366.0;2.5;1;967.5998291151695;20.48;0.3718;[27.774080000000026]
2;2;sir/madam.;260;354;401;373;[759];0.243;0.243;1;19.9688;20.5543;363.5;2.5;1;805.0112439610426;20.26;0.243;[9.475199999999973]
3;3;Welcome;422;354;525;373;[760];0.2748;0.2748;1;19.9275;19.7351;363.5;0.0;1;682.8909503747325;19.83;0.2748;[15.271040000000028]
4;4;to;544;355;570;373;[];0.0;0.0;0;;;364.0;0.5;1;638.7522415645251;;;[]
5;5;our;589;359;630;373;[761];0.113;0.113;1;16.7609;15.8169;366.0;2.0;1;580.1065368565548;16.29;0.113;[0.0]
6;6;restaurant.;652;355;806;373;[795];0.6145;0.6145;1;6.692;16.9893;364.0;2.0;1;410.34435161667017;11.84;0.6145;[36.845759999999984]
7;7;May;828;355;870;378;[];0.0;0.0;0;;;366.5;2.5;1;348.337917120295;;;[]
8;8;I;890;355;899;373;[];0.0;0.0;0;;;364.0;2.5;1;323.345322068691;;;[]
9;9;start;920;355;990;373;[];0.0;0.0;0;;;364.0;0.0;1;242.56669619654207;;;[]
10;10;you;1009;359;1050;378;[762];0.2425;0.2425;1;20.4526;20.5706;368.5;4.5;1;191.04137903529056;20.51;0.2425;[0.0]
11;11;off;1069;355;1110;373;[763];0.3073;0.3073;1;23.1306;22.3702;364.0;4.5;1;154.5216428326646;22.75;0.3073;[0.0]
12;12;with;1127;354;1185;373;[764];0.453;0.453;1;20.866;20.0404;363.5;0.5;1;129.03835903988238;20.45;0.453;[11.307200000000023]
13;13;a;1204;359;1215;373;[];0.0;0.0;0;;;366.0;2.5;1;128.86543874796533;;;[]
14;14;drink;40;453;112;472;[765];0.259;0.259;1;21.132;22.1454;462.5;96.5;2;1084.0776743498159;21.64;0.259;[5.808640000000025]
15;15;or;130;458;157;472;[];0.0;0.0;0;;;465.0;2.5;2;1039.095173708215;;;[]
16;16;perhaps;175;453;276;477;[766];0.307;0.307;1;20.1409;21.2039;465.0;0.0;2;920.0024465313695;20.67;0.307;[8.696640000000002]
17;17;an;296;458;321;472;[];0.0;0.0;0;;;465.0;0.0;2;875.1741765064286;;;[]
18;18;appetizer;341;453;472;477;[767];0.275;0.275;1;19.2541;19.7126;465.0;0.0;2;724.0914655095069;19.48;0.275;[5.993280000000027]
19;19;to;491;454;517;472;[];0.0;0.0;0;;;463.0;2.0;2;679.318620401138;;;[]
20;20;whet;534;453;591;472;[768];0.3396;0.3396;1;20.4018;19.0935;462.5;0.5;2;605.397468795258;19.75;0.3396;[3.2387200000000007]
21;21;your;610;458;667;477;[769];0.1133;0.1133;1;9.1834;10.1225;467.5;5.0;2;529.2454500736926;9.65;0.1133;[52.007309320133075]
22;22;appetite?;686;453;817;477;[794];0.2263;0.2263;1;6.4732;17.374;465.0;2.5;2;379.4715620750855;11.92;0.2263;[18.578239999999994]
23;23;And;834;453;877;472;[];0.0;0.0;0;;;462.5;2.5;2;320.0449906242957;;;[]
24;24;for;896;454;937;472;[770, 789];0.5825;0.3074;2;14.4851;20.7432;463.0;0.5;2;260.36121835577876;17.61;0.2913;[8.917018444839108, 0.5375999999999976]
25;25;your;955;458;1012;477;[771];0.4043;0.4043;1;21.4137;20.8318;467.5;4.5;2;185.3131469262382;21.12;0.4043;[3.763840000000016]
26;26;entree,;1030;454;1128;475;[772, 788];0.5501;0.2913;2;12.5752;18.9051;464.5;3.0;2;72.71225387584667;15.74;0.275;[0.0, 30.55903999999998]
27;27;may;1149;458;1192;477;[797];0.2263;0.2263;1;7.3916;21.0469;467.5;3.0;2;24.868985176432087;14.22;0.2263;[24.868985176432087]
28;28;I;1211;454;1221;472;[];0.0;0.0;0;;;463.0;4.5;2;33.32913475783019;;;[]
29;29;suggest;42;553;142;576;[773];0.356;0.356;1;19.5747;20.4143;564.5;101.5;3;1054.9267321021423;19.99;0.356;[2.7024000000000115]
30;30;any;161;557;202;576;[];0.0;0.0;0;;;566.5;2.0;3;995.216965703311;;;[]
31;31;of;221;553;247;571;[774];0.3077;0.3077;1;19.5256;20.0689;562.0;4.5;3;950.065236762037;19.8;0.3077;[0.4291200000000117]
32;32;our;266;557;307;571;[];0.0;0.0;0;;;564.0;2.0;3;890.3989851879354;;;[]
33;33;specialties;327;552;487;576;[775];0.2588;0.2588;1;20.4425;19.8893;564.0;0.0;3;710.4638051468248;20.17;0.2588;[2.1119999999999663]
34;34;or;506;557;532;571;[];0.0;0.0;0;;;564.0;0.0;3;665.9821565355227;;;[]
35;35;would;549;552;622;571;[776];0.2264;0.2264;1;21.0713;21.684;561.5;2.5;3;575.8836222916098;21.38;0.2264;[20.779520000000048]
36;36;you;641;557;682;576;[];0.0;0.0;0;;;566.5;5.0;3;516.6528358808315;;;[]
37;37;like;701;552;757;571;[780];0.2428;0.2428;1;20.3513;20.7444;561.5;5.0;3;441.5598197568541;20.55;0.2428;[39.53952000000004]
38;38;to;776;553;802;571;[];0.0;0.0;0;;;562.0;0.5;3;397.01543811759444;;;[]
39;39;take;821;552;877;571;[777, 790, 793];0.9545;0.2264;3;11.6905;19.8795;561.5;0.5;3;322.63510414042906;15.78;0.3182;[0.0, 0.0, 0.0]
