;1;2;3;4;5;6;7;8
39;0.19198072082421375;0.16286696147106802;0.14670725815310634;0.16575906010878672;0.17828889152598293;0.1884239556024617;0.18421499318937323;0.18977014578767104
38;0.10708658347332264;0.14877952607305184;0.10848273993532995;0.13381094838913915;0.12819181722842343;0.13464089886146544;0.11613600139263376;0.13216932545493498
37;0.09986469062403174;0.14782149137856992;0.10810885479104762;0.13191795784751684;0.1293609464272339;0.14913036509067645;0.10144960159630104;0.1311584850141954
36;0.09163849451539355;0.13936620734835056;0.09937484303051623;0.1290062849347526;0.12543905276853973;0.14855731598786864;0.09700746841473455;0.12157447420091892
35;0.10380151102410318;0.14846292822189838;0.11126131623936385;0.13855378292098716;0.1361423925332956;0.16089256184365233;0.10699137931734506;0.1309584083544975
34;0.10196871227960079;0.150216680305078;0.10721523768004437;0.13640042874843905;0.13162567527215355;0.15179914815300888;0.10794864499688242;0.13016561796807202
33;0.11099319314228498;0.15049012639619563;0.11613800385537972;0.14553489575290798;0.1438275390124601;0.1562516318364549;0.10716521041737348;0.13601770054155457
32;0.11091579098366848;0.15322607509728284;0.1164579998630325;0.14551874063423073;0.13896052341806295;0.1507754423226013;0.10464256444055686;0.1333256726229901
31;0.11706397256269757;0.14881589356766511;0.1000122202769879;0.14555979854100412;0.13833781421080596;0.1604624561021658;0.1062286715232302;0.13348601996029652
30;0.10932932687262022;0.15427666767629433;0.11781866678582723;0.14694836555826365;0.1391410225121656;0.15663194018973403;0.11051548082481566;0.1397247570162931
29;0.13567084704954052;0.16083866582551673;0.11265692751487191;0.15187727408195364;0.15456418728918847;0.17895975389418;0.12287367055827406;0.1466259361591845
28;0.14338646936475694;0.16951667225848013;0.11439585407077879;0.159657316463996;0.15910279609908312;0.2034802246439695;0.12314169053650144;0.1512752545767545
27;0.1399248729640848;0.15208468101450537;0.09968950224284452;0.14792949273557066;0.15502463286967036;0.15559098504992244;0.12997539111271764;0.14944186028836964
26;0.13836677548331405;0.1468924601555979;0.11360699074917549;0.15034711691398406;0.14861116425323176;0.14474387441313008;0.12149900257944295;0.1615929780623027
25;0.1471492495793573;0.1439289320023764;0.13482886307954536;0.15755132387218412;0.15369029142783977;0.14590019738651094;0.13253423661999514;0.15124369732942863
24;0.13670577831115469;0.14958757101179807;0.11805354251645184;0.14735596783142202;0.15344186989524616;0.14824034966013233;0.1180796764661655;0.14475657653003968
