;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;158.1;False;False;171.24;221.44;76.01;111.62;33.43;50
1;158.2;False;True;54.25;24.37;;;14.43;2
2;161.2;False;True;82.59;11.39;;;;0
3;161.1;False;False;34.25;49.09;;;23.98;16
4;153.3;False;True;163.62;93.38;;;22.51;1
5;153.1;False;True;63.44;32.2;;;;0
6;145.1;True;False;305.27;304.9;127.03;116.5;;0
7;145.2;False;True;39.49;13.45;;;;0
8;157.3;False;True;96.84;31.48;;;28.63;1
9;157.1;False;False;31.16;37.7;;;27.15;3
10;167.1;False;True;64.32;22.56;;;;0
11;167.3;False;True;83.4;12.86;;;;0
12;179.2;False;True;41.59;19.0;;;;0
13;179.1;False;False;37.36;80.32;;;32.16;1
14;165.1;False;True;92.82;5.94;;;;0
15;165.3;False;True;41.87;35.2;;;;0
16;139.1;False;True;56.43;27.87;;;;0
17;139.3;False;True;93.13;23.49;;;;0
18;146.2;False;False;53.89;87.5;;;36.18;13
19;146.1;False;True;34.91;31.17;;;;0
20;177.1;False;True;103.53;20.94;;;;0
21;177.3;False;True;44.08;37.32;;;;0
22;171.3;False;False;57.43;60.13;;;48.61;2
23;171.1;False;True;43.4;21.76;;;;0
24;138.1;False;True;42.72;24.14;;;;0
25;138.2;False;True;79.07;15.28;;;;0
26;152.2;False;False;35.71;44.33;;;31.83;2
27;152.1;False;True;42.02;33.91;;;28.21;2
28;174.2;False;True;49.52;25.31;;;;0
29;174.1;False;True;82.25;34.29;;;31.31;1
30;143.1;False;True;42.32;28.55;;;23.22;2
31;143.3;False;True;104.4;42.59;;;;0
32;144.1;False;True;146.27;94.08;;;25.84;1
33;144.2;False;True;80.6;33.13;;;;0
34;178.3;False;True;45.03;39.82;;;38.08;1
35;178.1;False;True;42.07;18.97;;;;0
36;142.1;False;False;85.33;109.06;;;47.65;6
37;142.2;False;True;42.23;28.48;;;26.7;1
38;136.2;False;True;40.3;24.68;;;;0
39;136.1;False;False;27.39;27.53;;;19.56;6
40;168.2;False;True;52.22;12.67;;;;0
41;168.1;False;True;53.51;42.18;;;36.08;4
42;172.1;False;True;39.68;22.76;;;;0
43;172.2;False;True;41.45;33.41;;;32.3;1
44;141.1;False;True;98.43;17.02;;;;0
45;141.3;False;True;99.83;26.17;;;;0
46;149.3;False;True;60.73;44.87;;;30.86;2
47;149.1;False;True;66.21;31.35;;;;0
48;173.3;False;True;59.69;38.94;;;25.31;2
49;173.1;False;True;55.3;23.45;;;18.08;1
50;169.2;False;True;55.29;54.22;;;36.9;9
51;169.1;False;True;42.44;39.23;;;31.28;6
52;166.1;False;True;94.01;20.94;;;;0
53;166.2;False;True;99.1;20.7;;;;0
54;163.2;False;True;84.32;66.26;;;35.76;1
55;163.1;False;False;39.54;70.12;;;33.01;2
56;160.2;False;True;40.1;38.67;;;37.4;1
57;160.1;False;False;32.55;48.54;;;27.24;3
58;164.1;False;True;51.54;37.11;;;;0
59;164.3;False;True;68.26;43.79;;;39.43;2
