trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed;session;user;user_set
297.2;False;False;52.38;59.46;;;20.77;2;1;17;3
297.1;False;False;37.38;50.3;;;14.66;1;1;17;3
283.2;False;False;19.9;24.08;;;;0;1;17;3
283.1;False;False;49.64;121.42;;;16.31;2;1;17;3
292.1;False;False;45.52;52.94;;;17.79;1;1;17;3
292.2;False;False;81.46;110.84;;;17.23;2;1;17;3
274.2;False;False;86.0;100.76;;;22.2;1;1;17;3
274.1;False;False;27.0;76.91;;;;0;1;17;3
282.1;False;False;42.87;96.1;;;12.98;1;1;17;3
282.2;False;False;18.7;84.76;;;;0;1;17;3
305.3;False;False;208.32;260.76;34.82;77.51;34.82;2;1;17;3
305.1;False;True;81.93;78.25;;;26.42;3;1;17;3
278.1;False;False;74.96;76.05;;;11.22;1;1;17;3
278.2;False;False;20.01;31.33;;;;0;1;17;3
290.2;False;False;242.34;279.64;45.78;88.86;13.87;2;1;17;3
290.1;False;True;135.34;107.97;90.49;82.72;44.14;13;1;17;3
309.2;False;False;36.96;48.84;;;16.78;1;1;17;3
309.1;False;False;45.15;48.83;;;15.99;1;1;17;3
300.1;False;False;130.96;167.83;2.02;36.93;2.02;2;1;17;3
300.2;False;False;19.87;54.76;;;;0;1;17;3
313.1;False;False;40.93;47.75;;;16.13;2;1;17;3
313.2;False;True;52.57;44.71;;;13.97;1;1;17;3
280.1;False;False;45.98;53.4;;;26.95;1;1;17;3
280.3;False;False;42.5;65.31;;;20.98;1;1;17;3
293.1;False;True;29.14;20.33;;;15.57;1;1;17;3
293.2;False;False;145.42;265.42;8.63;122.15;8.63;2;1;17;3
286.2;False;True;98.57;87.25;;;14.58;1;1;17;3
286.1;False;False;38.01;41.8;;;18.81;2;1;17;3
306.2;False;False;54.46;61.77;;;16.93;1;1;17;3
306.1;False;False;25.07;47.5;;;;0;1;17;3
315.1;False;False;280.25;303.36;40.68;80.58;40.68;1;1;17;3
315.2;False;True;23.29;6.37;;;;0;1;17;3
281.2;False;True;56.85;45.99;;;21.64;1;1;17;3
281.1;False;False;31.46;43.13;;;;0;1;17;3
272.2;False;True;52.72;33.92;;;14.42;2;1;17;3
272.1;False;True;27.73;13.52;;;;0;1;17;3
303.1;False;True;22.68;17.69;;;;0;1;17;3
303.2;False;False;100.35;323.26;27.86;275.6;31.34;1;1;17;3
285.2;False;True;165.58;166.17;35.62;22.69;22.69;2;1;17;3
285.1;False;True;28.29;22.96;;;;0;1;17;3
288.2;False;False;19.86;366.7;;;;0;1;17;3
288.1;False;False;86.51;102.2;;;27.8;1;1;17;3
302.2;False;True;92.95;91.02;;;15.76;1;1;17;3
302.1;False;False;120.04;236.42;24.22;133.3;24.22;2;1;17;3
271.1;False;False;78.68;81.79;;;39.77;1;1;17;3
271.3;False;False;283.51;531.31;31.03;264.85;17.93;3;1;17;3
277.2;False;True;29.26;29.11;;;;0;1;17;3
277.1;False;False;96.21;223.22;;;27.34;1;1;17;3
