;user_set;trial;17;3;18;13;12;1;24;23;7;20;19;25;10;5;9;6;14;26;16;15;8;21;22;4
0;3;297.2;True;False;True;;;;;;;;;;;;;;;;;;;;;
1;3;297.1;True;False;True;;;;;;;;;;;;;;;;;;;;;
2;3;283.2;True;True;False;;;;;;;;;;;;;;;;;;;;;
3;3;283.1;True;True;False;;;;;;;;;;;;;;;;;;;;;
4;3;292.1;True;False;True;;;;;;;;;;;;;;;;;;;;;
5;3;292.2;True;False;True;;;;;;;;;;;;;;;;;;;;;
6;3;274.2;True;False;True;;;;;;;;;;;;;;;;;;;;;
7;3;274.1;True;False;True;;;;;;;;;;;;;;;;;;;;;
8;3;282.1;True;False;True;;;;;;;;;;;;;;;;;;;;;
9;3;282.2;True;False;True;;;;;;;;;;;;;;;;;;;;;
10;3;305.3;True;False;False;;;;;;;;;;;;;;;;;;;;;
11;3;305.1;True;False;False;;;;;;;;;;;;;;;;;;;;;
12;3;278.1;True;True;True;;;;;;;;;;;;;;;;;;;;;
13;3;278.2;True;True;True;;;;;;;;;;;;;;;;;;;;;
14;3;290.2;True;False;True;;;;;;;;;;;;;;;;;;;;;
15;3;290.1;True;False;True;;;;;;;;;;;;;;;;;;;;;
16;3;309.2;True;True;False;;;;;;;;;;;;;;;;;;;;;
17;3;309.1;True;True;False;;;;;;;;;;;;;;;;;;;;;
18;3;300.1;True;True;True;;;;;;;;;;;;;;;;;;;;;
19;3;300.2;True;True;True;;;;;;;;;;;;;;;;;;;;;
20;3;313.1;True;True;True;;;;;;;;;;;;;;;;;;;;;
21;3;313.2;True;True;True;;;;;;;;;;;;;;;;;;;;;
22;3;280.1;True;False;False;;;;;;;;;;;;;;;;;;;;;
23;3;280.3;True;False;False;;;;;;;;;;;;;;;;;;;;;
24;3;293.1;True;True;False;;;;;;;;;;;;;;;;;;;;;
25;3;293.2;True;True;False;;;;;;;;;;;;;;;;;;;;;
26;3;286.2;True;False;True;;;;;;;;;;;;;;;;;;;;;
27;3;286.1;True;False;True;;;;;;;;;;;;;;;;;;;;;
28;3;306.2;True;True;True;;;;;;;;;;;;;;;;;;;;;
29;3;306.1;True;True;True;;;;;;;;;;;;;;;;;;;;;
30;3;315.1;True;True;True;;;;;;;;;;;;;;;;;;;;;
31;3;315.2;True;True;True;;;;;;;;;;;;;;;;;;;;;
32;3;281.2;True;False;False;;;;;;;;;;;;;;;;;;;;;
33;3;281.1;True;False;False;;;;;;;;;;;;;;;;;;;;;
34;3;272.2;True;False;True;;;;;;;;;;;;;;;;;;;;;
35;3;272.1;True;False;True;;;;;;;;;;;;;;;;;;;;;
36;3;303.1;True;False;True;;;;;;;;;;;;;;;;;;;;;
37;3;303.2;True;False;True;;;;;;;;;;;;;;;;;;;;;
38;3;285.2;True;True;True;;;;;;;;;;;;;;;;;;;;;
39;3;285.1;True;True;True;;;;;;;;;;;;;;;;;;;;;
40;3;288.2;True;True;True;;;;;;;;;;;;;;;;;;;;;
41;3;288.1;True;True;True;;;;;;;;;;;;;;;;;;;;;
42;3;302.2;True;False;True;;;;;;;;;;;;;;;;;;;;;
43;3;302.1;True;False;True;;;;;;;;;;;;;;;;;;;;;
44;3;271.1;True;False;True;;;;;;;;;;;;;;;;;;;;;
45;3;271.3;True;False;True;;;;;;;;;;;;;;;;;;;;;
46;3;277.2;True;False;True;;;;;;;;;;;;;;;;;;;;;
47;3;277.1;True;False;True;;;;;;;;;;;;;;;;;;;;;
48;3;299.2;True;False;True;;;;;;;;;;;;;;;;;;;;;
49;3;299.1;True;False;True;;;;;;;;;;;;;;;;;;;;;
50;3;284.2;True;False;False;;;;;;;;;;;;;;;;;;;;;
51;3;284.1;True;False;False;;;;;;;;;;;;;;;;;;;;;
52;3;275.1;True;True;True;;;;;;;;;;;;;;;;;;;;;
53;3;275.2;True;True;True;;;;;;;;;;;;;;;;;;;;;
54;3;276.2;True;True;True;;;;;;;;;;;;;;;;;;;;;
55;3;276.1;True;True;True;;;;;;;;;;;;;;;;;;;;;
56;3;310.2;True;True;True;;;;;;;;;;;;;;;;;;;;;
57;3;310.1;True;True;True;;;;;;;;;;;;;;;;;;;;;
58;3;312.1;True;True;False;;;;;;;;;;;;;;;;;;;;;
59;3;312.2;True;True;False;;;;;;;;;;;;;;;;;;;;;
60;3;295.1;False;True;False;;;;;;;;;;;;;;;;;;;;;
61;3;295.2;False;True;False;;;;;;;;;;;;;;;;;;;;;
62;3;294.1;False;True;True;;;;;;;;;;;;;;;;;;;;;
63;3;294.2;False;True;True;;;;;;;;;;;;;;;;;;;;;
64;3;308.2;False;True;False;;;;;;;;;;;;;;;;;;;;;
65;3;308.1;False;True;False;;;;;;;;;;;;;;;;;;;;;
66;3;279.1;False;True;True;;;;;;;;;;;;;;;;;;;;;
67;3;279.2;False;True;True;;;;;;;;;;;;;;;;;;;;;
68;3;296.2;False;True;False;;;;;;;;;;;;;;;;;;;;;
69;3;296.1;False;True;False;;;;;;;;;;;;;;;;;;;;;
70;3;298.2;False;True;False;;;;;;;;;;;;;;;;;;;;;
71;3;298.1;False;True;False;;;;;;;;;;;;;;;;;;;;;
72;3;307.1;False;False;True;;;;;;;;;;;;;;;;;;;;;
73;3;307.2;False;False;True;;;;;;;;;;;;;;;;;;;;;
74;3;291.1;False;False;True;;;;;;;;;;;;;;;;;;;;;
75;3;291.2;False;False;True;;;;;;;;;;;;;;;;;;;;;
76;3;289.2;False;False;True;;;;;;;;;;;;;;;;;;;;;
77;3;289.1;False;False;True;;;;;;;;;;;;;;;;;;;;;
78;3;304.1;False;False;True;;;;;;;;;;;;;;;;;;;;;
