;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil
0;0;Some;72;305;128;323;[];0.0;0;;;314.0;;1;960.7567715650292;;
1;1;says;148;309;203;328;[3059];0.2913;1;12.0999;14.0887;318.5;4.5;1;887.8057623760152;0.2913;13.09
2;2;it;223;304;248;323;[3060];0.3398;1;13.2272;14.935;313.5;5.0;1;846.8732172574935;0.3398;14.08
3;3;does;267;304;323;323;[3061];0.3884;1;14.2168;16.3109;313.5;0.0;1;776.6319373474527;0.3884;15.26
4;4;not;342;306;383;323;[];0.0;0;;;314.5;1.0;1;721.1293241215875;;
5;5;work,.;400;304;469;323;[];0.0;0;;;313.5;1.0;1;642.9859902891023;;
6;6;It;493;305;518;323;[3062];0.2102;1;16.0277;17.4226;314.0;0.5;1;599.4253565774956;0.2102;16.73
7;7;is;538;304;563;323;[];0.0;0;;;313.5;0.5;1;560.2129149779195;;
8;8;most;581;306;638;323;[3063];0.3235;1;14.9616;17.0105;314.5;1.0;1;497.042684392455;0.3235;15.99
9;9;likely;657;304;744;328;[];0.0;0;;;316.0;1.5;1;411.1296648358734;;
10;10;coming;762;304;849;328;[3064];0.2749;1;14.6083;16.8205;316.0;0.0;1;341.59287069266776;0.2749;15.71
11;11;from;868;305;924;323;[3065];0.2427;1;14.1459;15.754;314.0;2.0;1;309.2184207127021;0.2427;14.95
12;12;the;942;304;983;323;[3066];0.2424;1;10.0749;14.8888;313.5;0.5;1;291.08566111723474;0.2424;12.48
13;13;slow;1003;304;1060;323;[];0.0;0;;;313.5;0.0;1;284.24224000000004;;
14;14;decision;1077;304;1193;323;[3067];1.0998;1;11.4943;14.6457;313.5;0.0;1;285.9552211589388;1.0998;13.07
15;15;making;33;403;121;427;[];0.0;0;;;415.0;101.5;2;942.1489526545458;;
16;16;process;139;408;240;427;[3068, 3069, 3070];0.9553;3;13.9136;16.9297;417.5;2.5;2;825.6608355663102;0.3184;15.42
17;17;of;259;404;285;422;[];0.0;0;;;413.0;4.5;2;782.9757274577914;;
18;18;the;304;403;345;422;[3071];0.2585;1;14.1487;16.9025;412.5;0.5;2;724.8181329051155;0.2585;15.53
19;19;highly;364;403;451;427;[3072];0.3237;1;13.7646;16.6912;415.0;2.5;2;621.4591675951507;0.3237;15.23
20;20;burocratic;469;403;615;422;[3073];0.4043;1;13.6674;15.4647;412.5;2.5;2;468.8900060654499;0.4043;14.57
21;21;system,.;635;405;731;427;[3074];0.3562;1;13.9928;15.4033;416.0;3.5;2;362.702446901117;0.3562;14.7
22;22;Whoever;752;403;855;422;[3075];0.8572;1;14.0862;15.627;412.5;3.5;2;265.8931774003568;0.8572;14.86
23;23;designed;874;403;990;427;[3076];0.3557;1;14.8842;16.7684;415.0;2.5;2;188.66641298349217;0.3557;15.83
24;24;it;1010;403;1035;422;[];0.0;0;;;412.5;2.5;2;185.55373827562087;;
25;25;was;1052;408;1095;422;[3077];0.5823;1;15.4243;16.968;415.0;2.5;2;185.34774071473765;0.5823;16.2
26;26;probably;1114;403;1231;427;[3078];0.4526;1;12.2309;14.863;415.0;0.0;2;192.73222301436158;0.4526;13.55
27;27;brain;34;502;104;521;[3080];0.2749;1;13.7626;15.4335;511.5;96.5;3;945.6878516022385;0.2749;14.6
28;28;damaged;123;502;225;526;[3079, 3083];1.6819;2;14.2748;16.7094;514.0;2.5;3;824.7583087596375;0.8409;15.49
29;29;or;243;507;270;521;[3081];0.2263;1;13.0922;15.304;514.0;0.0;3;780.5263879383308;0.2263;14.2
30;30;had;289;502;330;521;[3082];0.5984;1;12.0104;14.6448;511.5;2.5;3;720.9242527950198;0.5984;13.33
31;31;an;349;507;374;521;[];0.0;0;;;514.0;2.5;3;677.2606770424942;;
32;32;agenda;394;502;480;526;[3084];0.3071;1;14.8897;17.7997;514.0;0.0;3;571.5506940491435;0.3071;16.34
33;33;for;499;503;540;521;[];0.0;0;;;512.0;2.0;3;513.0477114928568;;
34;34;obfuscating;558;502;720;526;[3085];0.5662;1;15.3756;16.8529;514.0;2.0;3;335.7253935406996;0.5662;16.11
35;35;the;739;502;780;521;[3086];0.2263;1;15.1012;16.0896;511.5;2.5;3;279.39094163565437;0.2263;15.6
36;36;politicians;799;502;959;526;[3087, 3088];0.6304;2;13.5776;13.6195;514.0;2.5;3;118.8502346150718;0.3152;13.6
37;37;responsibility;981;502;1185;526;[3089, 3090, 3091];1.3586;3;10.9698;13.468;514.0;0.0;3;81.24224000000004;0.4529;12.22
38;38;in;1204;502;1229;521;[];0.0;0;;;511.5;2.5;3;180.22672573194467;;
39;39;the;49;601;90;620;[];0.0;0;;;610.5;99.0;4;955.7472;;
40;40;decisions,.;108;601;251;620;[3092, 3093];0.7761;2;12.8348;15.2958;610.5;0.0;4;794.7472;0.3881;14.07
