;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil
0;0;I;80;355;89;373;[];0.0;0;;;364.0;;1;808.9078546430327;;
1;1;do;108;354;135;373;[];0.0;0;;;363.5;0.5;1;766.0925733246562;;
2;2;not;154;355;195;373;[];0.0;0;;;364.0;0.5;1;710.8447980418747;;
3;3;know;215;354;272;373;[3858, 3859];0.5662;2;13.577;15.8784;363.5;0.5;1;641.1961713104606;0.2831;14.73
4;4;which;287;354;360;373;[];0.0;0;;;363.5;0.0;1;563.9434288146228;;
5;5;Theo;378;354;435;373;[3860];0.3232;1;14.2784;15.9824;363.5;0.0;1;500.9094837425157;0.3232;15.13
6;6;you;454;359;495;378;[];0.0;0;;;368.5;5.0;1;449.95536723456655;;
7;7;mean,,;513;359;581;376;[3861];0.2913;1;14.9046;16.769;367.5;1.0;1;388.32280368682143;0.2913;15.84
8;8;maybe;603;354;675;378;[3862];0.2754;1;15.3399;16.9965;366.0;1.5;1;329.9504818956833;0.2754;16.17
9;9;I;695;355;704;373;[];0.0;0;;;364.0;2.0;1;320.4723097292395;;
10;10;can;724;359;765;373;[];0.0;0;;;366.0;2.0;1;298.7039318509109;;
11;11;answer;784;359;870;373;[3863, 3864];0.647;2;15.0798;17.1337;366.0;0.0;1;287.79744000000005;0.3235;16.11
12;12;your;889;359;945;378;[];0.0;0;;;368.5;2.5;1;286.2031147685043;;
13;13;question;963;354;1080;378;[3865];0.3071;1;14.0768;15.9466;366.0;2.5;1;306.4364555714506;0.3071;15.01
14;14;if;1100;354;1125;373;[3866];0.3882;1;9.4157;15.313;363.5;2.5;1;384.5295501040117;0.3882;12.36
15;15;you;1144;359;1185;378;[];0.0;0;;;368.5;5.0;1;411.56752897087694;;
16;16;elaborate;41;453;172;472;[3867];0.6631;1;13.805;15.213;462.5;94.0;2;698.9602828367243;0.6631;14.51
17;17;further,.;192;453;303;472;[3868];0.4041;1;11.9934;14.7129;462.5;0.0;2;573.9215334722976;0.4041;13.35
18;18;It;327;454;352;472;[];0.0;0;;;463.0;0.5;2;527.8948427321426;;
19;19;is;372;453;397;472;[];0.0;0;;;462.5;0.5;2;486.1376728697269;;
20;20;important;417;453;547;477;[3869];0.291;1;12.6014;15.4324;465.0;2.5;2;350.1044166862132;0.291;14.02
21;21;to;566;454;592;472;[];0.0;0;;;463.0;2.0;2;315.66271395778375;;
22;22;note;611;454;667;472;[3870];0.3237;1;13.517;16.0881;463.0;0.0;2;259.46303972472384;0.3237;14.8
23;23;that;686;453;742;472;[];0.0;0;;;462.5;0.5;2;215.056246092025;;
