;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil
0;0;This;48;453;105;472;[];0.0;0;;;462.5;;1;814.8188711778186;;
1;1;will;122;453;179;472;[259];0.5176;1;14.7114;16.9636;462.5;0.0;1;741.415537487241;0.5176;15.84
2;2;list;199;453;255;472;[];0.0;0;;;462.5;0.0;1;666.1657697806863;;
3;3;the;274;453;315;472;[260];0.7116;1;14.9043;17.6479;462.5;0.0;1;606.8901456009105;0.7116;16.28
4;4;files;335;453;405;472;[258, 261];0.4534;2;14.8439;17.1189;462.5;0.0;1;518.2893717099497;0.2267;15.98
5;5;and;424;453;465;472;[];0.0;0;;;462.5;0.0;1;459.5244159209546;;
6;6;directories;483;453;645;472;[262, 263];0.7764;2;14.8346;17.0677;462.5;0.0;1;286.3199902687453;0.3882;15.95
7;7;in;665;453;690;472;[];0.0;0;;;462.5;0.0;1;244.5572506132141;;
8;8;the;709;453;750;472;[];0.0;0;;;462.5;0.0;1;191.17286634743544;;
9;9;current;769;454;870;472;[264, 268];0.5015;2;14.3767;16.7401;463.0;0.5;1;107.81788732624288;0.2507;15.56
10;10;working;887;453;991;477;[265, 266];0.6145;2;14.8784;16.0655;465.0;2.0;1;93.50112000000001;0.3073;15.47
11;11;directory,.;1008;453;1151;477;[267];0.1616;1;14.5251;11.9847;465.0;0.0;1;132.69499774857528;0.1616;13.25
12;12;The;1173;453;1215;472;[];0.0;0;;;462.5;2.5;1;277.2448694340337;;
13;13;output;266;553;352;576;[];0.0;0;;;564.5;102.0;2;561.8432;;
14;14;will;370;552;427;571;[269];0.4528;1;13.861;15.7317;561.5;3.0;2;486.8432;0.4528;14.8
15;15;be;447;552;473;571;[];0.0;0;;;561.5;0.0;2;440.8432;;
16;16;a;492;557;503;571;[270];0.2588;1;12.7276;16.0798;564.0;2.5;2;410.8432;0.2588;14.4
17;17;list;521;552;577;571;[];0.0;0;;;561.5;2.5;2;336.8432;;
18;18;of;596;553;623;571;[271];0.2423;1;13.8121;15.3453;562.0;0.5;2;290.8432;0.2423;14.58
19;19;file;642;552;698;571;[272];0.3881;1;14.7438;15.9973;561.5;0.5;2;215.84320000000002;0.3881;15.37
20;20;and;717;552;758;571;[];0.0;0;;;561.5;0.0;2;155.84320000000002;;
21;21;directory;776;552;908;576;[273, 275, 276];1.5042;3;15.9315;16.9665;564.0;2.5;2;5.843200000000024;0.5014;16.45
22;22;names,.;927;557;1009;571;[274];0.3397;1;15.0112;16.2361;564.0;0.0;2;13.156799999999976;0.3397;15.62
