;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil
0;0;Under;72;403;143;422;[];0.0;0;;;412.5;;1;1021.339570631195;;
1;1;the;162;403;203;422;[535, 536];0.5984;2;14.6287;16.7377;412.5;0.0;1;962.5842500981998;0.2992;15.68
2;2;US;222;404;248;422;[537];0.4043;1;14.7073;17.379;413.0;0.5;1;918.6233605439793;0.4043;16.04
3;3;Constitution,,;266;403;454;425;[538];0.5177;1;15.0689;16.6905;414.0;1.0;1;718.1909313665229;0.5177;15.88
4;4;George;476;404;563;427;[539];0.3236;1;15.3803;17.2495;415.5;1.5;1;613.5045754818082;0.3236;16.31
5;5;Washington;580;403;727;427;[540];0.4365;1;13.4827;14.1539;415.0;0.5;1;461.0747359562369;0.4365;13.82
6;6;was;745;408;787;422;[541];0.3071;1;14.9491;16.5876;415.0;0.0;1;409.98527600038716;0.3071;15.77
7;7;the;807;403;848;422;[];0.0;0;;;412.5;2.5;1;358.06155691041954;;
8;8;first;867;403;937;422;[542];0.2589;1;15.0239;17.1485;412.5;0.0;1;288.74335756362194;0.2589;16.09
9;9;president;957;403;1087;427;[543, 545];0.3883;2;12.1205;16.2723;415.0;2.5;1;204.14071650974876;0.1942;14.2
10;10;of;1106;404;1133;422;[544];0.4202;1;14.9561;16.0435;413.0;2.0;1;201.23170360833706;0.4202;15.5
11;11;the;1152;403;1193;422;[];0.0;0;;;412.5;0.5;1;201.053740420599;;
12;12;United;63;502;149;521;[];0.0;0;;;511.5;99.0;2;1000.5872482782867;;
13;13;States,.;168;503;265;521;[546];0.4207;1;14.9183;17.4546;512.0;0.5;2;885.2693112364811;0.4207;16.19
14;14;However,,;288;503;400;524;[547];0.502;1;13.1394;15.9512;513.5;1.5;2;750.9265055763536;0.502;14.55
15;15;before;423;502;509;521;[548];0.3073;1;13.2465;16.0725;511.5;2.0;2;643.5047485583254;0.3073;14.66
16;16;the;528;502;569;521;[];0.0;0;;;511.5;0.0;2;584.3391835373644;;
17;17;US;588;503;615;521;[549];0.3882;1;14.4105;15.7963;512.0;0.5;2;539.1038428884676;0.3882;15.1
18;18;Constitution;632;502;809;521;[];0.0;0;;;511.5;0.5;2;350.5252650196753;;
19;19;was;826;507;869;521;[];0.0;0;;;514.0;2.5;2;293.63562695475764;;
20;20;drafted;888;502;989;521;[550];0.5173;1;15.1035;16.1951;511.5;2.5;2;185.82174635147956;0.5173;15.65
21;21;and;1008;502;1049;521;[];0.0;0;;;511.5;0.0;2;139.58381502564546;;
22;22;ratified,,;1071;502;1195;524;[551];0.6628;1;7.1688;11.5505;513.0;1.5;2;98.90944000000002;0.6628;9.36
23;23;several;57;601;156;620;[552];0.291;1;14.9874;16.8059;610.5;97.5;3;988.3882821528762;0.291;15.9
24;24;men;175;606;217;620;[553];0.2588;1;14.1838;16.109;613.0;2.5;3;927.3885638162213;0.2588;15.15
25;25;had;236;601;277;620;[554];0.2911;1;13.0526;15.4287;610.5;2.5;3;867.388879509712;0.2911;14.24
26;26;run;299;606;337;620;[];0.0;0;;;613.0;2.5;3;807.3892421237191;;
27;27;the;356;601;397;620;[];0.0;0;;;610.5;2.5;3;747.3896629584286;;
28;28;newly;416;601;488;625;[555];0.3397;1;12.7619;15.6623;613.0;2.5;3;656.384;0.3397;14.21
29;29;independent;507;601;667;625;[556, 557];0.5015;2;13.0312;15.1334;613.0;0.0;3;477.384;0.2507;14.08
30;30;country,,;686;603;798;625;[558];0.3235;1;13.4456;14.9063;614.0;1.0;3;346.384;0.3235;14.18
31;31;beginning;821;601;953;625;[559];0.4691;1;12.4003;12.415;613.0;1.0;3;191.38400000000001;0.4691;12.41
32;32;with;969;601;1027;620;[];0.0;0;;;610.5;2.5;3;117.42005066049667;;
33;33;John;1046;601;1102;620;[560];0.4205;1;14.2793;17.094;610.5;0.0;3;42.48374156207997;0.4205;15.69
34;34;Hanson,.;1121;602;1218;620;[561];0.5173;1;12.0937;14.3586;611.0;0.5;3;2.909440000000018;0.5173;13.23
