;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil
0;0;Mentoring;70;205;203;229;[354];0.7765;1;14.7789;16.9104;217.0;;1;698.6841498815602;0.7765;15.84
1;1;is;222;205;247;224;[];0.0;0;;;214.5;2.5;1;678.0458890781053;;
2;2;a;266;210;277;224;[];0.0;0;;;217.0;2.5;1;662.3568975225655;;
3;3;great;295;207;367;229;[355];0.6306;1;15.4687;18.1937;218.0;1.0;1;617.0428695769187;0.6306;16.83
4;4;goal,,;385;205;453;229;[356];0.2747;1;14.9413;16.7917;217.0;1.0;1;588.1438100462492;0.2747;15.87
5;5;and;476;205;517;224;[];0.0;0;;;214.5;2.5;1;579.033777681163;;
6;6;wanting;534;205;638;229;[357];0.356;1;13.3425;16.703;217.0;2.5;1;566.10528;0.356;15.02
7;7;to;656;207;682;224;[];0.0;0;;;215.5;1.5;1;572.7600870309649;;
8;8;sharpen;702;205;802;229;[358];0.4851;1;14.2551;16.0772;217.0;1.5;1;573.1376160188044;0.4851;15.17
9;9;your;821;210;877;229;[];0.0;0;;;219.5;2.5;1;603.2830517225876;;
10;10;skills;897;205;982;224;[359, 362];0.4854;2;14.1911;16.2993;214.5;5.0;1;638.0482643936259;0.2427;15.25
11;11;shows;1002;205;1072;224;[360];0.4204;1;13.2862;14.8326;214.5;0.0;1;691.2865539671074;0.4204;14.06
12;12;you;1091;210;1132;229;[361];0.6309;1;14.901;17.5054;219.5;5.0;1;741.2451203857726;0.6309;16.2
13;13;are;1151;210;1192;224;[];0.0;0;;;217.0;2.5;1;784.9530210756045;;
14;14;serious,.;26;304;138;323;[363];0.469;1;14.1648;17.4859;313.5;96.5;2;669.3480504608334;0.469;15.83
15;15;What;159;304;216;323;[364];0.3235;1;14.4673;17.7304;313.5;0.0;2;616.5143435928464;0.3235;16.1
16;16;sort;236;306;291;323;[365];0.3396;1;15.0067;17.4983;314.5;1.0;2;571.1751183793972;0.3396;16.25
17;17;of;310;305;337;323;[];0.0;0;;;314.0;0.5;2;546.6074260890703;;
18;18;mentoring;354;304;487;328;[366];0.2425;1;15.6013;17.3124;316.0;2.0;2;483.66908672740124;0.2425;16.46
19;19;most;504;306;561;323;[367];0.5985;1;15.8136;17.4797;314.5;1.5;2;474.9051524838601;0.5985;16.65
20;20;interests;581;304;711;323;[];0.0;0;;;313.5;1.0;2;472.10528;;
21;21;you,?;730;305;786;328;[368];0.3721;1;14.8102;17.0871;316.5;3.0;2;481.65888827646313;0.3721;15.95
22;22;Traditional;804;304;966;323;[369];0.3395;1;14.4908;15.9305;313.5;3.0;2;509.46874590667323;0.3395;15.21
23;23;Mentoring,.;985;304;1128;328;[370, 371, 372, 373];1.5362;4;14.2492;16.2899;316.0;2.5;2;597.4520538551344;0.384;15.27
24;24;Person-;1150;305;1250;323;[];0.0;0;;;314.0;2.0;2;715.4001575731713;;
25;25;to,-,person;87;405;217;427;[374];0.2748;1;14.8718;17.9707;416.0;102.0;3;540.292561503227;0.2748;16.42
26;26;interaction;237;403;397;422;[375, 376];0.663;2;13.8728;17.1637;412.5;3.5;3;430.8650563874012;0.3315;15.52
27;27;following;417;403;548;427;[377];0.3396;1;14.4347;16.3692;415.0;2.5;3;373.71221336172357;0.3396;15.4
28;28;a;567;408;578;422;[];0.0;0;;;415.0;0.0;3;374.6962812942216;;
29;29;pre,-,defined;597;403;758;427;[378];0.2914;1;6.1547;15.8227;415.0;0.0;3;368.10528;0.2914;10.99
30;30;or;776;408;803;422;[379];0.2425;1;14.5376;15.9723;415.0;0.0;3;407.3599813625762;0.2425;15.25
31;31;custom;822;405;909;422;[380];0.5498;1;14.4051;16.2048;413.5;1.5;3;427.90281234845656;0.5498;15.3
32;32;program,.;927;407;1039;427;[381];0.259;1;15.1659;16.6805;417.0;3.5;3;484.16554608492993;0.259;15.92
33;33;Distance;1061;403;1178;422;[382];0.372;1;8.8334;13.4188;412.5;4.5;3;583.4091689506761;0.372;11.13
34;34;Mentoring,.;101;502;244;526;[383];0.3883;1;14.8375;17.1956;514.0;101.5;4;456.2944174277375;0.3883;16.02
35;35;Similar;266;502;368;521;[384];0.631;1;12.9093;15.4323;511.5;2.5;4;367.3015570014894;0.631;14.17
36;36;to;387;504;413;521;[];0.0;0;;;512.5;1.0;4;339.0148695495795;;
37;37;Traditional;430;502;592;521;[385];0.4529;1;13.4345;15.87;511.5;1.0;4;274.8702591691549;0.4529;14.65
38;38;mentoring,,;610;502;754;526;[386, 387];0.744;2;13.9758;16.3286;514.0;2.5;4;269.10528;0.372;15.15
39;39;but;777;502;817;521;[];0.0;0;;;511.5;2.5;4;319.6815968674431;;
40;40;tailored;837;502;953;521;[388];0.2747;1;14.8185;16.5145;511.5;0.0;4;354.31227381466533;0.2747;15.67
41;41;to;972;504;998;521;[];0.0;0;;;512.5;1.0;4;452.083102289522;;
42;42;the;1017;502;1058;521;[];0.0;0;;;511.5;1.0;4;488.63051416762585;;
43;43;unique;1077;502;1163;526;[389, 390];0.7277;2;11.8114;14.0407;514.0;2.5;4;536.8282691659582;0.3638;12.93
44;44;challenges;63;601;209;625;[391, 392];0.5659;2;14.2423;16.5603;613.0;99.0;5;437.8838269857867;0.283;15.4
45;45;of;228;602;254;620;[];0.0;0;;;611.0;2.0;5;398.97236337335244;;
46;46;remote;276;603;359;620;[393];0.3721;1;12.9942;16.5111;611.5;0.5;5;308.09164015876576;0.3721;14.75
47;47;communication,.;378;601;580;620;[394];0.3236;1;7.8511;13.2853;610.5;1.0;5;178.0944725018674;0.3236;10.57
48;48;Group;602;602;675;625;[395];0.5821;1;12.3447;14.2764;613.5;3.0;5;170.10528;0.5821;13.31
49;49;Mentoring,.;692;601;835;625;[396];0.3397;1;12.1813;13.618;613.0;0.5;5;187.76901005149492;0.3397;12.9
50;50;An;856;602;884;620;[];0.0;0;;;611.0;2.0;5;299.92935090737353;;
51;51;approach;903;601;1019;625;[397];0.2911;1;11.9861;13.8523;613.0;2.0;5;336.6455696065498;0.2911;12.92
52;52;designed;1038;601;1154;625;[398, 399];0.8412;2;12.2934;13.4893;613.0;0.0;5;458.2490409544993;0.4206;12.89
53;53;to;1173;603;1199;620;[400];0.307;1;10.5053;11.9353;611.5;1.5;5;587.2224283316489;0.307;11.22
54;54;support;41;702;141;724;[401];0.4204;1;12.9773;14.6401;713.0;101.5;6;476.82430862500956;0.4204;13.81
55;55;several;161;700;261;719;[402];0.2749;1;13.1449;15.6474;709.5;3.5;6;359.63759827876504;0.2749;14.4
56;56;mentee,'s;279;701;396;719;[403];0.4531;1;13.6539;15.9998;710.0;0.5;6;229.48016492873276;0.4531;14.83
57;57;through;416;700;516;724;[404];0.3395;1;12.3338;14.8683;712.0;2.0;6;119.8616756754151;0.3395;13.6
58;58;expertise;535;700;667;724;[405];0.2911;1;8.8073;10.365;712.0;0.0;6;71.10528;0.2911;9.59
59;59;sharing,,;686;700;798;724;[406];0.647;1;12.1296;13.5892;712.0;0.0;6;102.27056905932616;0.647;12.86
60;60;frequently;821;700;967;724;[407];0.4852;1;11.3057;13.1733;712.0;0.0;6;220.29801019464156;0.4852;12.24
61;61;with;984;700;1041;719;[];0.0;0;;;709.5;2.5;6;379.2223797400655;;
62;62;a;1061;705;1072;719;[];0.0;0;;;712.0;2.5;6;454.9183686066308;;
63;63;secondary;1091;700;1222;724;[408, 409];0.8734;2;12.4084;13.9794;712.0;0.0;6;483.7614094734287;0.4367;13.19
