;number;text;x1;y1;x2;y2;fixations;fix_duration;y;diff_y;line;distance;fix_number;fix_duration_avg;pupil_l;pupil_r;pupil
0;0;No,,;34;305;71;327;[];0.0;316.0;;1;1145.0038121358905;0;;;;
1;1;I;95;305;104;323;[];0.0;314.0;2.0;1;1115.5006229875992;0;;;;
2;2;am;124;309;151;323;[4066];0.6633;316.0;2.0;1;1071.7283879256543;1;0.6633;12.7399;15.6145;14.18
3;3;not;169;306;210;323;[];0.0;314.5;1.5;1;1017.1880871725356;0;;;;
4;4;an;229;309;255;323;[4067];0.3721;316.0;1.5;1;975.9383898001563;1;0.3721;12.263;15.429;13.85
5;5;FBI;275;305;314;323;[];0.0;314.0;2.0;1;922.3869079110575;0;;;;
6;6;agent,.;334;306;416;328;[4068, 4069];0.6797;317.0;3.0;1;829.1650739664098;2;0.3398;9.4924;13.7859;11.64
7;7;I;440;305;449;323;[];0.0;314.0;3.0;1;802.732842162149;0;;;;
8;8;am;469;309;496;323;[];0.0;316.0;2.0;1;762.2795507461299;0;;;;
9;9;an;514;309;540;323;[];0.0;316.0;0.0;1;725.124312573866;0;;;;
10;10;AI;557;305;584;323;[4070];0.2752;314.0;2.0;1;688.7760331818477;1;0.2752;14.0289;15.8263;14.93
11;11;language;604;304;720;328;[4071];0.4045;316.0;2.0;1;579.7282838414231;1;0.4045;13.4882;15.0785;14.28
12;12;model,,;738;304;821;327;[4072];0.2915;315.5;0.5;1;510.9005087154657;1;0.2915;13.2586;14.8336;14.05
13;13;Open;843;305;900;328;[];0.0;316.5;1.0;1;463.81184448623304;0;;;;
14;14;Assistant,,;917;304;1061;327;[4073, 4074];0.6633;315.5;1.0;1;403.2551571966831;2;0.3317;14.0045;15.1419;14.57
15;15;created;1084;304;1185;323;[4075];0.7927;313.5;2.0;1;398.19295999999997;1;0.7927;12.0548;14.3988;13.23
16;16;to;1204;306;1230;323;[];0.0;314.5;1.0;1;402.3934888709329;0;;;;
17;17;assist;34;403;119;422;[4076];0.469;412.5;98.0;2;1069.7032980250747;1;0.469;14.7642;17.4099;16.09
18;18;you;138;408;179;427;[];0.0;417.5;5.0;2;1010.7705299452106;0;;;;
19;19;with;197;403;254;422;[4077];0.2913;412.5;5.0;2;940.849378915521;1;0.2913;13.5489;16.4308;14.99
20;20;answering;274;403;405;427;[4078];0.2913;415.0;2.5;2;797.2733063421362;1;0.2913;13.7214;16.4169;15.07
21;21;questions;423;403;554;427;[4079];0.4043;415.0;0.0;2;661.0785612964028;1;0.4043;11.0716;16.3899;13.73
22;22;and;574;403;615;422;[];0.0;412.5;2.5;2;609.497844627626;0;;;;
23;23;providing;634;403;765;427;[4080];0.5337;415.0;2.5;2;481.37076459390596;1;0.5337;12.588;15.2531;13.92
24;24;information;784;403;944;422;[4081];0.5496;412.5;2.5;2;361.00457864924874;1;0.5496;13.127;14.5441;13.84
25;25;on;963;408;989;422;[];0.0;415.0;2.5;2;337.8882090362456;0;;;;
26;26;a;1009;408;1020;422;[];0.0;415.0;0.0;2;324.645724761195;0;;;;
27;27;wide;1037;403;1095;422;[4082];0.469;412.5;2.5;2;303.51014250881565;1;0.469;14.7304;16.4703;15.6
28;28;range;1116;407;1185;427;[4083];0.6631;417.0;4.5;2;294.19295999999997;1;0.6631;14.1817;16.8777;15.53
29;29;of;1203;404;1230;422;[];0.0;413.0;4.0;2;304.57237728612483;0;;;;
30;30;topics,,;50;502;147;526;[4084];0.4043;514.0;101.0;3;1017.900030713096;1;0.4043;14.9144;17.4125;16.16
31;31;my;168;507;196;526;[];0.0;516.5;2.5;3;969.8549024084591;0;;;;
