;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil;first_fix_duration
0;0;Here;63;107;120;125;[353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 384];6.5851;32;9.4119;11.1697;116.0;;1;480.8352275920957;0.2058;10.29;0.0971
1;1;are;139;111;180;125;[345, 346];0.5498;2;15.1612;15.2285;118.0;2.0;1;505.17665022598027;0.2749;15.19;0.2426
2;2;some;199;111;255;125;[347];0.3398;1;14.6046;15.4201;118.0;0.0;1;528.5091408230726;0.3398;15.01;0.3398
3;3;of;273;107;300;125;[];0.0;0;;;116.0;2.0;1;561.4242069002212;;;0.0
4;4;the;319;106;360;125;[];0.0;0;;;115.5;0.5;1;586.881796560042;;;0.0
5;5;most;377;108;434;125;[348];0.372;1;15.782;15.8547;116.5;1.0;1;624.8153303605333;0.372;15.82;0.372
6;6;common;454;111;539;125;[];0.0;0;;;118.0;1.5;1;679.8164339978421;;;0.0
7;7;abbreviations;559;106;749;125;[349, 350];0.6955;2;14.4245;13.9567;115.5;2.5;1;755.3172175540171;0.3477;14.19;0.3235
8;8;used;769;106;825;125;[];0.0;0;;;115.5;0.0;1;928.8803599676024;;;0.0
9;9;on;843;111;869;125;[351];0.4367;1;14.0777;14.6082;118.0;2.5;1;995.7757907950678;0.4367;14.34;0.4367
10;10;Tinder:;887;106;986;125;[];0.0;0;;;115.5;2.5;1;1032.3641326264403;;;0.0
11;11;-DTF:;1010;107;1076;125;[352];0.6469;1;9.3645;11.5701;116.0;0.5;1;1143.6421087444894;0.6469;10.47;0.6469
12;12;Down;1098;107;1154;125;[];0.0;0;;;116.0;0.0;1;1224.357390672161;;;0.0
13;13;to;1174;108;1200;125;[];0.0;0;;;116.5;0.5;1;1295.1945003950343;;;0.0
14;14;F***,;26;206;92;228;[];0.0;0;;;217.0;100.5;2;573.299816791827;;;0.0
15;15;meaning;114;205;217;229;[];0.0;0;;;217.0;0.0;2;587.777770737838;;;0.0
16;16;the;235;205;276;224;[];0.0;0;;;214.5;2.5;2;628.8502287298164;;;0.0
17;17;person;295;210;381;229;[];0.0;0;;;219.5;5.0;2;660.9157820581548;;;0.0
18;18;is;401;205;426;224;[];0.0;0;;;214.5;5.0;2;715.2959950772424;;;0.0
19;19;looking;445;205;547;229;[];0.0;0;;;217.0;2.5;2;742.7565106907797;;;0.0
20;20;for;566;206;606;224;[];0.0;0;;;215.0;2.0;2;826.3769454271714;;;0.0
21;21;casual;625;205;710;224;[];0.0;0;;;214.5;0.5;2;869.3690966290109;;;0.0
22;22;sexual;731;205;815;224;[];0.0;0;;;214.5;0.0;2;952.0083574074034;;;0.0
23;23;encounters.;835;207;992;224;[];0.0;0;;;215.5;1.0;2;1038.3249437885727;;;0.0
24;24;-NSFW:;1017;206;1097;224;[];0.0;0;;;215.0;0.5;2;1194.0202302865487;;;0.0
