;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil;first_fix_duration
0;0;First,;65;255;146;277;[];0.0;0;;;266.0;;1;1031.1890698870727;;;0.0
1;1;put;169;256;210;279;[3623, 3624];0.5015;2;13.4576;14.1191;267.5;1.5;1;973.0710299739511;0.2507;13.79;0.2102
2;2;on;229;260;255;274;[3625];0.3235;1;13.6675;14.829;267.0;0.5;1;935.7523521608515;0.3235;14.25;0.3235
3;3;rubber;277;255;360;274;[];0.0;0;;;264.5;2.5;1;845.3788787133058;;;0.0
4;4;gloves;378;255;465;279;[3626];0.3237;1;14.441;15.6506;267.0;2.5;1;755.8090588068962;0.3237;15.05;0.3237
5;5;and;484;255;525;274;[];0.0;0;;;264.5;2.5;1;711.5246169842377;;;0.0
6;6;other;544;255;615;274;[3627, 3628];0.5662;2;14.2645;15.3177;264.5;0.0;1;644.6282281862673;0.2831;14.79;0.291
7;7;protective;634;255;780;279;[3629];0.3882;1;14.4424;15.4175;267.0;2.5;1;535.5336454178826;0.3882;14.93;0.3882
8;8;gear.;798;258;866;279;[3630];0.3396;1;13.8683;15.0002;268.5;1.5;1;493.5814362134848;0.3396;14.43;0.3396
9;9;Then,;888;255;956;277;[];0.0;0;;;266.0;2.5;1;464.8390537106003;;;0.0
10;10;using;979;255;1051;279;[3631];0.3074;1;13.4445;14.2911;267.0;1.0;1;448.2009395065637;0.3074;13.87;0.3074
11;11;a;1069;260;1080;274;[];0.0;0;;;267.0;0.0;1;452.60992;;;0.0
12;12;hose;1099;255;1155;274;[3632, 3633];0.582;2;12.4178;13.7598;264.5;2.5;1;453.29930484677163;0.291;13.09;0.3557
13;13;or;1174;260;1200;274;[];0.0;0;;;267.0;2.5;1;463.5232677812047;;;0.0
14;14;bucket;49;354;134;373;[3634];0.2908;1;13.0741;14.9822;363.5;96.5;2;1004.3196819810743;0.2908;14.03;0.2908
15;15;of;153;355;180;373;[3635];0.4045;1;13.2124;14.8367;364.0;0.5;2;961.4016540523353;0.4045;14.02;0.4045
16;16;warm;197;359;256;373;[];0.0;0;;;366.0;2.0;2;891.1675943471947;;;0.0
