;x;y;duration;pupil_r;pupil_l;word;word_number
1793;637.504;491.01824;1.40735;14.7702;13.3382;;
1794;166.3872;469.26848;0.4364;14.7189;13.7896;can;1.0
1795;307.08480000000003;456.64256;0.38843;15.9869;14.1029;minutes;4.0
1796;426.5344;451.82976;0.35583;14.9862;13.1334;workout!;5.0
1797;563.7760000000001;458.11712;0.40405;14.1233;12.8249;jumping;7.0
1798;836.8255999999999;448.75776;0.66333;13.9109;13.6292;wall;9.0
1799;907.4432;445.0816;0.43701;14.5653;14.8056;sit,;10.0
1800;1003.8016;451.00032;0.40393;14.4459;13.8878;ups,;12.0
1801;1121.2928;449.45408;0.53381;9.5288;8.6887;abdominal;13.0
1802;197.1968;571.84256;0.3717;13.9391;11.9132;crunchs,;14.0
1803;301.056;564.45952;0.42041;14.1345;12.5406;squats,;15.0
1804;394.3936;572.50816;0.59839;13.5501;12.3256;dips,;16.0
1805;504.1152;559.96416;0.56628;12.9401;11.0175;planks,;17.0
1806;620.48;559.48288;0.38831;13.4642;12.7868;running;18.0
1807;750.3104000000001;568.32;0.38818;12.6963;13.124;place,;20.0
1808;892.5311999999999;561.14176;0.48535;12.7856;12.7614;lunges,;21.0
1809;1078.6688;544.68608;0.5498;13.198;13.1596;planks.;24.0
