;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil;first_fix_duration
0;0;1.;42;404;64;422;[];0.0;0;;;413.0;;1;259.83299641714177;;;0.0
1;1;Full;87;403;142;422;[1828];0.261;1;13.8288;13.9263;412.5;0.5;1;181.96764489081679;0.261;13.88;0.261
2;2;Body;162;403;218;427;[1829];0.3077;1;13.049;15.0406;415.0;2.5;1;106.43454978112324;0.3077;14.04;0.3077
3;3;Stretches;236;403;367;422;[1830, 1831, 1861];0.8408;3;13.3425;14.3954;412.5;2.5;1;15.395519999999976;0.2803;13.87;0.2588
4;4;Full;387;403;442;422;[1860];0.2264;1;12.632;14.0904;412.5;0.0;1;65.51927798068594;0.2264;13.36;0.2264
5;5;body;462;403;518;427;[1832];0.3237;1;14.7093;16.0733;415.0;2.5;1;139.53671841888212;0.3237;15.39;0.3237
6;6;stretches;537;403;667;422;[1833];0.5177;1;14.5496;14.6224;412.5;2.5;1;214.23868881952762;0.5177;14.59;0.5177
7;7;involve;687;403;788;422;[1834];0.356;1;15.2314;15.269;412.5;0.0;1;364.0105160391804;0.356;15.25;0.356
8;8;dynamic;806;403;908;427;[];0.0;0;;;415.0;2.5;1;482.9302622399122;;;0.0
9;9;stretches.;927;403;1069;422;[1835, 1836, 1837];0.7601;3;15.0711;15.8171;412.5;2.5;1;603.8810808322368;0.2534;15.44;0.2913
10;10;2.;1091;404;1114;422;[1839];0.2588;1;8.8791;10.4814;413.0;0.5;1;767.8598604088577;0.2588;9.68;0.2588
11;11;Squats;1136;404;1222;427;[1838];0.3071;1;14.2018;14.0788;415.5;2.5;1;812.8501689900238;0.3071;14.14;0.3071
12;12;Squats;48;503;134;526;[1840];0.1938;1;9.4396;12.3596;514.5;99.0;2;221.71236092539;0.1938;10.9;0.1938
13;13;are;154;507;195;521;[];0.0;0;;;514.0;0.5;2;175.2714487505321;;;0.0
14;14;one;213;507;255;521;[1841];0.0804;1;12.5893;14.5704;514.0;0.0;2;137.5581940384156;0.0804;13.58;0.0804
15;15;of;273;503;300;521;[];0.0;0;;;512.0;2.0;2;117.7273315212334;;;0.0
16;16;the;319;502;360;521;[];0.0;0;;;511.5;0.5;2;114.39551999999998;;;0.0
17;17;most;377;504;434;521;[];0.0;0;;;512.5;1.0;2;128.17946335942585;;;0.0
18;18;helpful;454;502;554;526;[1842];0.3074;1;11.5117;13.9769;514.0;1.5;2;173.68031537025257;0.3074;12.74;0.3074
19;19;morning;572;502;675;526;[1843, 1844, 1859];1.003;3;13.1332;13.4202;514.0;0.0;2;273.7342958913084;0.3343;13.28;0.275
20;20;workouts.;692;502;821;521;[1845, 1851];0.7605;2;11.258;15.431;511.5;2.5;2;386.0243732552524;0.3802;13.34;0.5663
21;21;3.;844;503;866;521;[];0.0;0;;;512.0;0.5;2;533.3186542650748;;;0.0
22;22;Lunges;889;503;974;526;[1846];0.4528;1;14.4415;15.2431;514.5;2.5;2;577.3347547022528;0.4528;14.84;0.4528
23;23;Keep;993;503;1050;526;[1848, 1849];0.6307;2;14.3986;14.9636;514.5;0.0;2;679.5541607459338;0.3154;14.68;0.2427
24;24;your;1068;507;1125;526;[1847, 1850];0.5338;2;14.7115;14.8228;516.5;2.0;2;754.1954266283444;0.2669;14.77;0.2425
25;25;upper;1144;507;1215;526;[];0.0;0;;;516.5;0.0;2;829.3243220520609;;;0.0
26;26;body;162;601;218;625;[];0.0;0;;;613.0;96.5;3;237.96835778546355;;;0.0
27;27;straight,;237;601;364;625;[1852];0.4694;1;13.6021;15.0037;613.0;0.0;3;213.39551999999998;0.4694;14.3;0.4694
28;28;with;385;601;442;620;[];0.0;0;;;610.5;2.5;3;222.13208347087186;;;0.0
29;29;your;461;606;518;625;[1853];0.275;1;12.7763;14.5903;615.5;5.0;3;258.17379283558273;0.275;13.68;0.275
30;30;shoulders;537;601;667;620;[];0.0;0;;;610.5;5.0;3;301.99145965922673;;;0.0
31;31;back;687;601;743;620;[1854];0.2103;1;13.4864;13.9636;610.5;0.0;3;421.66844997830987;0.2103;13.72;0.2103
32;32;and;762;601;803;620;[1855];0.3074;1;13.1182;13.8674;610.5;0.0;3;487.8339899054907;0.3074;13.49;0.3074
33;33;relaxed;824;601;923;620;[1856, 1858];0.324;2;12.6246;13.2612;610.5;0.0;3;544.2636465051753;0.162;12.94;0.2589
34;34;and;942;601;983;620;[];0.0;0;;;610.5;0.0;3;654.4528475811763;;;0.0
35;35;chin;1002;601;1057;620;[1857];0.3074;1;13.1362;13.9699;610.5;0.0;3;711.4426931996071;0.3074;13.55;0.3074
36;36;up.;1077;606;1114;625;[];0.0;0;;;615.5;5.0;3;784.6893531246045;;;0.0
