;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil;first_fix_duration
0;0;4;41;305;53;323;[];0.0;0;;;314.0;;1;741.6318198711551;;;0.0
1;1;letter;71;304;158;323;[2838];0.3721;1;14.4507;16.1386;313.5;0.5;1;654.8078590284341;0.3721;15.29;0.3721
2;2;words;175;304;247;323;[2837];0.2264;1;13.6832;15.0925;313.5;0.0;1;585.8926941389537;0.2264;14.39;0.2264
3;3;and;267;304;308;323;[];0.0;0;;;313.5;0.0;1;542.0489020793249;;;0.0
4;4;their;327;304;398;323;[2839];0.4851;1;15.7124;17.1103;313.5;0.0;1;484.19337071608237;0.4851;16.41;0.4851
5;5;scrabble;417;304;533;323;[2840];0.2913;1;16.1306;17.0865;313.5;0.0;1;419.23445975420674;0.2913;16.61;0.2913
6;6;score;552;309;623;323;[2841];0.6794;1;15.7731;16.1718;316.0;2.5;1;396.0855213781509;0.6794;15.97;0.6794
7;7;anew,;642;309;709;326;[2842];0.3881;1;14.3561;15.5772;317.5;1.5;1;388.53696;0.3881;14.97;0.3881
8;8;7;731;305;743;323;[];0.0;0;;;314.0;3.5;1;394.4859818110165;;;0.0
9;9;nape,;762;309;829;328;[2843];0.6956;1;14.5002;15.1511;318.5;4.5;1;394.556519963112;0.6956;14.83;0.6956
10;10;6;851;305;863;323;[];0.0;0;;;314.0;4.5;1;426.1151650028448;;;0.0
11;11;nave,;882;309;949;326;[2844, 2845];0.7601;2;14.4476;12.4346;317.5;3.5;1;436.60043436236026;0.3801;13.44;0.3722
12;12;7;971;305;983;323;[];0.0;0;;;314.0;3.5;1;486.13689208431987;;;0.0
13;13;neap,;1002;309;1069;328;[2846];0.6309;1;13.165;13.7648;318.5;4.5;1;501.2631399229367;0.6309;13.46;0.6309
14;14;6;1091;305;1103;323;[];0.0;0;;;314.0;4.5;1;565.5829044847463;;;0.0
15;15;pane,;1122;309;1189;328;[2847];0.7117;1;13.2027;13.894;318.5;4.5;1;585.0296398007555;0.7117;13.55;0.7117
16;16;6;1211;305;1223;323;[];0.0;0;;;314.0;4.5;1;657.4488313514609;;;0.0
17;17;pave,;27;408;94;427;[2848];0.4043;1;13.8917;14.9328;417.5;103.5;2;655.3068043026881;0.4043;14.41;0.4043
18;18;9;117;404;128;422;[];0.0;0;;;413.0;4.5;2;627.2489762171011;;;0.0
19;19;pawn,;147;408;214;427;[2849];0.7599;1;13.211;14.3531;417.5;4.5;2;550.0017743293212;0.7599;13.78;0.7599
20;20;9;237;404;248;422;[];0.0;0;;;413.0;4.5;2;524.0956231122346;;;0.0
21;21;pean,;267;408;334;427;[2850];0.5015;1;13.0668;14.0792;417.5;4.5;2;452.080629717091;0.5015;13.57;0.5015
22;22;6;357;404;368;422;[];0.0;0;;;413.0;4.5;2;429.78036968363455;;;0.0
23;23;vane,;386;408;454;426;[2851];1.2937;1;13.2978;15.3308;417.0;4.0;2;368.2769524222247;1.2937;14.31;1.2937
24;24;7;477;404;488;422;[];0.0;0;;;413.0;4.0;2;351.4912661296175;;;0.0
25;25;vape,;506;408;574;427;[2852];0.5017;1;12.3854;13.3575;417.5;4.5;2;307.4520836901282;0.5017;12.87;0.5017
26;26;9;597;404;608;422;[];0.0;0;;;413.0;4.5;2;301.9620078178737;;;0.0
27;27;vena,;626;408;694;426;[2853];0.437;1;12.1925;11.8793;417.0;4.0;2;288.53696;0.437;12.04;0.437
28;28;7;717;404;728;422;[];0.0;0;;;413.0;4.0;2;294.5229956478808;;;0.0
29;29;wane,;745;408;814;426;[2854];0.2748;1;12.3061;7.0111;417.0;4.0;2;295.1536089655717;0.2748;9.66;0.2748
30;30;7;837;404;848;422;[];0.0;0;;;413.0;4.0;2;330.66408780725135;;;0.0
31;31;wave,;865;408;934;426;[2855];0.2911;1;14.3593;13.7172;417.0;4.0;2;341.21927976801317;0.2911;14.04;0.2911
32;32;10;957;404;983;422;[];0.0;0;;;413.0;4.0;2;400.9160547613448;;;0.0
33;33;wean,;1000;408;1069;426;[2856];0.6309;1;13.5573;13.7978;417.0;4.0;2;428.7597332835742;0.6309;13.68;0.6309
34;34;7;1092;404;1103;422;[];0.0;0;;;413.0;4.0;2;502.96917894181314;;;0.0
35;35;3;1122;404;1133;422;[2857, 2858];2.5232;2;15.4602;16.5731;413.0;0.0;2;527.6615685886188;1.2616;16.02;0.9703
36;36;letter;1152;403;1238;422;[];0.0;0;;;412.5;0.5;2;552.8792517045667;;;0.0
37;37;words;40;502;113;521;[];0.0;0;;;511.5;99.0;3;601.822724799755;;;0.0
38;38;and;132;502;173;521;[2859];0.5337;1;13.0475;14.1348;511.5;0.0;3;545.3513217050102;0.5337;13.59;0.5337
39;39;their;192;502;263;521;[];0.0;0;;;511.5;0.0;3;462.31404054538683;;;0.0
40;40;Scrabble;282;502;398;521;[2860, 2861];0.5013;2;13.5192;15.3159;511.5;0.0;3;344.38145142472695;0.2507;14.42;0.2262
41;41;score;418;507;488;521;[2862];0.5178;1;13.692;15.386;514.0;2.5;3;274.6357443695223;0.5178;14.54;0.5178
42;42;ane,;507;507;559;525;[2863];0.3879;1;12.8424;14.9512;516.0;2.0;3;226.41592613021194;0.3879;13.9;0.3879
43;43;3;582;503;593;521;[];0.0;0;;;512.0;4.0;3;213.3784620935337;;;0.0
44;44;ape,;612;507;664;526;[2864, 2865];1.86;2;13.001;14.1496;516.5;4.5;3;189.47736985033754;0.93;13.58;1.4719
45;45;5;687;503;698;521;[];0.0;0;;;512.0;4.5;3;193.5813546946131;;;0.0
46;46;ave,;717;507;769;525;[2866];0.6149;1;13.3756;13.1995;516.0;4.0;3;192.5881128351426;0.6149;13.29;0.6149
47;47;6;792;503;803;521;[];0.0;0;;;512.0;4.0;3;222.19207205794186;;;0.0
48;48;awe,;822;507;874;525;[2867];0.5499;1;11.704;12.2997;516.0;4.0;3;235.12923511422738;0.5499;12.0;0.5499
49;49;6;897;503;908;521;[];0.0;0;;;512.0;4.0;3;288.64319303493306;;;0.0
50;50;awn,;927;507;979;525;[2868];0.291;1;10.8974;12.5682;516.0;4.0;3;309.08143458545294;0.291;11.73;0.291
51;51;6;1002;503;1013;521;[];0.0;0;;;512.0;4.0;3;373.2431766093007;;;0.0
52;52;nae,;1032;507;1084;525;[];0.0;0;;;516.0;4.0;3;397.2743500471704;;;0.0
53;53;3;1107;503;1118;521;[2869];0.3073;1;11.5549;12.3139;512.0;4.0;3;466.2145910258512;0.3073;11.93;0.3073
54;54;nap,;1137;507;1189;526;[2870];0.4042;1;8.8779;10.2155;516.5;4.5;3;491.72595140525345;0.4042;9.55;0.4042
55;55;5;1212;503;1223;521;[];0.0;0;;;512.0;4.5;3;563.4284523215008;;;0.0
56;56;nav,;26;606;78;624;[];0.0;0;;;615.0;103.0;4;611.5928272350825;;;0.0
57;57;6;101;602;112;620;[];0.0;0;;;611.0;4.0;4;578.6294002255688;;;0.0
58;58;naw,;131;606;183;624;[2871];0.2588;1;11.3946;12.9565;615.0;4.0;4;507.9875611916118;0.2588;12.18;0.2588
59;59;6;206;602;217;620;[];0.0;0;;;611.0;4.0;4;475.3499330024162;;;0.0
60;60;new,;236;606;288;624;[];0.0;0;;;615.0;4.0;4;405.1011457962092;;;0.0
61;61;6;311;602;322;620;[];0.0;0;;;611.0;4.0;4;373.0323508831393;;;0.0
62;62;pan,;341;606;393;625;[];0.0;0;;;615.5;4.5;4;303.36848947344805;;;0.0
63;63;5;416;602;427;620;[];0.0;0;;;611.0;4.5;4;272.7612707211227;;;0.0
64;64;paw,;446;606;498;625;[2872];0.7601;1;11.7251;14.2777;615.5;4.5;4;205.3972161578671;0.7601;13.0;0.7601
65;65;8;521;602;532;620;[];0.0;0;;;611.0;4.5;4;178.02889317580332;;;0.0
66;66;pea,;551;606;603;625;[2873];0.372;1;11.8212;13.2487;615.5;4.5;4;119.97329871851318;0.372;12.53;0.372
67;67;5;626;602;637;620;[];0.0;0;;;611.0;4.5;4;105.0707514268438;;;0.0
68;68;pen,;656;606;708;625;[2874];0.453;1;12.1394;11.9744;615.5;4.5;4;89.53696000000002;0.453;12.06;0.453
69;69;5;731;602;742;620;[];0.0;0;;;611.0;4.5;4;106.09069518766294;;;0.0
70;70;pew,;761;606;813;625;[2875];0.5172;1;13.8864;14.5951;615.5;4.5;4;118.84276168703592;0.5172;14.24;0.5172
71;71;8;836;602;847;620;[];0.0;0;;;611.0;4.5;4;179.9744748718596;;;0.0
72;72;van,;865;606;918;624;[2878];0.2101;1;12.1391;14.301;615.0;4.0;4;203.40590140259357;0.2101;13.22;0.2101
73;73;6;941;602;952;620;[];0.0;0;;;611.0;4.0;4;274.91159961958977;;;0.0
74;74;vaw,;970;606;1023;624;[2876];0.2749;1;13.2043;13.0445;615.0;4.0;4;301.0806149943926;0.2749;13.12;0.2749
75;75;9;1046;602;1057;620;[];0.0;0;;;611.0;4.0;4;375.24920200501646;;;0.0
76;76;wae,;1074;606;1128;624;[2877];0.4689;1;14.0413;14.2618;615.0;4.0;4;401.4870128975552;0.4689;14.15;0.4689
77;77;6;1151;602;1162;620;[];0.0;0;;;611.0;4.0;4;477.595581643509;;;0.0
78;78;wan,;1179;606;1233;624;[];0.0;0;;;615.0;4.0;4;504.3385742984584;;;0.0
79;79;6;529;701;540;719;[];0.0;0;;;710.0;95.0;5;142.85439999999994;;;0.0
80;80;wap,;557;705;611;724;[];0.0;0;;;714.5;4.5;5;71.85439999999994;;;0.0
81;81;8;634;701;645;719;[2879];0.2588;1;12.9157;13.8263;710.0;4.5;5;37.85439999999994;0.2588;13.37;0.2588
82;82;wen,;662;705;716;723;[2880, 2881];1.6823;2;12.2906;13.1319;714.0;4.0;5;0.0;0.8411;12.71;0.744
83;83;6;739;701;750;719;[];0.0;0;;;710.0;4.0;5;56.14560000000006;;;0.0
