;number;text;x1;y1;x2;y2;fixations;fix_duration;y;diff_y;line;distance;fix_number;fix_duration_avg;pupil_l;pupil_r;pupil
0;0;Dog;71;256;113;279;[];0.0;267.5;;1;961.5598339572355;0;;;;
1;1;behaviorists;132;255;307;274;[2245, 2246, 2247];1.0027;264.5;3.0;1;789.8137026593281;3;0.3342;16.4872;16.276;16.38
2;2;believe;327;255;428;274;[2248];0.2909;264.5;0.0;1;686.958206667944;1;0.2909;17.0336;15.6683;16.35
3;3;that;447;255;502;274;[];0.0;264.5;0.0;1;627.2540640828385;0;;;;
4;4;a;522;260;533;274;[];0.0;267.0;2.5;1;603.1854123803373;0;;;;
5;5;dog,’s;551;255;622;279;[2249];0.2755;267.0;0.0;1;534.4509383281745;1;0.2755;12.5769;16.3169;14.45
6;6;need;642;255;698;274;[];0.0;264.5;2.5;1;488.4099852669247;0;;;;
7;7;to;717;256;743;274;[];0.0;265.0;0.5;1;462.41190480829704;0;;;;
8;8;perform;761;256;864;279;[2250];0.2748;267.5;2.5;1;404.46457333104735;1;0.2748;15.9547;15.2641;15.61
9;9;the;882;255;923;274;[];0.0;264.5;3.0;1;394.26716032208105;0;;;;
10;10;bedtime;942;255;1043;274;[2251, 2252];0.6632;264.5;0.0;1;387.6071428571429;2;0.3316;15.8258;14.8384;15.33
11;11;ritual;1064;255;1147;274;[2253];0.5175;264.5;0.0;1;393.67248126893196;1;0.5175;13.5099;13.1511;13.33
12;12;of;1166;256;1193;274;[];0.0;265.0;0.5;1;423.58594890345165;0;;;;
13;13;turning;34;354;135;378;[];0.0;366.0;101.0;2;905.7102128132109;0;;;;
14;14;around;154;354;240;373;[2254];0.4529;363.5;2.5;2;808.4325111119192;1;0.4529;16.7154;16.3126;16.51
15;15;in;259;354;284;373;[];0.0;363.5;0.0;2;767.4926085785604;0;;;;
16;16;circles;304;354;404;373;[2255];0.3075;363.5;0.0;2;657.8496182431995;1;0.3075;16.3477;15.9192;16.13
17;17;before;424;354;510;373;[2256];0.2907;363.5;0.0;2;564.5138271315623;1;0.2907;16.1477;15.3053;15.73
18;18;lying;528;354;600;378;[];0.0;366.0;2.5;2;486.40076232891727;0;;;;
19;19;down;618;354;674;373;[2257];0.2748;363.5;2.5;2;431.7856600475788;1;0.2748;15.5096;14.3065;14.91
