;number;text;x1;y1;x2;y2;fixations;fix_duration;y;diff_y;line;distance;fix_number;fix_duration_avg;pupil_l;pupil_r;pupil
0;0;Hurricane,,;26;106;169;128;[];0.0;117.0;;1;1145.1601846851756;0;;;;
1;1;typhoon,,;192;106;304;130;[];0.0;118.0;1.0;1;1051.8622799341108;0;;;;
2;2;and;327;106;368;125;[];0.0;115.5;2.5;1;1015.653360526211;0;;;;
3;3;tropical;387;106;502;130;[];0.0;118.0;2.5;1;936.178131739994;0;;;;
4;4;cyclone;522;106;623;130;[234];0.1291;118.0;0.0;1;880.0467323660633;1;0.1291;11.3233;13.2915;12.31
5;5;are;642;111;683;125;[];0.0;118.0;0.0;1;861.8827650836195;0;;;;
6;6;different;701;106;832;125;[];0.0;115.5;2.5;1;821.835482288387;0;;;;
7;7;names;852;111;922;125;[];0.0;118.0;2.5;1;810.0586595723705;0;;;;
8;8;for;942;107;983;125;[];0.0;116.0;2.0;1;807.7005266484513;0;;;;
9;9;the;1002;106;1043;125;[235];0.2262;115.5;0.5;1;807.9058707226885;1;0.2262;12.2274;8.0843;10.16
10;10;same;1062;111;1118;125;[];0.0;118.0;2.5;1;811.4798481466966;0;;;;
11;11;weather;1135;106;1238;125;[];0.0;115.5;2.5;1;821.7360782807249;0;;;;
12;12;phenomenon,.;49;205;206;229;[];0.0;217.0;101.5;2;1048.8657997418857;0;;;;
13;13;A;227;206;241;224;[];0.0;215.0;2.0;2;1026.6268043783903;0;;;;
14;14;tropical;259;205;374;229;[];0.0;217.0;2.0;2;931.1352642168514;0;;;;
15;15;cyclone;394;205;495;229;[];0.0;217.0;0.0;2;856.7903110260909;0;;;;
16;16;is;514;205;539;224;[];0.0;214.5;2.5;2;836.7053925176923;0;;;;
17;17;a;559;210;570;224;[];0.0;217.0;2.5;2;820.6468172534306;0;;;;
18;18;rotating;591;205;705;229;[];0.0;217.0;0.0;2;756.9058099051596;0;;;;
19;19;storm;724;207;796;224;[];0.0;215.5;1.5;2;733.1530123161097;0;;;;
20;20;system;814;207;901;229;[];0.0;218.0;2.5;2;708.5511427329616;0;;;;
21;21;characterized;919;205;1110;224;[];0.0;214.5;3.5;2;708.70016;0;;;;
22;22;by;1129;205;1155;229;[];0.0;217.0;2.5;2;718.5302946071137;0;;;;
23;23;low;1173;205;1216;224;[];0.0;214.5;2.5;2;733.5285005152735;0;;;;
24;24;atmospheric;79;304;240;328;[];0.0;316.0;101.5;3;958.5695078543787;0;;;;
25;25;pressure;259;309;375;328;[];0.0;318.5;2.5;3;858.0575210253596;0;;;;
26;26;and;394;304;435;323;[];0.0;313.5;5.0;3;820.2940686047813;0;;;;
27;27;strong;455;306;541;328;[];0.0;317.0;3.5;3;749.4712817634746;0;;;;
28;28;winds,.;557;304;641;323;[];0.0;313.5;3.5;3;699.4464123778072;0;;;;
29;29;The;663;304;705;323;[];0.0;313.5;0.0;3;670.4079168597173;0;;;;
30;30;term;724;306;781;323;[];0.0;314.5;1.0;3;642.5338868792724;0;;;;
31;31;""",hurricane,""";801;304;958;323;[];0.0;313.5;1.0;3;610.2445062335142;0;;;;
32;32;is;980;304;1005;323;[];0.0;313.5;0.0;3;609.70016;0;;;;
33;33;used;1024;304;1080;323;[];0.0;313.5;0.0;3;611.0259979642319;0;;;;
34;34;in;1100;304;1125;323;[];0.0;313.5;0.0;3;620.68010358653;0;;;;
35;35;the;1144;304;1185;323;[];0.0;313.5;0.0;3;630.4030981746406;0;;;;
36;36;Atlantic;39;403;157;422;[];0.0;412.5;99.0;4;971.7832190916787;0;;;;
37;37;Ocean;175;404;247;422;[];0.0;413.0;0.5;4;896.461988546188;0;;;;
38;38;and;266;403;307;422;[];0.0;412.5;0.5;4;847.8394570366405;0;;;;
39;39;northeastern;326;403;502;422;[];0.0;412.5;0.0;4;702.0801954963447;0;;;;
40;40;Pacific;521;403;622;422;[];0.0;412.5;0.0;4;625.8529355273374;0;;;;
41;41;Ocean,,;640;404;723;426;[];0.0;415.0;2.5;4;569.8647527511994;0;;;;
42;42;while;744;403;817;422;[];0.0;412.5;2.5;4;537.239939792441;0;;;;
43;43;the;836;403;877;422;[];0.0;412.5;0.0;4;521.7416994147445;0;;;;
44;44;term;896;405;953;422;[];0.0;413.5;1.0;4;511.6262519732403;0;;;;
45;45;""",typhoon,""";973;403;1100;427;[];0.0;415.0;1.5;4;505.70016;0;;;;
46;46;is;1122;403;1147;422;[];0.0;412.5;2.5;4;529.0768345979491;0;;;;
47;47;used;1166;403;1222;422;[];0.0;412.5;0.0;4;542.2384826883698;0;;;;
48;48;in;50;502;75;521;[];0.0;511.5;99.0;5;997.676905429902;0;;;;
49;49;the;94;502;135;521;[];0.0;511.5;0.0;5;943.3487454956335;0;;;;
50;50;western;152;504;255;521;[];0.0;512.5;1.0;5;837.0198036057363;0;;;;
51;51;Pacific;274;502;375;521;[];0.0;511.5;1.0;5;734.9132245566041;0;;;;
52;52;Ocean,.;393;503;476;521;[];0.0;512.0;0.5;5;653.7025228865081;0;;;;
53;53;Classification;498;502;705;521;[];0.0;511.5;0.5;5;497.2016810391791;0;;;;
54;54;of;724;503;750;521;[];0.0;512.0;0.5;5;473.4398035951197;0;;;;
55;55;these;769;502;840;521;[];0.0;511.5;0.5;5;436.08109294967784;0;;;;
56;56;storms;860;504;945;521;[];0.0;512.5;1.0;5;413.5215878623335;0;;;;
57;57;is;965;502;990;521;[];0.0;511.5;1.0;5;411.70016;0;;;;
58;58;based;1009;502;1080;521;[];0.0;511.5;0.0;5;412.4725382715625;0;;;;
59;59;on;1099;507;1125;521;[];0.0;514.0;2.5;5;427.5220074197182;0;;;;
60;60;their;1144;502;1215;521;[];0.0;511.5;2.5;5;441.7813971051583;0;;;;
61;61;wind;47;601;105;620;[];0.0;610.5;99.0;6;932.747232613523;0;;;;
62;62;speed,.;125;601;206;625;[];0.0;613.0;2.5;6;836.4238991971628;0;;;;
63;63;Tropical;228;601;344;625;[];0.0;613.0;0.0;6;709.9186781231957;0;;;;
64;64;storms;365;603;450;620;[];0.0;611.5;1.5;6;618.6205427790009;0;;;;
65;65;are;469;606;510;620;[];0.0;613.0;1.5;6;567.6610114744411;0;;;;
66;66;storms;530;603;615;620;[];0.0;611.5;1.5;6;483.50016333832355;0;;;;
67;67;with;632;601;690;620;[];0.0;610.5;1.0;6;429.04774553443997;0;;;;
68;68;winds;707;601;780;620;[];0.0;610.5;0.0;6;373.2337604614373;0;;;;
69;69;between;799;601;900;620;[];0.0;610.5;0.0;6;323.7263287843384;0;;;;
70;70;39;919;602;945;620;[];0.0;611.0;0.5;6;315.0943857770011;0;;;;
71;71;and;964;601;1005;620;[];0.0;610.5;0.5;6;312.70016;0;;;;
72;72;73;1024;602;1050;620;[];0.0;611.0;0.5;6;315.2774574056724;0;;;;
