;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg
0;0;There;203;188;253;208;198.0;;1;[];[];0.0;0.0;0;;;530.8464963818357;;
1;1;are;261;193;289;208;200.5;2.5;1;[];[];0.0;0.0;0;;;501.54306487167213;;
2;2;a;297;193;305;208;200.5;0.0;1;[2123.0];[22.166303332256362];0.3397;0.3397;1;16.6798;20.0068;488.8065722971309;18.34;0.3397
3;3;few;313;188;344;208;198.0;2.5;1;[2124.0];[0.0];0.2747;0.2747;1;17.5236;19.2157;458.61886345948557;18.37;0.2747
4;4;different;352;188;427;208;198.0;0.0;1;[2126.0, 2152.0];[22.556960986799645, 0.8038399999999797];0.8408;0.323;2;20.1809;21.1652;399.48630955374466;20.67;0.4204
5;5;ways;434;193;478;213;203.0;5.0;1;[2125.0, 2141.0];[0.0, 28.254011778747444];0.7761;0.4366;2;18.4349;19.37;363.6933294973532;18.9;0.3881
6;6;that;486;188;521;208;198.0;5.0;1;[2151.0, 2153.0];[24.82007186503699, 0.0];0.582;0.2423;2;19.0148;19.7638;344.6164887536148;19.39;0.291
7;7;you;528;193;559;213;203.0;5.0;1;[2140.0];[1.2160000000000082];0.2101;0.2101;1;18.7147;19.5946;322.9544629214316;19.15;0.2101
8;8;can;568;193;597;208;200.5;2.5;1;[2142.0];[87.83359999999999];0.4207;0.4207;1;18.7918;19.4837;314.1178369989045;19.14;0.4207
9;9;expand;605;188;669;213;200.5;0.0;1;[2127.0, 2129.0, 2130.0, 2139.0, 2154.0];[26.767237400254853, 15.015680000000032, 17.299200000000013, 40.48377866948687, 0.0];1.6013;0.275;5;19.2911;20.2855;295.5016364098013;19.79;0.3203
10;10;the;677;188;705;208;198.0;2.5;1;[2128.0, 2143.0];[49.196800000000025, 99.80415999999997];0.5176;0.2427;2;19.6381;19.9553;299.66848;19.8;0.2588
11;11;concept;713;190;782;213;201.5;3.5;1;[2131.0];[34.136960000000016];0.5338;0.5338;1;20.9935;22.7053;295.47566722298876;21.85;0.5338
12;12;which;789;188;839;208;198.0;3.5;1;[2134.0, 2144.0, 2155.0];[10.69440000000003, 87.45472000000001, 43.75215627721222];0.7921;0.1941;3;18.6463;19.9477;315.2317336831278;19.3;0.264
13;13;you've;847;188;905;213;200.5;2.5;1;[2132.0, 2156.0];[66.47168000000002, 30.788361713452698];0.5488;0.3224;2;19.0787;20.2888;333.333362747971;19.68;0.2744
14;14;outlined;913;188;983;208;198.0;2.5;1;[2133.0, 2138.0];[28.52224000000001, 0.0];0.7117;0.4529;2;18.2041;20.0619;372.8374910344592;19.13;0.3558
15;15;here.;993;188;1036;208;198.0;0.0;1;[];[];0.0;0.0;0;;;425.3232778967905;;
16;16;1;1047;189;1054;208;198.5;0.5;1;[];[];0.0;0.0;0;;;465.2021662899588;;
17;17;-;1063;198;1069;201;199.5;1.0;1;[];[];0.0;0.0;0;;;481.9749303032996;;
18;18;What;221;293;266;313;303.0;103.5;2;[];[];0.0;0.0;0;;;467.620666267938;;
19;19;is;274;294;286;313;303.5;0.5;2;[];[];0.0;0.0;0;;;449.51319393413837;;
