;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg
0;0;Many;209;137;255;161;149.0;;1;[];[];0.0;0.0;0;;;835.914627967288;;
1;1;people;263;136;321;161;148.5;0.5;1;[3741, 3813];[34.05152000000001, 0.0];0.6314;0.3401;2;15.5502;18.5948;785.8742889608296;17.07;0.3157
2;2;would;329;136;380;156;146.0;2.5;1;[3742];[31.893759999999986];0.3396;0.3396;1;14.9025;18.453;746.8157864223878;16.68;0.3396
3;3;say;389;141;418;161;151.0;5.0;1;[3743];[6.884800000000013];0.5176;0.5176;1;14.9688;18.3734;717.0330087587945;16.67;0.5176
4;4;the;425;136;453;156;146.0;5.0;1;[];[];0.0;0.0;0;;;697.6622515585099;;
5;5;most;462;138;505;156;147.0;1.0;1;[3744];[0.0];0.3074;0.3074;1;17.8241;19.9554;665.3242960013481;18.89;0.3074
6;6;mysterious;513;137;610;161;149.0;2.0;1;[3745, 3812, 3814];[30.452799999999996, 21.50752, 45.01408000000001];1.0029;0.4045;3;17.9428;19.5391;604.0144445704005;18.74;0.3343
7;7;unexplained;619;136;725;161;148.5;0.5;1;[3746];[24.906239999999997];0.2744;0.2744;1;14.7849;15.8034;557.4156808430217;15.29;0.2744
8;8;phenomena;735;136;838;161;148.5;0.0;1;[3747];[16.181759999999997];0.3884;0.3884;1;14.5829;15.6697;532.2558328940037;15.13;0.3884
9;9;in;847;137;860;155;146.0;2.5;1;[];[];0.0;0.0;0;;;536.0076432008126;;
10;10;the;869;136;896;156;146.0;0.0;1;[];[];0.0;0.0;0;;;533.3388338098863;;
11;11;universe;905;137;979;156;146.5;0.5;1;[3748];[3.6649600000000078];0.3557;0.3557;1;14.5513;15.4116;533.299858287708;14.98;0.3557
12;12;are;987;141;1015;156;148.5;2.0;1;[3749];[0.0];0.4041;0.4041;1;14.1917;17.0299;539.8999578159732;15.61;0.4041
13;13;what;1023;136;1065;156;146.0;2.5;1;[];[];0.0;0.0;0;;;546.6714490895694;;
14;14;astrophysicists;213;241;344;265;253.0;107.0;2;[3740];[4.230079999999987];0.3721;0.3721;1;14.113;18.9776;701.6371723117936;16.55;0.3721
15;15;call;352;241;380;260;250.5;2.5;2;[];[];0.0;0.0;0;;;676.4794039508442;;
16;16;dark;389;241;428;260;250.5;0.0;2;[];[];0.0;0.0;0;;;640.1083208096029;;
17;17;matter;436;242;495;260;251.0;0.5;2;[];[];0.0;0.0;0;;;592.1175356039454;;
18;18;and;502;241;533;260;250.5;0.5;2;[];[];0.0;0.0;0;;;566.6159602144027;;
