;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg
0;0;Very;224;399;264;422;410.5;;1;[1015, 1054, 1055];[6.513280000000009, 33.249919999999975, 19.26008561958123];1.8763;0.6632;3;11.2346;15.5536;145.77700846399065;13.39;0.6254
1;1;small.;272;398;323;418;408.0;2.5;1;[1016];[0.0684800000000223];0.5014;0.5014;1;15.8206;16.4364;91.47238729097653;16.13;0.5014
2;2;But;333;399;362;418;408.5;0.5;1;[];[];0.0;0.0;0;;;58.92245104126611;;
3;3;ironically;370;398;448;422;410.0;1.5;1;[1017, 1018, 1056, 1096];[0.0, 6.6784000000000106, 7.240319999999997, 36.00448];1.601;0.5176;4;17.1636;16.9585;36.00448;17.06;0.4003
4;4;the;456;398;484;418;408.0;2.0;1;[1019];[7.825280000000021];0.3559;0.3559;1;17.2094;17.5025;64.61288444815321;17.36;0.3559
5;5;probability;492;398;586;422;410.0;2.0;1;[1057];[0.8768000000000029];0.4529;0.4529;1;16.8514;16.6717;93.9149157307315;16.76;0.4529
6;6;increases;595;399;676;418;408.5;1.5;1;[1020, 1058];[12.327359999999999, 0.0];0.7924;0.4043;2;17.0831;17.2869;193.9106042399703;17.19;0.3962
7;7;for;684;398;709;418;408.0;0.5;1;[1021];[3.759999999999991];0.647;0.647;1;16.4737;17.7313;281.5952770142113;17.1;0.647
8;8;those;715;398;763;418;408.0;0.0;1;[1025, 1059, 1063];[0.0, 0.0, 12.469119999999975];1.0196;0.3561;3;17.3268;17.7086;312.3119120954409;17.52;0.3399
9;9;knowing;772;398;844;422;410.0;2.0;1;[1022];[7.354240000000004];0.4689;0.4689;1;16.6498;17.7813;368.5023248185965;17.22;0.4689
10;10;about;853;398;903;418;408.0;2.0;1;[1026, 1060];[0.0, 7.0096619691394375];0.5818;0.2423;2;17.3687;17.282;449.52280213211696;17.33;0.2909
