;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil;first_fix_duration
0;0;That;108;354;165;373;[1245, 1259];0.1779;2;9.2017;12.5867;363.5;;1;892.4975999999999;0.0889;10.89;0.0643
1;1;would;182;354;255;373;[1234, 1260];0.6793;2;13.3898;14.8609;363.5;0.0;1;802.4975999999999;0.3397;14.13;0.4045
2;2;be;274;354;300;373;[];0.0;0;;;363.5;0.0;1;757.4975999999999;;;0.0
3;3;NASA's;319;355;405;373;[1233, 1235, 1261];1.0507;3;13.0609;14.8509;364.0;0.5;1;652.4975999999999;0.3502;13.96;0.2101
4;4;telescope,;424;354;566;378;[1236, 1262];0.9058;2;14.9848;15.5824;366.0;2.0;1;491.4975999999999;0.4529;15.28;0.3395
5;5;the;589;354;630;373;[];0.0;0;;;363.5;2.5;1;427.4975999999999;;;0.0
6;6;"""James";651;355;735;373;[1237, 1263];0.7603;2;15.2815;15.6955;364.0;0.5;1;322.4975999999999;0.3802;15.49;0.3397
7;7;Webb;752;354;811;373;[1238, 1246, 1264];1.1492;3;15.2695;15.2175;363.5;0.5;1;246.49759999999992;0.3831;15.24;0.4205
8;8;Space;829;355;900;378;[1239, 1265];0.9543;2;15.8905;16.2856;366.5;3.0;1;157.49759999999992;0.4772;16.09;0.4207
9;9;"Telescope"",";918;354;1076;378;[1240, 1241, 1247, 1248, 1266, 1267];2.0545;6;15.2096;16.2373;366.0;0.5;1;0.0;0.3424;15.72;0.2752
10;10;also;1099;354;1155;373;[1249, 1250];1.4396;2;15.5411;15.4009;363.5;2.5;1;41.50240000000008;0.7198;15.47;1.0515
11;11;abbreviated;34;453;195;472;[1242];0.5985;1;14.7353;16.6392;462.5;99.0;2;867.0447363785752;0.5985;15.69;0.5985
12;12;as;214;458;239;472;[1243];0.275;1;14.5277;16.3752;465.0;2.5;2;823.8413708133448;0.275;15.45;0.275
13;13;the;259;453;300;472;[];0.0;0;;;462.5;2.5;2;762.671016154274;;;0.0
14;14;"""JWST"",";320;454;416;475;[1244];0.3397;1;12.3932;12.1242;464.5;2.0;2;647.7360568303702;0.3397;12.26;0.3397
15;15;is;439;453;464;472;[];0.0;0;;;462.5;2.0;2;600.0865488259114;;;0.0
16;16;a;484;458;495;472;[];0.0;0;;;465.0;2.5;2;570.2454147677219;;;0.0
17;17;telescope;514;453;645;477;[];0.0;0;;;465.0;0.0;2;421.9226645746741;;;0.0
18;18;that;664;453;719;472;[];0.0;0;;;462.5;2.5;2;349.9215484673572;;;0.0
19;19;was;737;458;779;472;[];0.0;0;;;465.0;2.5;2;293.8319183880662;;;0.0
20;20;launched;798;453;915;472;[];0.0;0;;;462.5;2.5;2;167.83930076651606;;;0.0
21;21;December;933;453;1050;472;[];0.0;0;;;462.5;0.0;2;88.99819594684523;;;0.0
22;22;25,;1068;454;1106;475;[];0.0;0;;;464.5;2.0;2;90.29467823829208;;;0.0
23;23;2021;1128;454;1184;472;[];0.0;0;;;463.0;1.5;2;114.07636441505623;;;0.0
24;24;to;1204;454;1230;472;[];0.0;0;;;463.0;0.0;2;171.77247078084636;;;0.0
25;25;take;56;552;112;571;[];0.0;0;;;561.5;98.5;3;963.9451107204148;;;0.0
26;26;images;131;552;216;576;[1252];0.3559;1;14.7178;16.7349;564.0;2.5;3;862.1732283490325;0.3559;15.73;0.3559
27;27;of;235;553;262;571;[1251];0.2588;1;14.5447;16.5874;562.0;2.0;3;817.5678932774675;0.2588;15.57;0.2588
28;28;planets;280;552;381;576;[1253];0.2427;1;14.016;15.7411;564.0;2.0;3;702.0494766622884;0.2427;14.88;0.2427
29;29;that;401;552;456;571;[];0.0;0;;;561.5;2.5;3;630.0982682739201;;;0.0
30;30;the;476;552;517;571;[1254];0.6634;1;13.3622;16.3988;561.5;0.0;3;572.1556785367012;0.6634;14.88;0.6634
31;31;Hubble;535;552;622;571;[];0.0;0;;;561.5;0.0;3;474.21790822552555;;;0.0
32;32;Space;640;553;712;576;[1255];0.2589;1;15.7341;16.3175;564.5;3.0;3;393.6615552961156;0.2589;16.03;0.2589
33;33;Telescope;729;552;862;576;[1256];0.2426;1;16.0753;16.1026;564.0;0.5;3;271.00512261171934;0.2426;16.09;0.2426
34;34;couldn't.;881;552;1008;571;[1257];0.3074;1;15.1792;14.959;561.5;2.5;3;194.09914291874927;0.3074;15.07;0.3074
35;35;You;1029;553;1071;571;[];0.0;0;;;562.0;0.5;3;188.6818181818182;;;0.0
36;36;can;1091;557;1131;571;[1258];0.2748;1;14.6542;13.5169;564.0;2.0;3;195.57273292463663;0.2748;14.09;0.2748
37;37;view;1150;552;1208;571;[];0.0;0;;;561.5;2.5;3;209.23947735021963;;;0.0
38;38;images;147;651;232;675;[];0.0;0;;;663.0;101.5;4;873.8608313008388;;;0.0
39;39;taken;251;651;322;670;[];0.0;0;;;660.5;2.5;4;789.3941882746495;;;0.0
40;40;by;341;651;367;675;[];0.0;0;;;663.0;2.5;4;747.6452370488245;;;0.0
41;41;the;386;651;427;670;[];0.0;0;;;660.5;2.5;4;692.6136646658027;;;0.0
42;42;telescope;446;651;577;675;[];0.0;0;;;663.0;2.5;4;559.5215889327176;;;0.0
43;43;here:;596;651;663;670;[];0.0;0;;;660.5;2.5;4;487.66261009205226;;;0.0
44;44;https://webbtelescope.org/home;686;651;1132;675;[];0.0;0;;;663.0;2.5;4;286.6818181818182;;;0.0
