;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil;first_fix_duration
0;0;Coffee;33;157;120;175;[2464];0.7117;1;8.9159;11.7427;166.0;;1;1050.7002099654314;0.7117;10.33;0.7117
1;1;is;140;156;165;175;[2437, 2438];0.5503;2;13.4178;13.2436;165.5;0.5;1;1016.3981086274224;0.2752;13.33;0.2752
2;2;believed;184;156;300;175;[2439, 2445];0.6467;2;14.4526;11.7139;165.5;0.0;1;919.0471517944014;0.3234;13.08;0.5337
3;3;to;319;157;345;175;[];0.0;0;;;166.0;0.5;1;888.786729885973;;;0.0
4;4;have;364;156;420;175;[2440];0.3071;1;13.0803;14.0018;165.5;0.5;1;841.2879954102528;0.3071;13.54;0.3071
5;5;originated;439;156;585;180;[2441];0.2754;1;10.0258;13.6059;168.0;2.5;1;748.2742342359528;0.2754;11.82;0.2754
6;6;in;605;156;630;175;[];0.0;0;;;165.5;2.5;1;733.1587026158809;;;0.0
7;7;the;649;156;690;175;[];0.0;0;;;165.5;0.0;1;710.6902245151551;;;0.0
8;8;highlands;709;156;840;180;[2442];0.2589;1;12.716;12.1957;168.0;2.5;1;669.9363444547561;0.2589;12.46;0.2589
9;9;of;859;157;885;175;[];0.0;0;;;166.0;2.0;1;670.3521904352976;;;0.0
10;10;Ethiopia,;904;156;1031;180;[2443, 2446];0.5176;2;11.5774;13.0513;168.0;2.0;1;663.81696;0.2588;12.31;0.4205
11;11;where;1052;156;1125;175;[2444];0.2098;1;14.827;13.9763;165.5;2.5;1;679.7916575108889;0.2098;14.4;0.2098
12;12;it;1145;156;1170;175;[2465];0.5983;1;11.9474;12.7305;165.5;0.0;1;702.4201102057099;0.5983;12.34;0.5983
13;13;was;1187;161;1230;175;[];0.0;0;;;168.0;2.5;1;716.3722842359283;;;0.0
14;14;consumed;64;255;180;274;[2447];0.5663;1;13.4573;13.9496;264.5;96.5;2;942.1810256746851;0.5663;13.7;0.5663
15;15;due;198;255;240;274;[];0.0;0;;;264.5;0.0;2;895.1335079983329;;;0.0
16;16;to;259;256;285;274;[];0.0;0;;;265.0;0.5;2;860.9054426250316;;;0.0
17;17;its;305;255;345;274;[2448];0.2913;1;13.5655;14.6308;264.5;0.5;2;816.8947870695476;0.2913;14.1;0.2913
