;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil;first_fix_duration
0;0;I'm;72;355;114;373;[];0.0;0;;;364.0;;1;590.1938262536659;;;0.0
1;1;so;132;359;158;373;[];0.0;0;;;366.0;2.0;1;550.5107771405956;;;0.0
2;2;sorry;177;359;248;378;[3694, 3695];0.4531;2;13.4956;14.7785;368.5;2.5;1;469.1421368284269;0.2266;14.14;0.2102
3;3;to;267;355;293;373;[];0.0;0;;;364.0;4.5;1;433.9825385288473;;;0.0
4;4;hear;312;354;368;373;[];0.0;0;;;363.5;0.5;1;374.6422343355623;;;0.0
5;5;that!;387;354;453;373;[3696];0.4365;1;14.8828;16.1667;363.5;0.0;1;315.5548949833331;0.4365;15.52;0.4365
6;6;The;475;354;518;373;[3697];0.2749;1;15.8582;16.9324;363.5;0.0;1;279.53304589608433;0.2749;16.4;0.2749
7;7;best;537;354;592;373;[];0.0;0;;;363.5;0.0;1;253.02266884202766;;;0.0
8;8;thing;612;354;683;378;[3698];0.2752;1;15.4008;16.306;366.0;2.5;1;241.19232;0.2752;15.85;0.2752
9;9;to;702;355;728;373;[];0.0;0;;;364.0;2.0;1;251.54299622120746;;;0.0
10;10;do;746;354;773;373;[3699];0.2424;1;15.5716;16.8445;363.5;0.5;1;264.1046045564946;0.2424;16.21;0.2424
11;11;would;790;354;863;373;[3700];0.3884;1;15.4964;16.413;363.5;0.0;1;283.02050340557025;0.3884;15.95;0.3884
12;12;be;882;354;908;373;[];0.0;0;;;363.5;0.0;1;338.0121047358251;;;0.0
13;13;to;927;355;953;373;[3701];0.3396;1;14.5896;15.4085;364.0;0.5;1;370.29955299452143;0.3396;15.0;0.3396
14;14;give;971;354;1028;378;[3702];0.3396;1;15.4496;12.3929;366.0;2.0;1;401.20094584627094;0.3396;13.92;0.3396
15;15;your;1046;359;1103;378;[3703];0.4043;1;15.8162;16.3493;368.5;2.5;1;463.3337446678608;0.4043;16.08;0.4043
16;16;dog;1121;354;1163;378;[3704];0.5986;1;12.959;14.5825;366.0;2.5;1;528.8138793072118;0.5986;13.77;0.5986
17;17;a;1182;359;1193;373;[];0.0;0;;;366.0;0.0;1;585.846415836047;;;0.0
18;18;thorough;64;453;179;477;[3705, 3706];0.5657;2;14.9743;16.8544;465.0;99.0;2;492.37240173261375;0.2828;15.91;0.291
19;19;bath;199;453;254;472;[];0.0;0;;;462.5;2.5;2;422.8397630166094;;;0.0
20;20;with;272;453;329;472;[3707];0.2427;1;15.1864;16.6107;462.5;0.0;2;353.49600448653223;0.2427;15.9;0.2427
21;21;a;349;458;360;472;[];0.0;0;;;465.0;2.5;2;325.5672311335132;;;0.0
22;22;special;379;453;479;477;[3708];0.3398;1;15.237;16.9933;465.0;0.0;2;222.69805115434303;0.3398;16.12;0.3398
23;23;pet;498;454;539;477;[];0.0;0;;;465.5;0.5;2;180.62998086680514;;;0.0
24;24;shampoo;559;453;660;477;[3709];0.4207;1;15.4511;16.6726;465.0;0.5;2;142.19232;0.4207;16.06;0.4207
25;25;to;679;454;705;472;[3710];0.2588;1;15.3465;16.1978;463.0;2.0;2;149.94634102885738;0.2588;15.77;0.2588
26;26;help;724;453;780;477;[];0.0;0;;;465.0;2.0;2;160.11420295508577;;;0.0
27;27;get;798;454;839;477;[];0.0;0;;;465.5;0.5;2;204.954397825327;;;0.0
28;28;rid;861;453;900;472;[3711];0.5012;1;15.2659;15.6351;462.5;3.0;2;256.9448088363382;0.5012;15.45;0.5012
29;29;of;918;454;945;472;[];0.0;0;;;463.0;0.5;2;305.41572387148375;;;0.0
30;30;the;964;453;1005;472;[];0.0;0;;;462.5;0.5;2;346.431166594379;;;0.0
31;31;smell.;1024;453;1106;472;[3712, 3713];0.6787;2;11.4093;13.277;462.5;0.0;2;401.5561245802913;0.3394;12.34;0.3877
32;32;After;1127;454;1200;472;[];0.0;0;;;463.0;0.5;2;498.8178420906197;;;0.0
33;33;that,;64;552;131;574;[3715];0.081;1;10.7259;14.6065;563.0;100.0;3;521.3559796414944;0.081;12.67;0.081
34;34;you;153;557;194;576;[3714];0.2913;1;13.7881;16.3946;566.5;3.5;3;458.4328681802194;0.2913;15.09;0.2913
35;35;can;214;557;254;571;[];0.0;0;;;564.0;2.5;3;399.3123912777343;;;0.0
36;36;use;274;557;315;571;[];0.0;0;;;564.0;0.0;3;338.8382602775879;;;0.0
37;37;certain;334;552;434;571;[3716, 3717];1.0354;2;13.0407;15.2038;561.5;2.5;3;221.69503789652669;0.5177;14.12;0.6309
38;38;pet;453;553;494;576;[3718];0.4045;1;13.1757;14.9773;564.5;3.0;3;162.24837326747655;0.4045;14.08;0.4045
39;39;odor;513;552;570;571;[];0.0;0;;;561.5;3.0;3;93.73169489528289;;;0.0
40;40;neutralizers;589;552;764;571;[3719];0.4048;1;13.9855;14.9442;561.5;0.0;3;48.192319999999995;0.4048;14.46;0.4048
41;41;to;784;553;810;571;[3720];0.2432;1;14.1914;15.3752;562.0;0.5;3;142.03228445653616;0.2432;14.78;0.2432
42;42;help;829;552;885;576;[];0.0;0;;;564.0;2.0;3;183.75478940137154;;;0.0
43;43;remove;906;557;990;571;[3721, 3724];0.4692;2;15.2849;16.5444;564.0;0.0;3;260.10984492698924;0.2346;15.91;0.2588
44;44;any;1009;557;1050;576;[3722, 3723];0.8577;2;14.763;15.3275;566.5;2.5;3;361.1981819277921;0.4288;15.05;0.2429
45;45;lingering;1068;552;1200;576;[];0.0;0;;;564.0;2.5;3;419.83411227286234;;;0.0
46;46;odor.;604;651;671;670;[3725];0.3887;1;14.4287;15.6532;660.5;96.5;4;31.807680000000005;0.3887;15.04;0.3887
