;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil;first_fix_duration
0;0;Adobe;70;453;142;472;[1294];0.4854;1;14.4881;15.7292;462.5;;1;686.0256398550994;0.4854;15.11;0.4854
1;1;Photoshop;161;453;293;477;[];0.0;0;;;465.0;2.5;1;535.6319760232751;;;0.0
2;2;can;311;458;352;472;[1295];0.2747;1;14.0309;16.0216;465.0;0.0;1;478.1075805073566;0.2747;15.03;0.2747
3;3;be;371;453;397;472;[];0.0;0;;;462.5;2.5;1;433.81472835600965;;;0.0
4;4;used;416;453;472;472;[];0.0;0;;;462.5;0.0;1;360.3828776989806;;;0.0
5;5;as;491;458;517;472;[1296];0.3399;1;13.1192;15.1435;465.0;2.5;1;316.67677296985084;0.3399;14.13;0.3399
6;6;a;536;458;547;472;[];0.0;0;;;465.0;0.0;1;287.761044164422;;;0.0
7;7;tool;566;453;621;472;[1297];0.2425;1;13.1727;14.8114;462.5;2.5;1;217.6938458905038;0.2425;13.99;0.2425
8;8;to;641;454;667;472;[];0.0;0;;;463.0;0.5;1;175.77081253324857;;;0.0
9;9;forge;687;454;757;477;[1298];0.3881;1;13.6165;14.1709;465.5;2.5;1;100.41377265394627;0.3881;13.89;0.3881
10;10;documents;775;453;907;472;[];0.0;0;;;462.5;3.0;1;80.41728;;;0.0
11;11;illegally;927;453;1057;477;[1299];0.2587;1;13.4808;14.0272;465.0;2.5;1;128.22747653525118;0.2587;13.75;0.2587
12;12;but;1076;453;1117;472;[1300];0.5013;1;9.0501;11.0182;462.5;2.5;1;265.19096994165994;0.5013;10.03;0.5013
13;13;it's;1137;453;1192;472;[];0.0;0;;;462.5;0.0;1;323.8474000800352;;;0.0
14;14;strongly;417;552;532;576;[1301];0.3719;1;11.9904;14.3266;564.0;101.5;2;291.29600000000005;0.3719;13.16;0.3719
15;15;advised;551;552;652;571;[1302];0.4046;1;12.7887;14.9691;561.5;2.5;2;171.29600000000005;0.4046;13.88;0.4046
16;16;to;671;553;697;571;[];0.0;0;;;562.0;0.5;2;126.29734430540657;;;0.0
17;17;not;716;553;757;571;[];0.0;0;;;562.0;0.0;2;66.29856090895493;;;0.0
18;18;do;775;552;802;571;[1303];0.4691;1;12.993;13.7964;561.5;0.5;2;21.29600000000005;0.4691;13.39;0.4691
19;19;so.;822;557;858;571;[1304];0.2104;1;12.9586;10.4713;564.0;2.5;2;4.582719999999995;0.2104;11.71;0.2104
