;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil;first_fix_duration
0;0;Hello,;42;502;124;524;[148];0.5826;1;14.7809;15.5759;513.0;;1;973.5288763532028;0.5826;15.18;0.5826
1;1;I;148;503;157;521;[];0.0;0;;;512.0;1.0;1;940.5549059005166;;;0.0
2;2;am;177;507;204;521;[];0.0;0;;;514.0;2.0;1;893.6606843167766;;;0.0
3;3;the;222;502;263;521;[147, 149];0.5178;2;14.288;15.2923;511.5;2.5;1;834.5575370778995;0.2589;14.79;0.1943
4;4;Open;281;503;338;526;[];0.0;0;;;514.5;3.0;1;759.6021125652098;;;0.0
5;5;Assistant;355;502;488;521;[150];0.3073;1;13.3895;15.964;511.5;3.0;1;609.6316286853313;0.3073;14.68;0.3073
6;6;chatbot.;507;502;619;521;[151];0.744;1;13.0195;13.8878;511.5;0.0;1;478.7068425388649;0.744;13.45;0.744
7;7;Is;643;503;668;521;[];0.0;0;;;512.0;0.5;1;429.79050875226363;;;0.0
8;8;there;687;502;758;521;[152];0.2911;1;14.1904;14.5314;511.5;0.5;1;339.85004147937013;0.2911;14.36;0.2911
9;9;anything;777;502;894;526;[];0.0;0;;;514.0;2.5;1;204.17884585218326;;;0.0
10;10;I;913;503;922;521;[153];0.2264;1;13.3886;12.9252;512.0;2.0;1;176.41606223224008;0.2264;13.16;0.2264
11;11;can;942;507;983;521;[];0.0;0;;;514.0;2.0;1;116.70700190446846;;;0.0
12;12;assist;1002;502;1088;521;[154, 155, 157];0.9061;3;15.6826;15.7463;511.5;2.5;1;20.55632976797172;0.302;15.71;0.3558
13;13;you;1107;507;1148;526;[];0.0;0;;;516.5;5.0;1;25.21979170274012;;;0.0
14;14;with?;1165;502;1238;521;[156];0.6955;1;15.3445;15.9164;511.5;5.0;1;70.07578393089581;0.6955;15.63;0.6955
