;x;y;duration;pupil_r;pupil_l;word;word_number
1094;631.6288;496.49664;1.09985;11.8463;10.5176;;
1095;157.8496;269.568;0.48523;14.5123;14.5172;smallest;1.0
1096;337.6256;267.2128;0.3396;14.8551;14.437;galaxy;3.0
1097;526.3104;238.63296;0.30707;14.4868;14.4771;the;5.0
1098;779.9168;230.12352;0.61469;16.2377;14.8841;Segue;8.0
1099;922.2911999999999;253.952;0.43677;15.2937;14.7297;Segue;10.0
1100;1061.2096;246.28224;0.38837;14.0986;13.9573;dwarf;14.0
1101;1152.2048;263.92576;0.40442;14.9509;13.0428;galaxy;15.0
1102;145.0112;369.46944;0.59839;15.6137;13.7927;located;18.0
1103;335.2832;377.0368;0.35583;16.2847;13.9688;about;19.0
1104;441.7024;353.03424;0.43695;14.2912;13.4675;75,000;20.0
1105;520.2687999999999;355.09248;0.21045;8.0604;11.5015;light-years;21.0
1106;-108.0832;-288.07168;0.08075;7.7994;9.3819;The;0.0
1107;-138.3808;-266.56768;0.14545;7.7994;9.0643;The;0.0
1108;-143.09120000000001;-255.85664;0.42041;7.7994;8.9148;The;0.0
1109;-149.44;-266.11712;0.12927;7.7994;8.9408;The;0.0
1110;-145.6896;-269.4656;0.20996;7.7994;9.1592;The;0.0
1111;-124.09599999999999;-267.50976;0.32343;7.7994;8.9978;The;0.0
1112;-160.4352;-250.85952;0.17773;7.7994;9.0719;The;0.0
1113;-131.2896;-244.09088;0.17786;7.7994;9.0015;The;0.0
1114;-162.3168;-242.9952;0.12964;7.7994;9.2219;The;0.0
1115;-176.9856;-271.59552;0.32343;7.7994;8.8412;The;0.0
1116;-110.59200000000001;-229.21216;0.08099;7.7994;8.965;The;0.0
1117;-159.2576;-251.37152;0.14545;7.7994;9.1652;The;0.0
1118;-178.21439999999998;-280.03328;0.27521;7.7994;9.2242;The;0.0
1119;-165.84959999999998;-270.49984;0.16187;7.7994;8.8457;The;0.0
1120;-173.15840000000003;-254.94528;0.09741;7.7994;9.0604;The;0.0
1121;-145.6256;-262.16448;0.08075;7.7994;9.0844;The;0.0
1122;-122.56;-297.41056;0.06488;7.7994;9.3292;The;0.0
1123;-154.8544;-263.77216;0.17786;7.7994;8.9732;The;0.0
1124;-159.5008;-255.05792;0.08081;7.7994;8.9655;The;0.0
1125;-166.34879999999998;-279.45984;0.08093;7.7994;8.7723;The;0.0
1126;-175.424;-250.78784;0.09692;7.7994;8.784;The;0.0
1127;-102.3232;-252.2112;0.06482;7.7994;9.4704;The;0.0
1128;-185.90720000000002;-275.7632;0.09735;7.7994;8.7951;The;0.0
1129;-182.8096;-285.5424;0.12952;7.7994;9.2862;The;0.0
1130;-156.5952;-267.43808;0.08075;7.7994;8.9288;The;0.0
1131;-169.7408;-271.22688;0.1615;7.7994;8.857;The;0.0
1132;-180.4288;-259.9424;0.08075;7.7994;9.1538;The;0.0
1133;-185.7664;-264.21248;0.3233;7.7994;8.9046;The;0.0
1134;-159.3344;-266.14784;0.17804;7.7994;8.9145;The;0.0
1135;-160.64;-265.39008;0.19397;7.7994;9.1312;The;0.0
1136;-182.4384;-247.10144;0.20984;7.7994;9.1395;The;0.0
1137;-161.088;-243.42528;0.09741;7.7994;8.9217;The;0.0
1138;-54.9632;-237.6704;0.0647;7.7994;9.2701;The;0.0
1139;-108.45439999999999;-299.20256;0.46918;7.7994;8.7602;The;0.0
1140;-134.1184;-272.86528;0.12927;7.7994;9.1015;The;0.0
1141;-160.9216;-258.94912;0.08112;7.7994;9.1436;The;0.0
1142;-135.424;-297.3696;0.08093;7.7994;9.1699;The;0.0
1143;-132.4544;-270.58176;0.19403;7.7994;9.058;The;0.0
1144;-131.7632;-262.73792;0.06445;7.7994;9.0216;The;0.0
1145;-158.0672;-270.06976;0.12952;7.7994;9.0133;The;0.0
1146;-136.7424;-273.68448;0.08105;7.7994;8.9799;The;0.0
1147;-193.9968;-263.66976;0.08093;7.7994;9.1878;The;0.0
1148;-179.8528;-265.90208;0.1297;7.7994;9.0488;The;0.0
1149;-166.8608;-251.67872;0.09711;7.7994;8.7969;The;0.0
1150;-162.5344;-256.36864;0.12952;7.7994;9.2792;The;0.0
1151;-147.0976;-244.0704;0.06476;7.7994;9.1956;The;0.0
1152;-130.6624;-298.69056;0.08105;7.7994;8.8534;The;0.0
