;x;y;duration;pupil_r;pupil_l;word;word_number
398;618.8928;489.4208;0.42041;7.817;6.6093;;
399;119.83359999999999;321.08544;0.43689;16.2952;15.1555;are;1.0
400;250.7392;309.6576;0.25873;16.7184;14.9601;common;3.0
401;417.4336;311.22432;0.38837;15.8918;15.3504;abbreviations;4.0
402;581.5936;315.31008;0.56586;16.9517;16.4273;you;5.0
403;710.1824;300.83072;0.38821;16.0668;14.948;find;7.0
404;825.3568;298.6496;0.25891;15.8606;15.2896;used;8.0
405;910.7072;299.27424;0.42053;14.9625;14.4467;Tinder:;10.0
406;1037.0048;279.30624;0.45288;12.6211;10.5911;"""hru""";11.0
407;1078.7456;291.36896;0.42026;14.0322;13.0014;"""hru""";11.0
408;1100.48;299.74528;0.30725;10.9417;8.6722;-;12.0
409;111.8464;412.44672;0.3074;15.7435;14.7953;you?;15.0
410;209.44639999999998;424.99072;0.3237;15.3289;13.6691;"""lol""";16.0
411;304.8448;410.34752;0.74396;16.7632;15.2396;Laughing;18.0
412;419.49440000000004;415.85664;0.27496;15.81;14.1357;out;19.0
413;477.0944;412.43648;0.37192;15.5076;14.6432;loud;20.0
414;559.1296;409.31328;0.61462;12.8895;7.7892;"""wbu""";21.0
415;808.5375999999999;413.44;0.3558;14.0959;13.8844;you?;25.0
416;914.688;380.18048;0.27502;13.441;12.7067;"""wya""";26.0
417;987.4304;394.48576;0.30743;12.9774;13.7604;-;27.0
418;1104.9984;418.82624;0.25897;12.8246;13.5284;you;29.0
419;1096.9088000000002;404.03968;0.33954;10.72;11.1644;you;29.0
420;186.8928;527.50336;0.64713;15.3406;14.3766;"""omg""";31.0
421;317.6192;511.24224;0.37213;14.9575;13.1734;god/gosh;35.0
422;423.872;509.88032;0.40448;16.1492;13.6305;god/gosh;35.0
423;515.4176;502.45632;0.64716;14.976;13.8073;"""imo""";36.0
424;679.1552;511.1808;0.30734;14.067;14.2997;opinion;40.0
425;853.7088;508.5696;0.45303;14.1478;13.7771;"""btw""";41.0
426;990.7328;501.57568;0.35583;14.9516;15.156;the;44.0
427;1083.5968;495.93344;0.42041;15.2039;14.7113;These;46.0
428;1097.1136;477.71648;0.04861;11.4539;9.8339;These;46.0
429;167.744;630.71232;0.40417;14.4448;13.9827;abbreviations;47.0
430;312.23040000000003;602.79808;0.27466;14.1287;13.409;be;49.0
431;434.4064;600.13568;0.25861;13.7839;12.8691;to;51.0
432;352.3456;607.58016;0.79248;14.6984;13.2369;used;50.0
433;499.9936;604.66176;0.40454;15.0771;13.101;save;52.0
434;652.5184;603.20768;0.4852;14.298;12.9986;while;54.0
435;799.1424000000001;591.5648;0.29138;14.3961;13.9629;texting.;55.0
436;919.9104;596.34688;0.46902;13.7924;12.8913;you;57.0
437;1046.2464;600.5248;0.25888;14.8097;14.1737;me;59.0
438;1101.2096;604.37504;0.40469;13.6701;13.2859;explain;61.0
439;989.2224;596.40832;0.19418;14.6155;12.5753;want;58.0
440;526.1696;698.89024;0.37238;13.8397;12.2357;specific;63.0
441;647.0655999999999;709.24288;0.25882;13.425;12.0592;let;65.0
442;710.7456000000001;706.53952;0.56625;13.7847;12.8514;me;66.0
443;784.576;704.84992;0.97058;11.9985;13.9403;know!;67.0
