;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil;first_fix_duration
0;0;The;55;354;97;373;[];0.0;0;;;363.5;;1;7.053.063.903.379.110;;;0.0
1;1;average;116;357;217;378;[826];0.3399;1;14.13;152.544;367.5;4.0;1;5.947.569.280.399.290;0.3399;14.69;0.3399
2;2;length;236;354;322;378;[825];0.2103;1;137.071;146.094;366.0;1.5;1;5.040.182.094.443.550;0.2103;14.16;0.2103
3;3;of;341;355;367;373;[827];0.2426;1;137.358;152.522;364.0;2.0;1;4.699.276.032.023.380;0.2426;14.49;0.2426
4;4;a;386;359;397;373;[];0.0;0;;;366.0;2.0;1;4.462.015.511.531.690;;;0.0
5;5;female;417;354;502;373;[828];0.2264;1;151.656;157.979;363.5;2.5;1;3.703.975.921.243.200;0.2264;15.48;0.2264
6;6;finger;522;354;607;378;[];0.0;0;;;366.0;2.5;1;3.075.160.799.885.010;;;0.0
7;7;is;627;354;652;373;[829];0.2589;1;14.283;147.051;363.5;2.5;1;29.498.090.828.305.200;0.2589;14.49;0.2589
8;8;around;671;354;757;373;[830];0.3236;1;13.967;14.54;363.5;0.0;1;28.017.888.000.000.000;0.3236;14.25;0.3236
9;9;7-Aug;776;355;817;373;[831];0.647;1;110.185;142.555;364.0;0.5;1;2.819.699.875.013.190;0.647;12.64;0.647
10;10;cm;836;359;863;373;[];0.0;0;;;366.0;2.0;1;2.948.131.914.475.570;;;0.0
11;11;(2.75;883;354;952;378;[];0.0;0;;;366.0;0.0;1;3.081.716.434.902.700;;;0.0
12;12;to;971;355;997;373;[];0.0;0;;;364.0;2.0;1;3.604.264.721.846.800;;;0.0
13;13;3;1016;355;1027;373;[];0.0;0;;;364.0;0.0;1;39.030.507.279.754.100;;;0.0
14;14;inches).;1047;354;1158;378;[832];0.3397;1;94.204;120.611;366.0;2.0;1;4.091.082.930.612.550;0.3397;10.74;0.3397
15;15;To;1180;355;1207;373;[];0.0;0;;;364.0;2.0;1;5.180.365.657.475.290;;;0.0
16;16;find;19;453;74;472;[];0.0;0;;;462.5;98.5;2;6.943.241.683.907.410;;;0.0
17;17;gloves;92;453;179;477;[833];0.4852;1;139.368;156.393;465.0;2.5;2;5.920.876.742.607.410;0.4852;14.79;0.4852
18;18;that;198;453;254;472;[834];0.2585;1;137.163;153.729;462.5;2.5;2;5.226.751.216.687.990;0.2585;14.54;0.2585
19;19;fit;274;453;314;472;[];0.0;0;;;462.5;0.0;2;46.685.867.970.028.600;;;0.0
20;20;well,;331;453;400;475;[835];0.2426;1;130.133;147.641;464.0;1.5;2;3.876.450.953.275.350;0.2426;13.89;0.2426
21;21;it's;424;453;479;472;[];0.0;0;;;462.5;1.5;2;3.212.371.753.261.040;;;0.0
22;22;recommended;501;453;659;472;[836];0.2911;1;153.184;158.445;462.5;0.0;2;20.024.124.153.504.000;0.2911;15.58;0.2911
23;23;to;678;454;704;472;[];0.0;0;;;463.0;0.5;2;18.560.000.757.406.800;;;0.0
24;24;measure;722;458;824;472;[837];0.275;1;153.326;158.556;465.0;2.0;2;18.117.888.000.000.000;0.275;15.59;0.275
25;25;your;843;458;899;477;[840];0.1942;1;92.738;17.452;467.5;2.5;2;20.195.753.913.012.100;0.1942;13.36;0.1942
26;26;hand;918;453;974;472;[838];0.3075;1;150.972;158.964;462.5;5.0;2;2.510.145.741.017.720;0.3075;15.5;0.3075
27;27;and;993;453;1034;472;[];0.0;0;;;462.5;0.0;2;3.077.222.715.558.530;;;0.0
28;28;compare;1053;458;1154;477;[839];0.4044;1;148.924;155.417;467.5;5.0;2;35.546.301.018.740.900;0.4044;15.22;0.4044
29;29;it;1174;453;1199;472;[];0.0;0;;;462.5;5.0;2;4.663.632.605.721.570;;;0.0
30;30;to;1218;454;1244;472;[];0.0;0;;;463.0;0.5;2;50.719.526.457.913.000;;;0.0
31;31;the;41;552;82;571;[];0.0;0;;;561.5;98.5;3;6.673.479.840.169.550;;;0.0
32;32;manufacturer's;100;553;307;571;[841, 842];0.5983;2;147.188;163.008;562.0;0.5;3;44.492.400.673.766.100;0.2992;15.51;0.275
33;33;size;327;552;382;571;[];0.0;0;;;561.5;0.5;3;3.714.728.143.101.380;;;0.0
34;34;chart,;401;552;483;574;[843];0.4205;1;135.435;145.876;563.0;1.5;3;2.730.030.785.384.920;0.4205;14.07;0.4205
35;35;try;506;553;547;576;[844];0.275;1;137.152;153.704;564.5;1.5;3;21.182.907.961.725.700;0.275;14.54;0.275
36;36;on;566;557;592;571;[];0.0;0;;;564.0;0.5;3;17.302.934.945.116.700;;;0.0
37;37;different;610;552;742;571;[845];0.4692;1;139.922;146.962;561.5;2.5;3;8.221.019.262.533.330;0.4692;14.34;0.4692
38;38;brands;761;552;847;571;[846];0.275;1;136.688;14.456;561.5;0.0;3;838.647.802.804.873;0.275;14.06;0.275
39;39;and;866;552;907;571;[];0.0;0;;;561.5;0.0;3;1.468.735.965.771.050;;;0.0
40;40;styles,;927;552;1023;576;[847];0.2588;1;135.199;134.036;564.0;2.5;3;1.983.614.654.399.750;0.2588;13.46;0.2588
41;41;and;1046;552;1087;571;[];0.0;0;;;561.5;2.5;3;3.127.220.576.989.960;;;0.0
42;42;look;1106;552;1162;571;[848, 849];0.5498;2;130.403;133.978;561.5;0.0;3;3.709.485.535.374.060;0.2749;13.22;0.4202
43;43;for;1182;553;1222;571;[];0.0;0;;;562.0;0.5;3;4.453.784.590.339.930;;;0.0
44;44;brands;439;651;525;670;[850];0.3236;1;127.302;14.464;660.5;98.5;4;21.926.879.999.999.900;0.3236;13.6;0.3236
45;45;offering;544;651;661;675;[851];0.2749;1;130.394;141.741;663.0;2.5;4;8.326.879.999.999.990;0.2749;13.61;0.2749
46;46;half;679;651;735;670;[852];0.3558;1;137.297;140.202;660.5;2.5;4;9.268.799.999.999.940;0.3558;13.87;0.3558
47;47;sizes.;755;651;836;670;[];0.0;0;;;660.5;0.0;4;10.731.200.000.000.000;;;0.0
