;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg
0;0;You;367;347;398;365;356.0;;1;[];[];0.0;0.0;0;;;260.13317417907314;;
1;1;could;407;346;452;365;355.5;0.5;1;[2604.0, 2605.0, 2640.0];[9.991485342710575, 18.84688105337327, 20.67605459679383];1.3749;0.4529;3;15.574;18.6497;206.70979732097848;17.11;0.4583
2;2;use;462;351;491;365;358.0;2.5;1;[];[];0.0;0.0;0;;;169.7118578900131;;
3;3;the;499;346;526;365;355.5;2.5;1;[];[];0.0;0.0;0;;;134.6421134284515;;
4;4;following;534;346;612;370;358.0;2.5;1;[2606.0, 2641.0];[51.79455999999999, 17.224319999999977];0.6145;0.2914;2;18.4611;19.9562;57.435148719925856;19.21;0.3073
5;5;query;621;351;672;370;360.5;2.5;1;[2607.0, 2642.0];[30.426559999999995, 42.827200000000005];0.955;0.5665;2;19.02;20.2214;42.827200000000005;19.62;0.4775
6;6;to;679;347;695;365;356.0;4.5;1;[];[];0.0;0.0;0;;;45.53106531237766;;
7;7;search;704;346;760;365;355.5;0.5;1;[2608.0, 2639.0];[38.3904, 37.304959999999994];0.6794;0.3722;2;19.1042;20.03;61.728951947040215;19.57;0.3397
8;8;on;769;351;789;365;358.0;2.5;1;[];[];0.0;0.0;0;;;121.57400835902384;;
9;9;google:;798;346;862;370;358.0;0.0;1;[2609.0, 2610.0];[44.27444439945011, 21.238400000000013];1.1158;0.76;2;17.2216;18.7304;147.70664815261364;17.98;0.5579
10;10;***;875;344;901;349;346.5;11.5;1;[];[];0.0;0.0;0;;;222.6818095590208;;
11;11;http://www.google.com/search?q=<your;215;450;590;475;462.5;116.0;2;[2611.0, 2612.0, 2637.0, 2638.0];[0.0, 4.078719999999976, 17.769600000000025, 94.57983999999999];1.1641;0.3231;4;17.1677;19.0876;156.10412777527696;18.13;0.291
12;12;search;597;450;653;470;460.0;2.5;2;[2613.0, 2636.0];[28.767359999999996, 0.0];0.5339;0.2427;2;16.0989;17.0446;141.84456108177008;16.57;0.267
13;13;query>;662;455;725;475;465.0;5.0;2;[];[];0.0;0.0;0;;;146.98369266173714;;
14;14;°**;737;449;763;454;451.5;13.5;2;[];[];0.0;0.0;0;;;162.8508504997134;;
15;15;However,;776;451;858;475;463.0;11.5;2;[2614.0, 2635.0];[24.50400000000002, 1.9712000000000671];0.6146;0.372;2;16.6544;18.1777;187.04975463357337;17.42;0.3073
16;16;for;867;450;891;470;460.0;3.0;2;[2615.0];[34.77474181998195];0.3721;0.3721;1;16.1625;17.4916;254.8844089160418;16.83;0.3721
17;17;your;898;455;938;475;465.0;5.0;2;[2616.0];[7.296960000000013];0.3071;0.3071;1;17.8375;19.4345;283.72652944072746;18.64;0.3071
18;18;goal;945;450;981;475;462.5;2.5;2;[];[];0.0;0.0;0;;;322.6265127178484;;
19;19;it;990;451;1001;470;460.5;2.0;2;[2617.0];[17.581759999999974];0.4366;0.4366;1;15.7569;20.4615;363.97498967440055;18.11;0.4366
20;20;is;1009;451;1021;470;460.5;0.0;2;[];[];0.0;0.0;0;;;381.52387016866976;;
21;21;not;1029;452;1057;470;461.0;0.5;2;[];[];0.0;0.0;0;;;400.4976278437614;;
22;22;recommended,;233;555;365;579;567.0;106.0;3;[2618.0, 2619.0];[4.966720000000009, 0.0];0.7924;0.2587;2;19.505;21.3058;380.98668048696925;20.41;0.3962
23;23;as;374;560;393;575;567.5;0.5;3;[];[];0.0;0.0;0;;;363.5599641166227;;
24;24;google;401;555;459;580;567.5;0.0;3;[2620.0, 2621.0];[11.330144818421338, 0.0];0.5821;0.4852;2;18.5072;21.2564;315.3183171153874;19.88;0.2911
25;25;have;468;555;509;575;565.0;2.5;3;[];[];0.0;0.0;0;;;286.886251166695;;
26;26;mechanism;518;555;617;575;565.0;0.0;3;[2622.0, 2624.0];[20.052159999999958, 23.820479999999975];0.938;0.5497;2;17.8021;18.8888;249.7686407627667;18.35;0.469
27;27;to;626;557;642;575;566.0;1.0;3;[2623.0];[21.642560000000003];0.5181;0.5181;1;16.2088;17.6641;249.17809435919523;16.94;0.5181
28;28;block;651;555;697;575;565.0;1.0;3;[2625.0];[15.102926911032805];0.2914;0.2914;1;17.8282;19.9073;246.8272;18.87;0.2914
