;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg
0;0;If;206;136;219;155;145.5;;1;[];[];0.0;0.0;0;;;882.7429142343993;;
1;1;you're;225;136;280;161;148.5;3.0;1;[2450];[0.0];0.5988;0.5988;1;16.5561;17.5207;842.6746170563346;17.04;0.5988
2;2;planning;289;136;363;161;148.5;0.0;1;[];[];0.0;0.0;0;;;799.6795797261801;;
3;3;to;372;138;388;156;147.0;1.5;1;[];[];0.0;0.0;0;;;792.4383775607034;;
4;4;publish;397;136;459;161;148.5;1.5;1;[2451, 2452];[2.7215999999999667, 42.2016];0.6145;0.2263;2;16.9253;20.0798;758.2865357047032;18.5;0.3073
5;5;the;467;136;495;156;146.0;2.5;1;[2453, 2460];[0.0, 0.0];0.9863;0.663;2;17.769;18.9489;750.0715047454077;18.36;0.4932
6;6;extension,;503;137;594;160;148.5;2.5;1;[2454];[20.8896];0.3878;0.3878;1;17.8259;18.8127;718.9575096144696;18.32;0.3878
7;7;it's;603;136;627;156;146.0;2.5;1;[2455, 2501];[0.0, 5.9827200000000005];1.5367;0.9381;2;19.8995;21.1816;716.6135236171866;20.54;0.7684
8;8;best;636;136;672;156;146.0;0.0;1;[2456, 2473];[19.171840000000003, 4.784639999999996];0.7764;0.3721;2;20.2801;21.5018;710.4721966629236;20.89;0.3882
9;9;not;681;138;708;156;147.0;1.0;1;[2461, 2468, 2472, 2502];[0.0, 25.24736, 33.43935999999999, 27.479680000000002];1.3917;0.2102;4;19.5209;21.6286;707.584187380583;20.57;0.3479
10;10;to;715;138;732;156;147.0;0.0;1;[2457, 2459];[16.113280000000003, 23.465599999999995];0.7759;0.5013;2;19.611;20.6718;706.6718773455189;20.14;0.3879
11;11;abuse;740;136;792;156;146.0;1.0;1;[2469, 2474, 2476, 2477, 2496];[27.486720000000005, 0.0, 0.0, 0.0, 9.20832];2.0227;0.4047;5;19.8028;22.5238;706.5152;21.16;0.4045
12;12;Google's;800;136;875;161;148.5;2.5;1;[2458, 2462, 2471, 2475, 2503];[0.0, 38.597120000000004, 62.999039999999994, 26.503680000000003, 22.929919999999996];2.037;0.4847;5;20.3505;22.5924;703.523496573526;21.47;0.4074
13;13;services;883;137;954;156;146.5;2.0;1;[2470, 2478];[36.432959999999994, 35.91072];0.8729;0.2908;2;19.6592;21.7858;719.50843096592;20.72;0.4365
14;14;like;963;136;992;156;146.0;0.5;1;[2479, 2480, 2504, 2505];[42.068479999999994, 9.837639001305133, 11.112960000000001, 8.81280000000001];2.0221;0.5338;4;17.3616;20.1001;738.8312271629022;18.73;0.5055
15;15;that,;1000;136;1040;160;148.0;2.0;1;[];[];0.0;0.0;0;;;746.7244074161765;;
16;16;as;1049;141;1067;156;148.5;0.5;1;[];[];0.0;0.0;0;;;768.4010816175626;;
17;17;it's;231;241;255;260;250.5;102.0;2;[2497];[28.247853622503794];0.291;0.291;1;15.6668;20.8126;777.7984961614673;18.24;0.291
18;18;very;263;246;301;265;255.5;5.0;2;[2481, 2482, 2506];[9.278399999999976, 15.911218855838818, 19.039101596283388];1.3586;0.2752;3;15.6134;19.7901;745.5423452970596;17.7;0.4529
19;19;likely;310;241;354;265;253.0;2.5;2;[2483, 2498];[6.385029891864271, 83.73408];0.5823;0.2102;2;16.6022;19.511;715.1077601529996;18.06;0.2911
20;20;that;362;241;397;260;250.5;2.5;2;[2484, 2485, 2487, 2488];[11.040398374261692, 0.0, 28.520956662776943, 28.724799999999988];1.504;0.4528;4;17.091;19.4855;696.7356605133973;18.29;0.376
21;21;they'll;404;241;457;265;253.0;2.5;2;[2486, 2489, 2499, 2507];[19.949119999999994, 25.529920000000004, 72.78752, 14.910399999999981];1.4552;0.3558;4;17.4898;20.088;664.1195891035289;18.79;0.3638
22;22;take;465;241;503;260;250.5;2.5;2;[2490, 2491, 2500, 2508];[15.300160000000005, 38.11488, 91.99776, 2.8944000000000187];1.6824;0.4852;4;17.3611;19.491;650.0015543297109;18.43;0.4206
23;23;it;512;242;522;260;251.0;0.5;2;[2492];[33.7696];0.3883;0.3883;1;19.7862;20.5501;643.1139717274381;20.17;0.3883
24;24;down;529;241;575;260;250.5;0.5;2;[];[];0.0;0.0;0;;;626.5519137557877;;
25;25;from;584;241;624;260;250.5;0.0;2;[2493, 2509];[49.460800000000006, 0.0];0.9863;0.5173;2;16.253;18.1788;614.9179299963859;17.22;0.4932
26;26;their;633;241;674;260;250.5;0.0;2;[2494, 2510];[47.98624000000001, 10.876479999999987];0.5499;0.259;2;17.1263;19.1704;606.9069620881277;18.15;0.275
27;27;store.;681;242;730;260;251.0;0.5;2;[2495, 2515];[28.547200000000004, 38.813440000000014];0.8087;0.6145;2;18.4523;21.2886;602.7516077382458;19.87;0.4044
28;28;You;739;242;771;260;251.0;0.0;2;[2463, 2466];[3.6288000000000125, 12.019839999999988];0.3232;0.1294;2;19.8226;22.365;602.5152;21.09;0.1616
29;29;should;779;241;836;260;250.5;0.5;2;[2467, 2511];[66.73568, 28.417599999999993];1.0516;0.3071;2;18.2387;20.2794;603.3707489023975;19.26;0.5258
