;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg
0;0;I;337;504;343;522;513.0;;1;[];[];0.0;0.0;0;;;457.56060763917344;;
1;1;think;351;503;395;522;512.5;0.5;1;[3836.0];[22.180799999999977];0.4209;0.4209;1;17.8287;19.6987;405.8800310228745;18.76;0.4209
2;2;it's;403;503;427;522;512.5;0.0;1;[];[];0.0;0.0;0;;;374.2137501256863;;
3;3;best;436;503;473;522;512.5;0.0;1;[];[];0.0;0.0;0;;;328.8066975946956;;
4;4;to;480;504;496;522;513.0;0.5;1;[3837.0];[22.832640000000026];0.5181;0.5181;1;18.6009;18.9712;306.3544915014787;18.79;0.5181
5;5;stay;504;504;540;527;515.5;2.5;1;[];[];0.0;0.0;0;;;263.2544488952268;;
6;6;silent;548;503;596;522;512.5;3.0;1;[3838.0];[6.452159999999992];0.3398;0.3398;1;17.8948;19.8057;208.6718984030423;18.85;0.3398
7;7;on;603;508;623;522;515.0;2.5;1;[];[];0.0;0.0;0;;;184.40838045796508;;
8;8;the;631;503;659;522;512.5;2.5;1;[3839.0];[42.691520000000025];0.6633;0.6633;1;18.9038;21.1273;148.9616795794462;20.02;0.6633
9;9;matter,;668;504;732;527;515.5;3.0;1;[];[];0.0;0.0;0;;;86.52682857431907;;
10;10;or;741;508;759;522;515.0;0.5;1;[];[];0.0;0.0;0;;;71.97296980901649;;
11;11;They;765;503;808;527;515.0;0.0;1;[3840.0, 3843.0];[44.06367999999998, 56.13664];0.9382;0.4207;2;18.5836;21.0909;56.13664;19.84;0.4691
12;12;might;816;503;867;527;515.0;0.0;1;[3841.0, 3842.0];[25.815999999999974, 23.051199999999994];0.7598;0.4851;2;18.7238;21.2346;59.27152084373743;19.98;0.3799
13;13;get;874;504;902;527;515.5;0.5;1;[];[];0.0;0.0;0;;;95.89994402047166;;
14;14;me.;910;508;942;522;515.0;0.5;1;[];[];0.0;0.0;0;;;128.49665358728063;;
