;phi-1_5;roberta-base;bert-large-uncased;Meta-Llama-3-8B-Instruct;roberta-large;Mistral-7B-Instruct-v0.1;bert-base-cased;Eurus-RM-7b;UltraRM-13b;Llama-3.1-8B-Instruct;Llama-2-7b-hf;Mistral-7B-v0.1;Llama-3.1-8B;QRM-Llama3.1-8B;bert-base-uncased;Meta-Llama-3-8B;Llama-2-7b-chat-hf
mean;0.1674678642853402;0.2888278872738327;0.344402654475394;0.2264562996680485;0.3282956670577059;0.2538288740847061;0.3278887678979811;0.2514314348646541;0.2429260491570089;0.2313637160621921;0.2727554392186656;0.2506657916875165;0.2352886027440401;0.2314597575028092;0.3486915234746817;0.2356840637953222;0.2690338775329498
std;0.1637674120175242;0.1763609117773958;0.1847204061207994;0.1774471193174878;0.1816091283421049;0.1797784405545999;0.1942634061987289;0.1728540439892431;0.1698723849506865;0.1778921783076997;0.1698331505046167;0.1665171372393286;0.1773893068569771;0.1788693798782031;0.1799873024903385;0.1790775273497044;0.1668291616979772
