;phi-1_5;roberta-base;bert-large-uncased;Meta-Llama-3-8B-Instruct;roberta-large;Mistral-7B-Instruct-v0.1;bert-base-cased;Eurus-RM-7b;UltraRM-13b;Llama-3.1-8B-Instruct;Llama-2-7b-hf;Mistral-7B-v0.1;Llama-3.1-8B;QRM-Llama3.1-8B;bert-base-uncased;Meta-Llama-3-8B;Llama-2-7b-chat-hf
mean;0.1898758175018244;0.3388492880575451;0.401965364856078;0.2757391382747333;0.3750918721968292;0.3090951991886887;0.3806669541932815;0.3090220412622174;0.2853699506818071;0.2781339562986128;0.3199081190684072;0.29793770916363;0.2821946370136073;0.2790998025597796;0.4045562363707644;0.2833614443974344;0.3119027502077774
std;0.1766698918809547;0.1723963986087701;0.1651015791565845;0.1851511297346481;0.1674526933082972;0.1716036956772874;0.1793535221996927;0.1663517780901519;0.1729259298272002;0.182497188405822;0.1785579220206554;0.1679122320251602;0.1810557981978609;0.1827042183077497;0.1705474838791322;0.1819685111599908;0.1676019010734002
