;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;38.2;False;False;13.45;17.89;;;;0
1;38.1;False;False;37.13;161.53;;;13.32;1
2;1.1;False;False;71.28;279.88;;;40.33;21
3;1.2;False;False;106.63;109.45;7.95;10.05;10.3;1
4;6.3;False;True;64.85;55.13;;;8.29;2
5;6.1;False;False;24.15;36.29;;;;0
6;4.3;False;True;105.3;97.65;;;45.23;31
7;4.1;False;False;16.32;37.5;;;;0
8;17.1;False;False;98.8;100.43;;;13.68;3
9;17.3;False;False;73.54;75.06;;;9.6;1
10;45.3;False;True;46.02;43.83;;;18.33;2
11;45.1;False;False;27.28;67.5;;;;0
12;42.2;False;True;22.16;10.94;;;;0
13;42.1;False;True;32.7;26.98;;;;0
14;9.1;False;True;31.78;18.42;;;;0
15;9.3;False;True;117.3;115.39;101.22;99.26;49.45;10
16;19.1;False;False;35.08;51.4;;;18.84;1
17;19.3;False;True;20.18;13.4;;;;0
18;24.3;False;False;37.05;45.56;;;;0
19;24.1;False;True;22.39;16.61;;;;0
20;29.1;False;True;41.36;31.71;;;18.15;1
21;29.3;False;False;296.75;322.48;46.19;69.81;22.94;2
22;41.1;False;True;34.81;13.24;;;;0
23;41.3;False;False;497.49;509.16;3.4;9.61;3.4;1
24;16.1;False;False;22.72;28.74;;;;0
25;16.3;False;False;12.01;62.49;;;;0
26;11.3;False;False;10.92;24.04;;;;0
27;11.1;False;False;20.74;38.21;;;;0
28;40.1;False;True;24.26;19.29;;;;0
29;40.2;False;True;19.09;14.59;;;;0
30;8.1;False;True;31.35;13.62;;;;0
31;8.2;False;False;13.08;90.1;;;;0
32;7.3;False;False;43.99;46.56;;;;0
33;7.1;False;False;13.81;185.04;;;;0
34;15.3;False;False;15.35;18.2;;;11.26;1
35;15.1;False;False;13.48;45.66;;;;0
36;36.3;True;False;305.27;293.3;153.3;146.14;;0
37;36.1;False;False;5.49;7.03;;;;0
38;10.2;False;True;15.67;11.16;;;;0
39;10.1;False;False;21.15;32.91;;;;0
40;43.2;False;False;16.26;26.73;;;;0
41;43.1;False;False;27.96;31.6;;;26.92;1
42;26.3;False;False;12.04;12.06;;;;0
43;26.1;False;True;20.53;12.46;;;;0
44;14.1;False;False;21.47;31.84;;;;0
45;14.3;False;False;114.4;210.04;13.06;98.64;13.06;2
46;28.2;False;False;28.39;124.99;;;;0
47;28.1;False;True;40.73;34.48;;;8.62;1
48;23.2;False;True;17.32;10.17;;;;0
49;23.1;False;False;17.16;19.48;;;;0
50;18.3;False;True;29.16;12.49;;;10.58;1
51;18.1;False;True;17.3;7.26;;;;0
52;34.2;False;False;350.44;365.53;18.17;19.72;18.17;1
53;34.1;False;True;33.63;23.88;;;22.85;1
54;30.2;False;False;40.81;220.66;;;39.3;1
55;30.1;False;True;24.31;20.44;;;;0
56;5.3;False;False;23.65;55.53;;;;0
57;5.1;False;False;20.13;34.68;;;;0
58;22.2;False;False;23.8;30.58;;;;0
59;22.1;False;False;21.52;21.52;;;;0
