;number;text;x1;y1;x2;y2;fixations;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;pupil;fix_duration_avg;fix_distance
0;0;Both;290;503;329;522;[1680.0, 1681.0];0.9546;0.5826;2;12.4494;13.0939;512.5;;1;312.40287497985673;12.77;0.4773;[3.928002554785317, 7.244159999999965]
1;1;dogs;337;503;379;527;[1666.0, 1677.0];0.5823;0.3073;2;13.962;14.5554;515.0;2.5;1;262.67248865398903;14.26;0.2911;[0.0, 0.2979199999999764]
2;2;and;387;503;417;522;[1667.0, 1676.0];0.4856;0.2915;2;13.5779;13.8839;512.5;2.5;1;224.95734950358926;13.73;0.2428;[28.420479999999998, 16.337279999999964]
3;3;seals;426;503;470;522;[1678.0, 1679.0];0.7441;0.3073;2;13.1692;14.0243;512.5;0.0;1;172.56351264296867;13.6;0.3721;[12.36063999999999, 11.391360000000077]
4;4;bark.;478;503;521;522;[1668.0];0.4529;0.4529;1;13.4769;12.9326;512.5;0.0;1;122.63960003065897;13.2;0.4529;[35.77279999999996]
5;5;Although;530;503;609;527;[];0.0;0.0;0;;;515.0;2.5;1;42.92696466884191;;;[]
6;6;dogs;618;503;659;527;[1669.0, 1675.0, 1683.0];0.6313;0.2752;3;12.0681;20.6737;515.0;0.0;1;29.7072;16.37;0.2104;[17.061439999999948, 44.043840000000046, 29.7072]
7;7;are;667;508;695;522;[];0.0;0.0;0;;;515.0;0.0;1;43.9804626587761;;;[]
8;8;more;703;508;748;522;[1672.0, 1682.0];0.5339;0.3397;2;12.6827;13.1508;515.0;0.0;1;71.93888166826056;12.92;0.267;[3.577600000000018, 10.984143213633015]
9;9;commonly;756;503;848;527;[1670.0, 1673.0];0.501;0.2585;2;13.3078;13.8524;515.0;0.0;1;119.75594972977332;13.58;0.2505;[0.0, 0.0]
10;10;known;857;503;913;522;[1671.0, 1674.0];0.6313;0.2912;2;12.5792;13.2522;512.5;2.5;1;219.0366934914787;12.92;0.3156;[6.841279999999983, 3.595199999999977]
11;11;to;921;504;937;522;[];0.0;0.0;0;;;513.0;0.5;1;282.6855601117255;;;[]
12;12;bark.;946;503;989;522;[];0.0;0.0;0;;;512.5;0.5;1;307.45138070218513;;;[]
