;1;2;3;4;5;6;7;8
11;0.1491306993474777;0.05343244171974715;0.2442329515723828;0.07489137359076187;0.11432693085132513;0.14146506944800427;0.15051690525953276;0.18773393065555935
10;0.1998363211562389;0.17151421487880483;0.22003220073116533;0.04856912793394883;0.19204575414705738;0.2061009320241625;0.2321841206342732;0.19869477396646612
9;0.18061588138980517;0.18097181114289645;0.27312841774604885;0.09734100164232791;0.15086386581669464;0.16350295224363295;0.1875580536890883;0.1964146988114588
8;0.15255154725156908;0.15429174798408601;0.2550941707646669;0.0842710641003835;0.1309272592454389;0.1482975110223668;0.17870078761675617;0.16633868206718785
7;0.19050734759267154;0.09349187162518309;0.2598559530642003;0.14682609480757922;0.21341617184066397;0.14408587092615535;0.19135138272674398;0.22228614832883353
6;0.19244661461112197;0.10941051703951617;0.24711071663721498;0.10466131326628463;0.20049245080728706;0.20027005165269865;0.2216993041821071;0.1859100077628889
5;0.2087709609106941;0.13306256355250223;0.26682287982251063;0.12419473216474931;0.17251864718452437;0.16519872121717555;0.23350546080916507;0.20040255481336525
4;0.21097118262121592;0.16935550272776975;0.23305467310431496;0.09423381906602533;0.1800590749849401;0.2027515418978802;0.20501233587347623;0.19372029383442047
3;0.16752567628052134;0.10051318107528626;0.24909923826117036;0.0939458094341405;0.16431328189555758;0.18207148965254735;0.21282824583480675;0.17167013087165708
2;0.24757976092736853;0.1988765948052848;0.2981824290887275;0.10602220686076218;0.23559286196882437;0.2623001372304907;0.24993066394746088;0.23391441485979952
1;0.2660459151819543;0.16492617924247163;0.2593380717945655;0.08207909316518901;0.20779946801577784;0.21985769216231604;0.23653217948802716;0.21069700233094524
0;0.3591815596527756;0.22117072767556217;0.35061696320608043;0.20859226763544672;0.2771040759048951;0.2695308043097905;0.3114315675174006;0.27311535967568856
