;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil
0;0;The;40;106;83;125;[];0.0;0;;;115.5;;1;631.1647072973532;;
1;1;lemon;101;106;172;125;[];0.0;0;;;115.5;0.0;1;542.2784079582678;;
2;2;(,Citrus;194;106;292;130;[3924];0.5012;1;12.9338;14.0488;118.0;2.5;1;422.187122183699;0.5012;13.49
3;3;limon,);311;106;395;130;[3925, 3926, 3927, 4002];1.1968;4;12.8156;14.7778;118.0;0.0;1;319.41780497923656;0.2992;13.8
4;4;is;417;106;442;125;[];0.0;0;;;115.5;2.5;1;273.0768971146288;;
5;5;a;462;111;473;125;[];0.0;0;;;118.0;2.5;1;242.28233063464117;;
6;6;species;492;106;592;130;[3928, 4003];0.7441;2;14.0719;15.761;118.0;0.0;1;123.93048913707068;0.3721;14.92
7;7;of;611;107;638;125;[];0.0;0;;;116.0;2.0;1;81.05533750317493;;
8;8;small;657;106;727;125;[3929, 4004];0.7605;2;12.9854;15.608;115.5;0.5;1;29.56255999999999;0.3802;14.3
9;9;evergreen;746;110;877;130;[3930, 3931];0.8091;2;14.1805;16.278;120.0;4.5;1;40.760153799435066;0.4045;15.23
10;10;trees;897;108;967;125;[3932];0.291;1;13.2808;16.2862;116.5;3.5;1;185.89371086121662;0.291;14.78
11;11;in;987;106;1012;125;[];0.0;0;;;115.5;1.0;1;275.12090385456645;;
12;12;the;1032;106;1073;125;[3933];0.2429;1;13.8306;12.6753;115.5;0.0;1;319.89690798404666;0.2429;13.25
13;13;flowering;1092;106;1223;130;[];0.0;0;;;118.0;2.5;1;379.3240911644733;;
14;14;plant;86;205;157;229;[];0.0;0;;;217.0;99.0;2;558.7530958641336;;
15;15;family;177;205;263;229;[3935, 3936];0.8574;2;13.5207;16.533;217.0;0.0;2;453.28683869902244;0.4287;15.03
16;16;Rutaceae,,;281;206;408;227;[3937, 3938];1.342;2;15.0061;17.6867;216.5;0.5;2;309.7724213317796;0.671;16.35
17;17;native;431;205;517;224;[3939];0.2747;1;15.1862;17.4998;214.5;2.0;2;202.84275224358794;0.2747;16.34
18;18;to;536;207;562;224;[];0.0;0;;;215.5;1.0;2;160.29177114797125;;
19;19;Asia,,;579;205;648;227;[3940];0.3396;1;15.199;17.5452;216.0;0.5;2;82.64694875041424;0.3396;16.37
20;20;primarily;671;205;803;229;[3941];0.356;1;14.1347;16.4765;217.0;1.0;2;50.43744000000001;0.356;15.31
21;21;Northeast;821;205;952;224;[3934, 3942, 3943];0.9382;3;11.3707;16.756;214.5;2.5;2;118.76955054959838;0.3127;14.06
22;22;India;972;205;1042;224;[3944];0.356;1;11.3156;13.3807;214.5;0.0;2;263.4020921286572;0.356;12.35
23;23;(,Assam,),,;1063;205;1173;229;[3945];0.2749;1;10.1662;13.5486;217.0;2.5;2;353.1483514583547;0.2749;11.86
24;24;Northern;78;304;194;323;[3946, 3947];0.8735;2;13.8026;16.6063;313.5;96.5;3;540.5392744822096;0.4368;15.2
25;25;Myanmar;213;305;315;328;[3948];0.4368;1;14.7658;17.6206;316.5;3.0;3;425.9241225121601;0.4368;16.19
26;26;or;333;309;360;323;[];0.0;0;;;316.0;0.5;3;385.7374465329411;;
27;27;China,.;378;304;461;323;[3949];0.5659;1;14.6481;17.2341;313.5;2.5;3;293.38312708428475;0.5659;15.94
28;28;The;482;304;525;323;[];0.0;0;;;313.5;0.0;3;240.52701149299966;;
29;29;tree,'s;544;305;629;323;[3950];0.4851;1;15.4206;17.9916;314.0;0.5;3;172.53098892011718;0.4851;16.71
30;30;ellipsoidal;648;304;809;328;[3951];0.6633;1;14.8251;17.3207;316.0;2.0;3;149.43744;0.6633;16.07
31;31;yellow;828;304;916;328;[3952];0.3882;1;14.1415;15.7996;316.0;0.0;3;188.27695360227602;0.3882;14.97
32;32;fruit;934;304;1004;323;[];0.0;0;;;313.5;2.5;3;266.3909669222168;;
33;33;is;1024;304;1049;323;[3953, 3954];0.6628;2;13.1566;15.3712;313.5;0.0;3;344.6145488190445;0.3314;14.26
