;number;text;x1;y1;x2;y2;fixations;fix_duration;y;diff_y;line;distance;fix_number;fix_duration_avg;pupil_l;pupil_r;pupil
0;0;1,.;58;305;80;323;[];0.0;314.0;;1;550.8344382041486;0;;;;
1;1;To;101;305;129;323;[];0.0;314.0;0.0;1;515.9463234791774;0;;;;
2;2;postbone;148;304;264;328;[1856];0.4852;316.0;2.0;1;429.8661567414676;1;0.4852;13.2896;15.3484;14.32
3;3;you;282;309;323;328;[];0.0;318.5;2.5;1;402.8317752011129;0;;;;
4;4;overcoming;342;304;489;328;[1857, 1858];0.4044;316.0;2.5;1;369.13919999999996;2;0.2022;13.6143;14.275;13.94
5;5;it;508;304;533;323;[];0.0;313.5;2.5;1;374.89066020865334;0;;;;
6;6;until;553;304;623;323;[1859];0.4528;313.5;0.0;1;380.39878957704366;1;0.4528;14.5653;16.4519;15.51
7;7;tomorrow;643;306;760;323;[1860];0.4532;314.5;1.0;1;406.4156777385439;1;0.4532;14.015;15.656;14.84
8;8;or;777;309;804;323;[];0.0;316.0;1.5;1;475.04520786097817;0;;;;
9;9;in;823;304;848;323;[];0.0;313.5;2.5;1;504.6926105182044;0;;;;
10;10;5;867;305;879;323;[1861];0.5173;314.0;0.5;1;535.2180990135516;1;0.5173;15.2335;16.8394;16.04
11;11;minutes,.;896;304;1010;323;[];0.0;313.5;0.5;1;556.3249517248709;0;;;;
12;12;Often;1031;305;1103;323;[1862, 1863];0.6307;314.0;0.5;1;662.4863379056808;2;0.3154;13.1512;16.5658;14.86
13;13;people;1123;304;1209;328;[];0.0;316.0;2.0;1;737.7215728929716;0;;;;
14;14;would;33;403;106;422;[];0.0;412.5;96.5;2;467.7538950256641;0;;;;
15;15;tell;125;403;180;422;[1864];0.275;412.5;0.0;2;410.225519332574;1;0.275;14.0761;15.9299;15.0
16;16;them;200;403;257;422;[1865, 1869];0.7605;412.5;0.0;2;356.86915797205;2;0.3802;12.8961;15.8454;14.37
17;17;self;276;403;331;422;[1866, 1868];1.0187;412.5;0.0;2;314.9521651166729;2;0.5093;13.6693;16.6176;15.14
18;18;something;351;403;482;427;[1867, 1870, 1871];1.0029;415.0;2.5;2;270.1487810664338;3;0.3343;12.5898;15.7801;14.18
19;19;like,,;500;403;567;426;[];0.0;414.5;0.5;2;271.5947994930683;0;;;;
20;20;I,'ll;591;403;645;422;[1872];0.3555;412.5;2.0;2;295.11313476644847;1;0.3555;11.9661;13.5817;12.77
21;21;just;665;403;721;427;[];0.0;415.0;2.5;2;325.01790829380457;0;;;;
22;22;see;741;408;781;422;[1873];0.6146;415.0;0.0;2;376.30998167957216;1;0.6146;13.6397;15.6513;14.65
23;23;this;800;403;856;422;[];0.0;412.5;2.5;2;418.78840565574393;0;;;;
24;24;funny;876;404;947;427;[1874];0.4044;415.5;3.0;2;475.83979059309445;1;0.4044;13.8663;15.2226;14.54
