;number;text;x1;y1;x2;y2;fixations;fix_duration;y;diff_y;line;distance;fix_number;fix_duration_avg;pupil_l;pupil_r;pupil
0;0;The;168;502;211;521;[1407, 1417, 1425, 1435, 1445, 1446, 1455, 1464, 1465, 1474, 1482];4.2059;511.5;;1;486.57439999999997;11;0.3824;13.4545;15.4512;14.45
1;1;first;230;502;300;521;[1418, 1426, 1436, 1447, 1475];1.7463;511.5;0.0;1;397.57439999999997;5;0.3493;12.9878;15.4842;14.24
2;2;president;320;502;450;526;[1408, 1419, 1427, 1428, 1437, 1448, 1456, 1457, 1466, 1467, 1476, 1483, 1484];4.5126;514.0;2.5;1;247.57439999999997;13;0.3471;12.7542;15.2282;13.99
3;3;of;469;503;496;521;[];0.0;512.0;2.0;1;201.57439999999997;0;;;;
4;4;the;515;502;556;521;[1409, 1420, 1438, 1458];1.4556;511.5;0.5;1;141.57439999999997;4;0.3639;13.7794;15.9675;14.87
5;5;United;575;502;661;521;[1410, 1411, 1421, 1429, 1430, 1439, 1449, 1468, 1485];3.1375;511.5;0.0;1;36.57439999999997;9;0.3486;13.3468;15.2959;14.32
6;6;States;679;503;765;521;[1412, 1431, 1440, 1450, 1459, 1477, 1486, 1493];3.17;512.0;0.5;1;0.0;8;0.3963;13.7306;15.0034;14.37
7;7;was;783;507;825;521;[1451];0.2911;514.0;2.0;1;85.49598522077166;1;0.2911;13.5124;15.2034;14.36
8;8;George;844;503;931;526;[1432, 1441, 1444, 1460, 1469, 1470, 1478, 1487, 1488, 1489, 1492];3.9148;514.5;0.5;1;146.42560000000003;11;0.3559;13.419;14.1953;13.81
9;9;Washington,.;948;502;1107;526;[1413, 1414, 1415, 1416, 1422, 1423, 1424, 1433, 1434, 1442, 1443, 1452, 1453, 1454, 1461, 1462, 1463, 1471, 1472, 1473, 1479, 1480, 1481, 1490, 1491];8.718;514.0;0.5;1;250.42560000000003;25;0.3487;12.7858;14.9923;13.89
