;number;text;x1;y1;x2;y2;fixations;fix_duration;y;diff_y;line;distance;fix_number;fix_duration_avg;pupil_l;pupil_r;pupil
0;0;In;215;503;240;521;[];0.0;512.0;;1;342.528;0;;;;
1;1;much;258;502;315;521;[2570, 2573];0.6143;511.5;0.5;1;267.528;2;0.3071;14.8648;17.633;16.25
2;2;more;333;507;391;521;[2571, 2572];0.7275;514.0;2.5;1;191.52800000000002;2;0.3638;15.0479;17.1336;16.09
3;3;than;410;502;465;521;[2574, 2582, 2583];0.938;511.5;2.5;1;117.52800000000002;3;0.3127;12.7539;16.3516;14.55
4;4;you;484;507;525;526;[2575];0.2588;516.5;5.0;1;57.52800000000002;1;0.2588;12.6371;15.5838;14.11
5;5;could;545;502;616;521;[2584];0.5662;511.5;5.0;1;0.0;1;0.5662;9.2902;12.0203;10.66
6;6;think;635;502;706;521;[2576];0.259;511.5;0.0;1;52.47199999999998;1;0.259;14.3169;15.944;15.13
7;7;of,,;724;503;762;524;[2581];0.21;513.5;2.0;1;141.47199999999998;1;0.21;12.7499;16.1019;14.43
8;8;do;784;502;811;521;[2577];0.2749;511.5;2.0;1;201.47199999999998;1;0.2749;14.4071;16.1466;15.28
9;9;you;829;507;870;526;[];0.0;516.5;5.0;1;246.47199999999998;0;;;;
10;10;want;888;504;945;521;[2578, 2580];0.5505;512.5;4.0;1;305.472;2;0.2753;14.7008;16.2303;15.47
11;11;to;965;504;991;521;[2579];0.3396;512.5;0.0;1;382.472;1;0.3396;14.1131;15.3012;14.71
12;12;try,?;1010;503;1065;526;[];0.0;514.5;2.0;1;427.472;0;;;;
