;number;text;x1;y1;x2;y2;fixations;fix_duration;y;diff_y;line;distance;fix_number;fix_duration_avg;pupil_l;pupil_r;pupil
0;0;I,'m;27;454;69;472;[];0.0;463.0;;1;625.2508468291607;0;;;;
1;1;sorry,,;87;458;169;477;[3832];0.2749;467.5;4.5;1;525.4412414919317;1;0.2749;14.7229;16.5716;15.65
2;2;I;192;454;202;472;[];0.0;463.0;4.5;1;493.5196456683183;0;;;;
3;3;did,n't;221;453;307;472;[3831];0.2102;462.5;0.5;1;390.1299689341776;1;0.2102;14.0832;17.2768;15.68
4;4;quite;326;453;398;477;[3833];0.2754;465.0;2.5;1;300.1968485187385;1;0.2754;15.1027;18.0816;16.59
5;5;understand;417;453;563;472;[3834, 3835];0.5989;462.5;2.5;1;147.89322858259067;2;0.2994;13.9082;16.0601;14.98
6;6;your;581;458;638;477;[];0.0;467.5;5.0;1;88.174394585857;0;;;;
7;7;question,,;656;453;784;477;[3836];0.2583;465.0;2.5;1;71.53632000000005;1;0.2583;13.4136;14.9721;14.19
8;8;could;807;453;878;472;[3837];0.2913;462.5;2.5;1;140.18770509778096;1;0.2913;12.8162;14.3568;13.59
9;9;you;896;458;937;477;[];0.0;467.5;5.0;1;218.49380554281717;0;;;;
10;10;please;956;453;1043;477;[3838];0.4531;465.0;2.5;1;275.8870911452408;1;0.4531;12.695;13.4911;13.09
11;11;rephrase;1064;453;1178;477;[3839, 3840];0.6953;465.0;0.0;1;381.22322366375107;2;0.3477;11.0712;13.9092;12.49
12;12;it,?;1197;453;1238;472;[];0.0;462.5;2.5;1;513.190538358398;0;;;;
13;13;Does;86;553;142;571;[];0.0;562.0;99.5;2;547.566993910866;0;;;;
14;14;your;161;557;218;576;[3841, 3842];0.6145;566.5;4.5;2;471.6247498388761;2;0.3073;13.4875;15.8142;14.65
15;15;question;236;552;352;576;[];0.0;564.0;2.5;2;337.56657041327776;0;;;;
16;16;have;372;552;428;571;[3843];0.2266;561.5;2.5;2;261.57173368042356;1;0.2266;12.9529;14.814;13.88
17;17;anything;447;552;563;576;[3844];0.2752;564.0;2.5;2;126.59619212512834;1;0.2752;13.5185;16.1279;14.82
18;18;to;582;553;608;571;[];0.0;562.0;2.0;2;81.67087131029278;0;;;;
19;19;do;626;552;653;571;[];0.0;561.5;0.5;2;36.712557260185534;0;;;;
20;20;with;670;552;727;571;[3845, 3850];0.647;561.5;0.0;2;3.463679999999954;2;0.3235;14.2554;16.2175;15.24
21;21;the;747;552;788;571;[];0.0;561.5;0.0;2;57.5555163349474;0;;;;
22;22;rugby;809;552;878;576;[3846];0.3071;564.0;2.5;2;119.50140693976114;1;0.3071;14.7422;16.0308;15.39
23;23;player;896;552;983;576;[3847];0.2588;564.0;0.0;2;206.48025343984443;1;0.2588;15.1994;15.7891;15.49
24;24;Theo;1000;552;1058;571;[];0.0;561.5;2.5;2;310.4705214035342;0;;;;
25;25;Harding,?;1076;552;1193;576;[3848, 3849];0.6145;564.0;2.5;2;386.4667218022561;2;0.3073;12.7382;13.6629;13.2
