;1;2;3;4;5;6;7;8
31;0.23448834330665988;0.11917795135186712;0.26114227113543864;0.19577584256916988;0.20053409980225187;0.18174293267580194;0.2493719829275707;0.2180482134890478
30;0.14364134342122734;0.130319498115397;0.2092551473240972;0.1628312752245915;0.15728094457897454;0.17701935146868839;0.18708371491631812;0.19542651829392077
29;0.12972771479182216;0.13284880434027707;0.16757171460042555;0.14129961157979506;0.12213522882937566;0.14770198154706848;0.15253892120008872;0.15221898092129307
28;0.16683355128224842;0.09445662528346822;0.24598914892150434;0.10722141759211402;0.15175980901826777;0.23077980458117076;0.21001853092323725;0.2402931876545542
27;0.1666456281570368;0.06643245482531927;0.20059479615088066;0.11641933168987639;0.16363708657876666;0.18599624602626622;0.20404390823226315;0.19235019799651965
26;0.20858558195320775;0.18554160295223388;0.24111353000572514;0.17905237853307623;0.1832364491411381;0.21530595666078484;0.23058443775432225;0.22384239144717788
25;0.18743907555870196;0.11564058732708533;0.2219770251566306;0.13221730296034165;0.17362339175300387;0.20679213163198298;0.22529168620069398;0.24516780225650775
24;0.20066537603424034;0.1251015260726043;0.2308824792883298;0.16327507594955004;0.18673111631684333;0.21026872781983347;0.21720281817878598;0.23681063022668747
23;0.19981105513828326;0.12705530357237754;0.22979797606195734;0.2095583389545792;0.1805310327247087;0.20502650301580755;0.19384202850004786;0.24963245859283334
22;0.16757481476778413;0.09871277678266295;0.20109967667661371;0.15860981643089217;0.1889212564290536;0.18958627358696473;0.20780703257924446;0.24344849619585793
21;0.21886522106078155;0.14382887779560688;0.18115396960447144;0.16717720265992833;0.17979706572660029;0.21180412668408755;0.23156734368841503;0.2532994159055696
20;0.21186577931070338;0.1365235404266086;0.20935614931729046;0.17908193354458668;0.1870495860383038;0.19954180029038046;0.2167404018929796;0.26194704140612485
19;0.1964956254399196;0.13444227976525433;0.24713612984906677;0.18658527853646986;0.1966230982198032;0.22050106110398007;0.23980675610503516;0.24974781478872016
18;0.16172406320606506;0.16722038788539978;0.20531378235362485;0.10195216560231153;0.18630841908789844;0.18657819185557872;0.20698797264930544;0.2625231983613715
17;0.18369950833320586;0.14505488700224028;0.2500091937424811;0.18614213954654293;0.1834042121115548;0.21450825402000848;0.2369007378681686;0.2527983050760455
16;0.2085526276113623;0.193448382346189;0.2164555212731359;0.13288458066034592;0.20160366069553837;0.2093184868441336;0.23760025331468448;0.25318406079592554
15;0.2047985086185254;0.14235436071433882;0.21196708181932075;0.19749514482790922;0.1866370846676198;0.1850208140563701;0.22463873406370968;0.2602230334950116
14;0.19493282590875527;0.11401755025937359;0.1891700837813792;0.1551535615065163;0.1740027597558189;0.1496432362224381;0.21314828873876557;0.22616072786263358
13;0.14935590756223724;0.08723401377322113;0.18416032303162339;0.1560183839214254;0.17372458942182528;0.18954066819196128;0.20443473905196724;0.22110165796585837
12;0.2005959841261516;0.11550392560161735;0.20357290639133002;0.15968775153412812;0.18224020149268716;0.1656476464564659;0.2185119862362229;0.22831820403150851
11;0.1349725586691935;0.10725952993896022;0.11998943050568364;0.13492645538868486;0.12490935866954649;0.11669938701200186;0.17167930232361245;0.20947555215641495
10;0.18727698288027214;0.1342367768981969;0.19531736923225337;0.18541761207036653;0.17990809115049397;0.20176876338795655;0.21236596324367982;0.2476683787429914
9;0.18064601637748437;0.11241745372540442;0.1529025839212131;0.1627607222629825;0.15442096654229404;0.15327644433072124;0.1966941549554802;0.24612829545990814
8;0.21186255713347563;0.1193936602106715;0.19799918888030224;0.17806887453094739;0.17692301532461358;0.19207458464153815;0.21125859956530013;0.2585073817328421
7;0.19598180961179026;0.15372440976525162;0.20486790265714241;0.1976356561301241;0.18957480642831495;0.20328905340410794;0.20839229621053093;0.2689068563210445
6;0.1951139823314561;0.14246077793494713;0.15374512476554053;0.17345214534506076;0.17842139875383486;0.14242509781625035;0.17964037215857684;0.28829655186520153
5;0.15025827921996782;0.11142690752824203;0.13652092171767866;0.17086211895257408;0.14536454918448002;0.13764109972010974;0.14827504105367253;0.24400681053121986
4;0.23041216963032232;0.1737319927417133;0.23037489276146336;0.20832642276148622;0.20405675653420796;0.17277606602422202;0.21292553765819994;0.2769337236284197
3;0.23812735408752994;0.18348977073896805;0.24004146092799913;0.26533840333628667;0.21654114882776354;0.20041099861187683;0.2136502476609809;0.288726163662074
2;0.16218333068382507;0.11486700542787993;0.16099344027725687;0.2016113031048489;0.14133224542395892;0.1513726465892418;0.10702261737441796;0.20339867000534698
1;0.1831359507582839;0.1279517683931924;0.1811004221751547;0.19017645516593212;0.12016751205714855;0.13134577965288416;0.10879863237185422;0.22302897414057535
0;-0.10434600626014916;-0.07604366210433501;-0.06154677851886947;-0.024594392884443168;-0.06290126261819137;-0.11562545966649773;-0.07016754445686943;0.030170996631562013
