;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg
0;0;A;213;242;224;260;251.0;;1;[];[];0.0;0.0;0;;;822.7468167737476;;
1;1;common;232;246;308;260;253.0;2.0;1;[];[];0.0;0.0;0;;;763.5194078157638;;
2;2;example;316;241;391;265;253.0;0.0;1;[];[];0.0;0.0;0;;;705.9741738274387;;
3;3;of;399;241;416;260;250.5;2.5;1;[];[];0.0;0.0;0;;;694.9132789861873;;
4;4;a;423;246;431;260;253.0;2.5;1;[];[];0.0;0.0;0;;;686.1870017067757;;
5;5;two-variable;440;241;551;260;250.5;2.5;1;[];[];0.0;0.0;0;;;625.0101513666275;;
6;6;linear;560;241;609;260;250.5;0.0;1;[];[];0.0;0.0;0;;;601.8231870834943;;
7;7;equation;616;242;692;265;253.5;3.0;1;[2826];[39.00775379741826];0.4208;0.4208;1;15.7731;16.018;572.3589752168953;15.9;0.4208
8;8;can;700;246;729;260;253.0;0.5;1;[];[];0.0;0.0;0;;;569.8212320643506;;
9;9;be;739;241;758;260;250.5;2.5;1;[];[];0.0;0.0;0;;;565.6465027836153;;
10;10;seen;766;246;806;260;253.0;2.5;1;[2825];[35.896673026362755];0.5501;0.5501;1;16.6885;17.4205;561.9661923206186;17.05;0.5501
11;11;in;815;242;829;260;251.0;2.0;1;[];[];0.0;0.0;0;;;561.6371200000001;;
12;12;the;837;241;865;260;250.5;0.5;1;[2827];[59.293439999999975];0.3556;0.3556;1;15.6906;15.0196;561.7604611498878;15.36;0.3556
13;13;relationship;873;241;976;265;253.0;2.5;1;[2828];[71.81370684559876];0.3236;0.3236;1;14.789;15.198;558.6832473874033;14.99;0.3236
14;14;between;985;241;1058;260;250.5;2.5;1;[];[];0.0;0.0;0;;;583.9204491292752;;
15;15;hours;212;346;260;365;355.5;105.0;2;[];[];0.0;0.0;0;;;726.6368114204885;;
16;16;worked;268;346;331;365;355.5;0.0;2;[2818];[30.816959999999995];0.3073;0.3073;1;13.7986;15.5027;672.8889701216201;14.65;0.3073
17;17;and;340;346;371;365;355.5;0.0;2;[2819];[0.0];0.3396;0.3396;1;15.1006;16.1541;644.0817200568066;15.63;0.3396
18;18;money;381;351;440;370;360.5;5.0;2;[];[];0.0;0.0;0;;;593.6137772250022;;
19;19;earned.;448;346;514;365;355.5;5.0;2;[2820];[34.67327999999998];0.4205;0.4205;1;15.1363;17.2832;552.6127263385586;16.21;0.4205
20;20;If;523;346;537;365;355.5;0.0;2;[];[];0.0;0.0;0;;;539.9937967341241;;
21;21;you;543;351;574;370;360.5;5.0;2;[];[];0.0;0.0;0;;;516.8094408109574;;
22;22;earn;583;351;621;365;358.0;2.5;2;[2821];[45.776320000000055];0.3881;0.3881;1;15.9906;16.992;500.22681066825527;16.49;0.3881
23;23;$10;630;345;661;370;357.5;0.5;2;[];[];0.0;0.0;0;;;480.56964834593384;;
24;24;per;670;351;699;370;360.5;3.0;2;[];[];0.0;0.0;0;;;468.94541058777247;;
