;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg
0;0;That;222;450;262;470;460.0;;1;[4931.0];[0.0];0.7278;0.7278;1;13.7159;15.8886;320.2238138582451;14.8;0.7278
1;1;will;269;450;296;470;460.0;0.0;1;[4930.0];[0.0];0.21;0.21;1;13.7272;15.8894;286.4415189212625;14.81;0.21
2;2;depend;305;450;369;475;462.5;2.5;1;[4932.0, 4940.0];[10.01989868659358, 10.878080000000011];0.7119;0.4207;2;14.5375;15.7009;213.40002193514414;15.12;0.356
3;3;on;378;455;398;470;462.5;0.0;1;[4939.0];[3.5633758160485587];0.2427;0.2427;1;14.5795;16.2392;185.57236368037132;15.41;0.2427
4;4;the;406;450;434;470;460.0;2.5;1;[];[];0.0;0.0;0;;;150.33626762002572;;
5;5;pressure;443;456;518;475;465.5;5.5;1;[];[];0.0;0.0;0;;;68.89288905191886;;
6;6;and;526;450;557;470;460.0;5.5;1;[4933.0];[26.309759999999983];0.4368;0.4368;1;15.4704;16.7413;41.44822025033162;16.11;0.4368
7;7;velocity;566;450;634;475;462.5;2.5;1;[4938.0, 4941.0, 4942.0];[23.70848000000001, 30.897279999999967, 29.217600000000004];1.2939;0.4365;3;15.8678;16.8955;29.217600000000004;16.38;0.4313
8;8;of;642;450;659;470;460.0;2.5;1;[];[];0.0;0.0;0;;;70.4740162181779;;
9;9;the;665;450;693;470;460.0;0.0;1;[4934.0];[38.28032000000002];0.5981;0.5981;1;16.0596;16.8067;91.26679879298935;16.43;0.5981
10;10;air;701;451;723;470;460.5;0.5;1;[];[];0.0;0.0;0;;;125.3695328296313;;
11;11;as;730;455;749;470;462.5;2.0;1;[];[];0.0;0.0;0;;;153.47272253374538;;
12;12;well;757;450;789;470;460.0;2.5;1;[4935.0];[40.52287999999999];0.4043;0.4043;1;16.5159;15.8453;179.8938435909356;16.18;0.4043
13;13;as;798;455;817;470;462.5;2.5;1;[];[];0.0;0.0;0;;;220.28341327008712;;
14;14;the;824;450;852;470;460.0;2.5;1;[4936.0];[19.210802518416525];0.3882;0.3882;1;15.8328;15.4771;246.0009783759406;15.65;0.3882
15;15;shape;860;450;912;475;462.5;2.5;1;[];[];0.0;0.0;0;;;281.13199135267405;;
16;16;and;920;450;950;470;460.0;2.5;1;[4937.0];[2.143359999999973];0.3882;0.3882;1;13.6954;14.5874;341.3290561348682;14.14;0.3882
17;17;velocity;959;450;1027;475;462.5;2.5;1;[];[];0.0;0.0;0;;;379.73529907281466;;
18;18;of;1035;450;1052;470;460.0;2.5;1;[];[];0.0;0.0;0;;;455.89552812231005;;
19;19;the;592;555;619;575;565.0;105.0;2;[];[];0.0;0.0;0;;;52.0925614835746;;
20;20;object.;627;555;686;580;567.5;2.5;2;[];[];0.0;0.0;0;;;68.92972480664636;;
