;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg
0;0;Our;269;346;301;365;355.5;;1;[4240.0, 4241.0, 4242.0];[43.585864176285476, 22.753600000000034, 12.789297625749416];1.4072;0.7278;3;13.4171;15.4315;337.8537729942136;14.42;0.4691
1;1;sun;308;351;338;365;358.0;2.5;1;[4239.0];[58.18847999999997];0.2102;0.2102;1;13.7213;16.2269;320.60005602997893;14.97;0.2102
2;2;has;347;346;376;365;355.5;2.5;1;[];[];0.0;0.0;0;;;306.5396743105623;;
3;3;a;384;351;393;365;358.0;2.5;1;[];[];0.0;0.0;0;;;301.59037770861596;;
4;4;diameter;401;346;481;365;355.5;2.5;1;[4243.0, 4246.0, 4247.0];[14.602880000000027, 25.49824000000001, 7.824000000000012];1.553;0.6311;3;14.859;15.9935;290.77984000000004;15.43;0.5177
5;5;of;488;346;505;365;355.5;0.0;1;[];[];0.0;0.0;0;;;291.1652381834508;;
6;6;1,392,680;514;346;603;370;358.0;2.5;1;[4244.0, 4259.0, 4260.0];[28.243916399706354, 0.0, 10.035840000000007];1.3433;0.5015;3;14.7188;15.5597;288.70252774512664;15.14;0.4478
7;7;km,;612;346;643;370;358.0;0.0;1;[];[];0.0;0.0;0;;;317.78049897126414;;
8;8;a;652;351;661;365;358.0;0.0;1;[4261.0];[53.313883197471206];0.2585;0.2585;1;15.2439;15.4905;341.4459311903213;15.37;0.2585
9;9;radius;670;346;723;365;355.5;2.5;1;[4245.0, 4248.0, 4251.0];[19.15967999999998, 10.547840000000008, 8.23821676082879];2.8618;0.5169;3;15.2407;16.1347;351.21568861089565;15.69;0.9539
10;10;of;731;346;748;365;355.5;0.0;1;[];[];0.0;0.0;0;;;388.7216638244203;;
11;11;696,340;755;346;827;370;358.0;2.5;1;[4249.0, 4250.0, 4252.0, 4262.0];[1.915520000000015, 0.0, 7.209600000000023, 46.97280000000001];1.5041;0.3723;4;15.9006;15.8363;401.473014692676;15.87;0.376
12;12;km,;837;346;868;370;358.0;0.0;1;[];[];0.0;0.0;0;;;462.7619750221766;;
13;13;and;877;346;908;365;355.5;2.5;1;[4263.0];[81.48448000000002];0.3562;0.3562;1;14.3931;13.2959;497.7444363590874;13.84;0.3562
14;14;a;917;351;925;365;358.0;2.5;1;[];[];0.0;0.0;0;;;530.7236606054281;;
15;15;mass;934;351;979;365;358.0;0.0;1;[];[];0.0;0.0;0;;;545.024575525201;;
16;16;of;987;346;1004;365;355.5;2.5;1;[];[];0.0;0.0;0;;;590.5287833174821;;
17;17;1.9891x10%30;208;451;338;470;460.5;105.0;2;[4253.0, 4254.0, 4255.0];[18.252800000000008, 23.56480000000002, 1.1936000000000035];1.2627;0.3887;3;14.1354;15.9036;229.66416683154037;15.02;0.4209
18;18;kg.;347;450;372;475;462.5;2.0;2;[4256.0];[16.387200000000007];0.3557;0.3557;1;13.7998;14.7285;207.09224786656213;14.26;0.3557
19;19;This;381;450;417;470;460.0;2.5;2;[];[];0.0;0.0;0;;;194.04339083417815;;
