;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg
0;0;1.;213;399;226;417;408.0;;1;[];[];0.0;0.0;0;;;424.6226051552206;;
1;1;Diameter;236;399;318;418;408.5;0.5;1;[];[];0.0;0.0;0;;;339.15900602638635;;
2;2;of;325;398;342;418;408.0;0.5;1;[];[];0.0;0.0;0;;;317.58414974429434;;
3;3;the;348;398;376;418;408.0;0.0;1;[1650.0];[66.39889681281159];0.372;0.372;1;8.2969;7.8258;287.6781968950834;8.06;0.372
4;4;Sun;384;398;417;418;408.0;0.0;1;[];[];0.0;0.0;0;;;252.99433228593554;;
5;5;at;425;400;442;418;409.0;1.0;1;[];[];0.0;0.0;0;;;232.8553460172353;;
6;6;its;450;399;469;418;408.5;0.5;1;[];[];0.0;0.0;0;;;212.26947630030648;;
7;7;equator:;477;400;551;422;411.0;2.5;1;[1651.0];[45.35359999999997];0.2912;0.2912;1;7.9202;7.0;158.2186386264475;7.46;0.2912
8;8;1,391,400;563;398;652;422;410.0;1.0;1;[1652.0];[27.505280000000027];0.3397;0.3397;1;7.4646;5.6786;139.74591999999996;6.57;0.3397
9;9;kilometers;661;398;753;418;408.0;2.0;1;[1653.0];[32.18112000000002];0.2425;0.2425;1;4.8949;6.0504;148.13918107241713;5.47;0.2425
10;10;(864,576;762;398;843;422;410.0;2.0;1;[1654.0];[8.053632293965233];0.291;0.291;1;7.7724;6.9193;195.56530573904567;7.35;0.291
11;11;miles).;851;398;910;422;410.0;0.0;1;[1655.0];[5.673600000000022];0.2587;0.2587;1;9.9131;10.2328;265.5539448187626;10.07;0.2587
12;12;2.;920;399;935;417;408.0;2.0;1;[1656.0];[87.57989405063239];0.275;0.275;1;10.1469;11.0447;328.426676152846;10.6;0.275
13;13;Radius;945;398;1003;418;408.0;0.0;1;[];[];0.0;0.0;0;;;350.62953350909623;;
14;14;of;1011;398;1028;418;408.0;0.0;1;[];[];0.0;0.0;0;;;411.7182737853719;;
15;15;the;1034;398;1062;418;408.0;0.0;1;[];[];0.0;0.0;0;;;433.3453340798842;;
16;16;Sun;229;503;261;522;512.5;104.5;2;[];[];0.0;0.0;0;;;366.3528157511641;;
17;17;at;270;504;286;522;513.0;0.5;2;[];[];0.0;0.0;0;;;341.5111500504872;;
18;18;its;294;504;313;522;513.0;0.0;2;[];[];0.0;0.0;0;;;314.71031760780636;;
19;19;equator:;321;504;395;527;515.5;2.5;2;[];[];0.0;0.0;0;;;232.7979793915883;;
20;20;695,700;406;503;478;527;515.0;0.5;2;[1657.0];[38.982416534555675];0.1936;0.1936;1;10.0797;5.4938;151.23588465971423;7.79;0.1936
21;21;kilometers;488;503;580;522;512.5;2.5;2;[];[];0.0;0.0;0;;;60.18230976629588;;
22;22;(432,288;588;503;669;527;515.0;2.5;2;[1660.0];[18.96544];0.5662;0.5662;1;9.2159;9.2;34.745919999999956;9.21;0.5662
23;23;miles);678;503;730;527;515.0;0.0;2;[1672.0];[25.857600000000048];0.2427;0.2427;1;8.5562;6.5982;63.21497297955922;7.58;0.2427
24;24;(or;740;503;766;527;515.0;0.0;2;[1661.0];[40.224320000000034];0.2425;0.2425;1;9.4294;8.4893;119.95217050477413;8.96;0.2425
25;25;one;773;508;804;522;515.0;0.0;2;[1665.0];[23.576959999999985];0.1941;0.1941;1;10.1191;9.5189;153.0601712033748;9.82;0.1941
26;26;“solar;813;503;863;522;512.5;2.5;2;[1662.0];[24.25279999999998];0.2748;0.2748;1;9.6273;9.1911;191.9692267234684;9.41;0.2748
27;27;"radius""";871;503;932;522;512.5;0.0;2;[1663.0];[82.83583999999996];0.2909;0.2909;1;10.7728;10.4101;249.00220402399336;10.59;0.2909
28;28;(1;941;503;957;527;515.0;2.5;2;[];[];0.0;0.0;0;;;317.7152536608943;;
29;29;RO)).;967;503;1017;527;515.0;0.0;2;[1664.0];[59.35809444790489];0.4045;0.4045;1;9.8725;9.7;343.5710721361832;9.79;0.4045
30;30;3.;1027;503;1042;522;512.5;2.5;2;[];[];0.0;0.0;0;;;403.7705942844358;;
31;31;Mass;314;609;357;627;618.0;105.5;3;[1658.0];[8.813120000000026];0.3558;0.3558;1;10.4772;9.9926;272.32157227955037;10.23;0.3558
32;32;of;365;608;382;627;617.5;0.5;3;[];[];0.0;0.0;0;;;247.55001629732604;;
33;33;the;388;608;416;627;617.5;0.0;3;[1667.0];[58.63968];0.3236;0.3236;1;10.5646;9.4417;214.2430007463637;10.0;0.3236
34;34;Sun:;424;608;463;627;617.5;0.0;3;[];[];0.0;0.0;0;;;168.65694699242715;;
35;35;1.9885;475;608;534;627;617.5;0.0;3;[1659.0];[27.013119999999958];0.5173;0.5173;1;10.8811;10.2536;102.25032503032152;10.57;0.5173
36;36;x;545;612;554;626;619.0;1.5;3;[1673.0];[4.015999999999963];0.3879;0.3879;1;10.2929;9.1027;87.14095253556962;9.7;0.3879
37;37;10%30;565;608;622;627;617.5;1.5;3;[1666.0, 1674.0];[22.86591999999996, 46.363979216698];0.5015;0.2429;2;10.3066;9.3013;46.363979216698;9.8;0.2508
38;38;kilograms;631;608;717;632;620.0;2.5;3;[1668.0];[30.661119999999983];0.3074;0.3074;1;8.8794;7.8107;46.61750067095409;8.35;0.3074
