;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;252;253;254;255;256;257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;293;294;295;296;297;298;299;300;301;302;303;304;305;306;307;308;309
20;-0.27764211568598274;-0.20641329825014257;-0.19837392561817305;-0.19429567815339185;-0.18739366238594976;-0.18732853451452894;-0.18639138510233674;-0.18155978340964463;-0.18074569953851774;-0.17719798239624918;-0.17249828799267092;-0.17203472903160452;-0.15719417989882398;-0.1507628850324992;-0.1452085344091633;-0.1299953802084638;-0.11963491544757708;-0.11700299197190685;-0.11518083307508133;-0.11292122332625315;-0.11118739749916519;-0.1075461768065512;-0.10447486367846542;-0.09999999999999999;-0.09999999999999999;-0.09971934983195863;-0.0950829565993219;-0.08678464359440578;-0.08571428571428573;-0.07142857142857144;-0.07007576194008736;-0.0681013734516089;-0.0612384679784851;-0.06114874032179432;-0.058352787439174186;-0.05796065192316006;-0.05434048573902646;-0.04956139915911601;-0.04904849947664367;-0.047599959052098795;-0.046439703817026425;-0.04289682266229944;-0.04230404727511906;-0.040420458424763134;-0.03805640505600476;-0.03571428571428572;-0.035242932403428504;-0.03385460132552881;-0.033806170189140665;-0.023693902452319913;-0.02234415288811741;-0.020478971265649827;-0.0202615487089262;-0.01583269628412284;-0.013698772949316696;-0.011422406947372364;-0.009901475429766743;-0.006544982902492497;-0.00557499673827138;0.0;0.0;0.006412957947318589;0.008003856149803975;0.008357356569421917;0.0103388103254181;0.010900888565704986;0.013927930493590097;0.018166325303969427;0.023785538975362716;0.02680158087620007;0.02827989474459935;0.028769042855602323;0.029151203855608685;0.030293650174603597;0.033806170189140665;0.037218273292167814;0.03784906403416195;0.03971726418870027;0.045057453166265735;0.045097124228437646;0.04754789200724314;0.048604033635484135;0.048672687151140204;0.04896113722935767;0.050836720484208474;0.051998271016607006;0.05500500229817075;0.05943483824488005;0.06010187591388813;0.060240763313208164;0.06244500169136309;0.06310901726720858;0.06330514262277707;0.06550736999370975;0.06861213165970015;0.06906639078246886;0.07042704654860522;0.07111590022187594;0.07238542950906723;0.07352869720529899;0.07451017216035326;0.07485466048090968;0.07690255425128839;0.07778138819649202;0.07795676836236928;0.07895542478594579;0.08070711797451449;0.08182022614015358;0.08734654990851702;0.08775117642969105;0.08820671125518098;0.08915078200904544;0.09185792388764107;0.09218231409391113;0.09235039698189429;0.09278845371081816;0.09326701588879131;0.09334566504745799;0.09412881034572533;0.09484123549977896;0.09518551410764867;0.09640776558399604;0.09649276413302507;0.10043427167240722;0.10095543348949543;0.10144057088685861;0.1017639652322627;0.10276797808762549;0.10836498914575478;0.108393479539503;0.1099885261953397;0.11297849286629044;0.11430590749618882;0.11437887278084703;0.11445796112691659;0.11609619115302178;0.11632000744307007;0.11666666666666665;0.11706353655286429;0.11719503991921308;0.11721610811578223;0.11774779992396685;0.11848078647131378;0.12035869531881407;0.12057251538438604;0.1206952654529252;0.12303225395190162;0.1265586925934911;0.1286399778404474;0.13888944816371934;0.1410839902382405;0.14239804963917355;0.1443147854767806;0.15026583629919266;0.1516347199308646;0.15167894580266486;0.15227465144927033;0.15289621440305196;0.15298076928922996;0.15497481216008296;0.15579136539228794;0.1561619581075945;0.15639154779090464;0.15685003287146912;0.15871149206403953;0.15878001164285718;0.15926755906071194;0.16053344824943253;0.16060282442940316;0.1658994475464547;0.1673652697129683;0.17012736932867897;0.17046629444212424;0.17112167450347918;0.17473206507788513;0.17573438170273484;0.17641699104080222;0.17674290649088736;0.1773234001407533;0.1775431216089823;0.1795813528728956;0.18008726450655757;0.18017439382939768;0.18248720885527947;0.18548838021430872;0.18657369479326472;0.1915712945851919;0.19614741113473694;0.19627765106459807;0.19657388317011615;0.19718451566711767;0.19741198677802724;0.19744540904480756;0.19779639562796414;0.1980225365288508;0.19886876276096116;0.2;0.20000007601046893;0.20098039215686278;0.2044944109759171;0.20498964261617494;0.20644385678710625;0.20683412015373334;0.20811542358780397;0.21023559683410534;0.21173382976763763;0.21204502312361462;0.21296878938983774;0.21428571428571427;0.2183269727115612;0.21896905110761392;0.21905332833085248;0.2206809912849623;0.220834918202681;0.2225390278141637;0.22313013825568798;0.2248264484219046;0.22831195915073949;0.22840769785022308;0.22914747885923578;0.23100019171962435;0.2316632373006536;0.23179708933368032;0.2334056291967117;0.23367955250956374;0.23540709252681427;0.24861273373698461;0.2497625540409709;0.2512974351624816;0.25482075464248266;0.25599817485935855;0.25652278940197076;0.2621127717406866;0.2621295212454862;0.2688554675213289;0.26914599773884545;0.2708655885294124;0.27582288491244117;0.28404092662224184;0.2848742529271846;0.2907532419658407;0.29176762275870405;0.2921048526856759;0.2993119020075581;0.2999364691794644;0.3;0.3016042224238461;0.3046490115402609;0.30986945683279443;0.31004726343636346;0.31505049105763017;0.3152776724352643;0.31782885646381687;0.31800447915301466;0.31934594170512814;0.32242128387700636;0.32331125427060287;0.323369397803704;0.323838310716618;0.33074754631582587;0.3311272370833676;0.33801980120725406;0.3531525647399343;0.3571428571428572;0.36482261319797055;0.3665967777860617;0.37275990930121733;0.37648273063822724;0.3765723339400754;0.38181818181818183;0.38638962152149;0.3931531477991157;0.41030095394972915;0.4153115778988454;0.4227095075160627;0.4272727272727273;0.4313829880753669;0.4340259870832958;0.43406718311505865;0.4431217169079058;0.45359584774228806;0.4725274725274725;0.47990627735770125;0.4846990641204805;0.4870403824596606;0.4989914277499645;0.5;0.5143707412705535;0.5428571428571429;0.5439144354287662;0.5483906192904803;0.564692439315782;0.5683312119453335;0.5753922836133598;0.5753922836133598;0.5880252571455965;0.6571428571428573;0.6982532518267538;0.7247137945655605;0.7714285714285715;0.7745966692414834;0.7999999999999999;0.7999999999999999;0.8214285714285715;0.8660254037844387;0.8857142857142858;0.9999999999999999;0.9999999999999999;0.9999999999999999;0.9999999999999999
15;-0.4285714285714286;-0.401677156202747;-0.3900099732396895;-0.38770950204215376;-0.3768511731740915;-0.37625606633113623;-0.3719022376391384;-0.3714285714285715;-0.3689763220538758;-0.35010931237578485;-0.34544560560242127;-0.3398700876455184;-0.3380617018914066;-0.33324217769266884;-0.32130175620612883;-0.3167890100792656;-0.30864697824864123;-0.30218361150951756;-0.2825986526270952;-0.2692307692307692;-0.26666666666666666;-0.24896627070655472;-0.24848484848484845;-0.2472974790844944;-0.24724787884384702;-0.2433310987693783;-0.2378433496390157;-0.23736127314166652;-0.21754348974446194;-0.21693045781865616;-0.21428571428571433;-0.2142714218366121;-0.21093974002313665;-0.20813701172878135;-0.2058261412832489;-0.2052056069208881;-0.20412414523193148;-0.20296783566720392;-0.20116073889220507;-0.19999999999999998;-0.19980526943787003;-0.19936880114998512;-0.19598955231344337;-0.19151875130181226;-0.18987218594882277;-0.18964833444595836;-0.18941691078110878;-0.1891897602462006;-0.1866399242213052;-0.18426707620691316;-0.1825590940160318;-0.18251592908362285;-0.17995478349986158;-0.1779691861609219;-0.17380929232534392;-0.1689259404405764;-0.16443259470332788;-0.16320482761085406;-0.15899720766358738;-0.15356430350165978;-0.15179418517972906;-0.1500344008069316;-0.1477508517976563;-0.14616971969235135;-0.1458969497759645;-0.14436175193012096;-0.1422433967517648;-0.14155398714293918;-0.14141243386616417;-0.1389501506240303;-0.13123975349511602;-0.12977906149090654;-0.12813972883125485;-0.12662117034358025;-0.1257930478796015;-0.12408919038588669;-0.12039348379303674;-0.11950356214710789;-0.11780957124976661;-0.1177929250690466;-0.1171979625437507;-0.11641778612565708;-0.11562649433353099;-0.11454100542428158;-0.11196773811285876;-0.11005590982568682;-0.10824558677456313;-0.10669059166873283;-0.10370979002319315;-0.10275554451867551;-0.10202576383865045;-0.10150689426755538;-0.0951982821431513;-0.09469999366661688;-0.09422444455045326;-0.09205101496312953;-0.09083965528749707;-0.09052904973640778;-0.09011464549848495;-0.08803039456219733;-0.0863377284376795;-0.08591327145988727;-0.08352939287851284;-0.08070106893622883;-0.08055124892657531;-0.07750380131961197;-0.07611846109042693;-0.06697318595396728;-0.06593979349562436;-0.06353492919763457;-0.05998706314810338;-0.0564689654676215;-0.05566211646256682;-0.05537622248162425;-0.05526971103567273;-0.050057775447253865;-0.04652026375195949;-0.045930823357288104;-0.04543982094963867;-0.04463967862005365;-0.041152263403814664;-0.03949495936470453;-0.03924944625092739;-0.0377544599941233;-0.037211803307965446;-0.03507632533162006;-0.03505708471809245;-0.03290151840176407;-0.03283226016538268;-0.03099920121650173;-0.03071202680537016;-0.030214086750190182;-0.028092691722526923;-0.026354254956208294;-0.025809357186219885;-0.023657560794653216;-0.022960379059598513;-0.021510350985916166;-0.020756805720857047;-0.02031735145192437;-0.018611436213046513;-0.016343995823697128;-0.01624752320515869;-0.012970159944897794;-0.011317527471446953;-0.008215975541171466;-0.00787116534926006;-0.006898775243412114;-0.005767840841271096;-0.0051761343288519125;-0.0049140197466545615;-0.0039026676688831835;-0.001956706319651639;-0.0008703428234206032;0.002696731284004436;0.0038315683375463932;0.007407610636824498;0.007780183330936336;0.009045961269868596;0.011039495291507273;0.013792945450067524;0.014291828894100442;0.014337551434156534;0.016993492513488855;0.017062937119797537;0.01763509198375155;0.018152235138097144;0.019560221397506312;0.02018616748488638;0.020920759726516053;0.021433045965878472;0.023767439200800003;0.025649683205100828;0.029006808013670064;0.0296380940039757;0.030754138214598468;0.031960955424164966;0.03275974425653768;0.03298927569778275;0.033015807447213566;0.035207921559152804;0.036954675625413866;0.03773966869166386;0.04000246936444968;0.04200622881541799;0.043150396815285895;0.04340682530978535;0.04676097647914123;0.047639033928298644;0.04902150264421681;0.0514264990498726;0.0514741201354694;0.05194602634046698;0.05234349497602358;0.052889606078540374;0.05319966853688639;0.056029243779005145;0.056140350877192984;0.05710152299004546;0.06132030650970567;0.062236111872047396;0.06248767984174581;0.0626317389173984;0.0650679664397584;0.06598360608022756;0.06765449887550089;0.06831728884037269;0.0702062375615889;0.07243018257684375;0.07341652767317598;0.0753226723190944;0.07686584022961891;0.07804307013712546;0.07967735386463112;0.08230379029243289;0.08281591132100155;0.08382714403029108;0.08681741545480028;0.08863881287220798;0.0891975585518674;0.08972051385339026;0.09041464253385771;0.09057529820278763;0.09089297278442003;0.09625446790582418;0.09697622757528537;0.09777672963551189;0.09961687231325636;0.1020395468606283;0.10357003084312776;0.10488261928087317;0.10784461517082795;0.11174766988543226;0.11212630966820758;0.1125007424399377;0.11445595646124263;0.1165225741077687;0.11926236764679748;0.12101205636401088;0.124823846597147;0.12566863775935;0.12999506087804344;0.13182124177405863;0.13424394528504457;0.1361799452922343;0.138003934251925;0.13841141540754537;0.13856691241339586;0.13935980191671807;0.13945734115421335;0.14368012220749277;0.14785443127212242;0.15495309375942734;0.1595461555783723;0.16162704595880897;0.1664956997605313;0.16757365654396797;0.16944779971643556;0.17008538363625395;0.17173082216472915;0.17532805324777517;0.17625756517391267;0.1770910713615278;0.17792750455055614;0.18179913805240316;0.18181818181818182;0.18754852008573325;0.19252165990517753;0.2049532655238829;0.21297202534801274;0.2142857142857143;0.21428571428571433;0.21660993881660884;0.21947931894462533;0.22007705632811048;0.2343305815056594;0.25236376419187;0.26343648201143977;0.2640579277360811;0.2735013200598798;0.2791035634427132;0.2797462014072908;0.28051279391023054;0.3;0.3142857142857143;0.31814132453469957;0.32069792885525844;0.33049651757818027;0.3463976679197365;0.3657253713567246;0.39999999999999997;0.4238185133446995;0.4285714285714286;0.4351941398892446;0.4460784313725491;0.44780340551209075;0.4540503113144483;0.4634568672673286;0.47905050476530353;0.48028982343087817;0.4826001395709686;0.5428571428571429;0.6;0.7745966692414834;0.7999999999999999;0.8660254037844387;0.9999999999999999;0.9999999999999999;0.9999999999999999;0.9999999999999999
12;-0.2484646732989441;-0.23832141055509953;-0.23732222626728364;-0.23615224204654764;-0.20548485582647197;-0.20377545010123216;-0.19999999999999998;-0.19355459661463637;-0.19178282129043372;-0.1792249075309396;-0.17575757575757575;-0.16523341396621347;-0.16483516483516483;-0.16443259470332788;-0.16162704595880897;-0.1452721367471012;-0.1404728440024076;-0.13071011583069564;-0.12518824989500063;-0.12071850901477289;-0.11978877749504747;-0.11740249378400698;-0.11389388186327001;-0.11307660705896634;-0.10343754640712693;-0.10091024007444936;-0.09436715987246806;-0.08751394807784618;-0.0857259103114807;-0.08508632025083793;-0.07712273985542427;-0.07472726437278365;-0.07142857142857144;-0.07142857142857144;-0.06940305887719046;-0.06595023120529671;-0.0630636205269677;-0.060019012646363;-0.057108471591917676;-0.05085218764725021;-0.04819282573764908;-0.04696822580746714;-0.046637310663645716;-0.04513614134978159;-0.04446752013459187;-0.04156440591476763;-0.039189055570051715;-0.02479348250927589;-0.023456354981186724;-0.023026106781973667;-0.02269611718845617;-0.016861729786020022;-0.01625570086210193;-0.015679786803068606;-0.011847742257358561;-0.01028255638550836;-0.007868629963715963;-0.00047291221590340586;0.0;0.0010372409258205192;0.002457009873327281;0.0032285193225933583;0.00985138846073374;0.009877746498379041;0.01047803902278312;0.010571350655716762;0.01351981355715343;0.014447627874146515;0.015871149206403954;0.016245745411245658;0.016260555154041394;0.017664736225020773;0.020024301032605833;0.020083839238808666;0.020126225286845375;0.021672023133228836;0.022987039287522413;0.02372239104608954;0.023881830350526885;0.024494909675289677;0.026245243705568775;0.027053838977499044;0.028571428571428574;0.029477179219025457;0.029555371409381328;0.03157268467267714;0.03179244326952928;0.032015983865926675;0.033806170189140665;0.034100466541408;0.0356679135618001;0.03571428571428572;0.038845415610214665;0.04148923976465888;0.04470715367778333;0.04706937867738214;0.047201898857004015;0.04761904761904763;0.049988812089900914;0.050075187880834426;0.050123001415876535;0.05241371580302109;0.054064257976387704;0.05642943084434397;0.057106862568069586;0.05767059572640471;0.05838523839034389;0.05848279398591559;0.06070531256591789;0.06095779966430456;0.06251274561499714;0.06257368729362518;0.06289613995997256;0.06389531331213498;0.06569887729741292;0.0669511691875638;0.06809509750294866;0.0705884028186846;0.0708080087608965;0.0725081576266253;0.07303653311611842;0.07375452838443969;0.0762561733018892;0.07723976104644242;0.08312087235611872;0.08404606389858067;0.08507561417497249;0.08939367747403437;0.08998843063056597;0.09039889556985149;0.09058618386989438;0.09389411231534332;0.09427904953282167;0.09572802243221226;0.09759000729485333;0.09795537543902902;0.09828873258622446;0.09999999999999999;0.1023329724814192;0.10356229642658193;0.10390372977276101;0.10447791476009992;0.11051720373473319;0.11113934946961695;0.11238170460844156;0.11341590369176122;0.11352642330663547;0.11451363218724576;0.1157488668209889;0.1159518887853016;0.11673790509266259;0.11900332071335876;0.12079959283111032;0.12080606327139667;0.1210374232618421;0.12265140433039183;0.12274805859407975;0.12346759817436485;0.12434340715592189;0.12556564576413207;0.12814316148526778;0.12900721781519145;0.13153860618193125;0.13299637254392582;0.13333333333333333;0.1365715184939805;0.13699718148138798;0.13778155784493568;0.13826949193326596;0.13894230637446964;0.13936414704431394;0.14271189257548664;0.14283877787779123;0.14285714285714288;0.14295604956086277;0.14328093089830646;0.14504384944767099;0.14603555222056835;0.14638042146505945;0.14655852162224364;0.15137608903832983;0.152011762232192;0.1523346121462914;0.15303863424983602;0.15334514240716993;0.15568555977822363;0.15674806403117175;0.15678013277122815;0.1604212878260329;0.16269423514730685;0.16523664916692;0.16561179005532986;0.1671613082802081;0.1683402764639663;0.17019872922491694;0.17234398761988448;0.17297291823120411;0.17309638618290069;0.17310459565968392;0.1749674676904736;0.17544124141493925;0.17622972145599036;0.18272034059232412;0.18275014542862467;0.1828788076340613;0.18312902433967207;0.183898635183945;0.1843773249571388;0.187788172748329;0.1911680629938958;0.19568207813239893;0.19999999999999998;0.19999999999999998;0.19999999999999998;0.19999999999999998;0.20288887485564677;0.2058335278343355;0.21010291235896508;0.2159053939615929;0.2162636826797362;0.21656610332702533;0.21927386507200924;0.22357205731665353;0.2244583003227454;0.22544917058073366;0.22567000101226603;0.22693725294390185;0.2272135095007085;0.22820177788192253;0.23014112069484144;0.23078573294771754;0.2330086131422831;0.23435647720595332;0.2347060970536737;0.2438879599554439;0.24596973141920303;0.24753688574416857;0.25;0.25009000287602823;0.2554777443300364;0.2559987892788015;0.25759541837189215;0.2585509954333795;0.2586718210976018;0.25919479328518813;0.2596595812374093;0.26186383917522005;0.2668848308720167;0.26726710284030775;0.26931355132018875;0.2718302706440035;0.2731931103289415;0.27322953332351235;0.27552347896062934;0.2786074231129629;0.2796849365588606;0.280405878455801;0.2815486945114867;0.28343630752161764;0.2842534548910833;0.2844042799820104;0.2873954834751154;0.2927163716513403;0.2955697047307981;0.29737154786613107;0.3007470116396313;0.30631873731649006;0.306431003670751;0.30827398074584367;0.30840484754057373;0.3101870485637972;0.31141519673527057;0.3131868131868132;0.319237319353549;0.3216291072677044;0.33120585112514495;0.3373991427391426;0.3454952653664209;0.34665251832081984;0.36296382437014985;0.36409658610651124;0.3681384690587665;0.3727272727272728;0.39203055602043785;0.3960108674747704;0.39984567323952336;0.4052617961525573;0.4065654177484498;0.4211674909060665;0.4285714285714286;0.4435185266405332;0.4640621997342019;0.47905050476530353;0.49661752800017783;0.49781130155313164;0.49837494124765713;0.5089638427401842;0.536764705882353;0.5428571428571429;0.5500020431429704;0.6071428571428572;0.6273460950094357;0.6571428571428573;0.7572378034072855;0.7745966692414834;0.8660254037844387;0.8999999999999998;0.9999999999999999;0.9999999999999999;0.9999999999999999
2;-0.32764924408065504;-0.3120402539125647;-0.3098177431589819;-0.30512857662936466;-0.30396599368163923;-0.29464810047933615;-0.2944419263266643;-0.29123249379739696;-0.2795980548281532;-0.26672481918271385;-0.26269565448412713;-0.24618223747454587;-0.2402707207524389;-0.23450774963941698;-0.23053232166704948;-0.22963592974155947;-0.2286337081597932;-0.22507904441916646;-0.2177778427233911;-0.21340871309747916;-0.2072661668883755;-0.2048800652039;-0.20396730760198925;-0.19999999999999998;-0.19509973863052868;-0.19124225688321828;-0.19025615384066374;-0.19025376597871108;-0.18716148521880296;-0.18499505413733663;-0.18063315352789108;-0.1791372328895302;-0.17785277721454312;-0.16797001954499668;-0.1649261560773697;-0.15987903024051175;-0.15842076984208106;-0.1567507619305458;-0.1566378843669338;-0.15580782124407871;-0.15333745065356694;-0.15179418517972906;-0.1506453446381888;-0.14980934053792347;-0.14919627258167606;-0.14694111535578083;-0.14347733217131933;-0.14240532759742466;-0.1419679873855827;-0.14026016362594024;-0.13768704772650883;-0.13288526090265115;-0.12878751231531863;-0.12745060525301521;-0.12536034854132877;-0.12379135972231273;-0.1199522195119449;-0.11963169392778683;-0.11666666666666665;-0.11206421176445028;-0.11151056264435287;-0.10993988371401199;-0.10935390737933959;-0.10228826093293787;-0.10087888196374542;-0.0975593639150209;-0.09598301822554091;-0.09385894599422244;-0.09381193766600598;-0.09203642274821609;-0.09201035174689004;-0.08894277153439388;-0.08472907689239001;-0.08455783359331868;-0.0843393474432506;-0.08200378303267322;-0.08077847463517535;-0.07835467385236215;-0.07698463724445928;-0.07608478985500045;-0.07307050356579799;-0.07262270451525535;-0.06907667108152486;-0.06853317764147455;-0.06391552377923362;-0.06346994565633016;-0.06027159524377177;-0.05930957434403847;-0.05847801950321898;-0.057687681404955116;-0.05599887538163436;-0.05539818274417737;-0.05387890738993977;-0.052723436673215045;-0.051939805807500246;-0.05188803126075608;-0.05160426377762441;-0.05066616715215155;-0.04886944625618534;-0.048351114225805125;-0.048349377841522816;-0.04654563547743286;-0.0458689166628398;-0.04559470864827883;-0.04525557286846651;-0.04232753795824876;-0.04154637011803167;-0.03956381136779333;-0.038621776889568395;-0.03425524202862066;-0.034233504205265386;-0.024856635669156312;-0.02464598271042098;-0.019583949248680246;-0.019500517736165648;-0.019105424969064762;-0.018406293574195463;-0.01834670995752122;-0.0182323200287914;-0.018070926268445208;-0.01665358817503126;-0.014589885081008079;-0.013784942838513278;-0.013361963322491356;-0.01284454520003732;-0.011723917196963193;-0.007630344157010971;-0.003977470792274137;-0.0017870086977260847;0.002450980392156863;0.003907171519670416;0.005597989264813456;0.007912961338708075;0.009263979963444817;0.00969093927330477;0.010781014618660305;0.013092708325082584;0.013096558162159625;0.013663859566314968;0.019936325726929157;0.02019568055432318;0.020231105220765176;0.020573257386702792;0.021511503926628896;0.024397501823713332;0.024869119662329988;0.027866837684974537;0.028794911948194554;0.0315250166976531;0.03278068602147254;0.03302104254714885;0.033806170189140665;0.03508771929824562;0.035622256882380035;0.036314330484496816;0.03786897013185903;0.03960590171906697;0.04012785536235895;0.04162225293908898;0.041716650527009916;0.043422711223717755;0.04357129416852233;0.045556976422240096;0.04894001140736778;0.05042102843514493;0.05055798626114579;0.051027762369573355;0.055034622244938394;0.05526112469850587;0.055505894113413494;0.05626773003071053;0.05746420570978512;0.05795594821531939;0.05939820067993569;0.0611160428182972;0.06129899403403033;0.06353902693755907;0.06389262057580819;0.0643570165540457;0.06564042849676464;0.066655822540555;0.06860566066440155;0.06905331823889352;0.07182825766688263;0.0728828324834551;0.07940705203635676;0.08125707844072266;0.08314388226754385;0.08449015550951057;0.08571428571428573;0.08861057692106712;0.08956076586547287;0.08966988155902862;0.09238357123710576;0.09348670889902869;0.09434341575160708;0.09477842070814503;0.09599010198952614;0.09683794415422693;0.09697622757528537;0.09795721280850936;0.10161371700186575;0.10260250241925849;0.10307406435620363;0.10416654117644442;0.10625773296333589;0.10810843442640035;0.108787563138244;0.11595420713048968;0.11842125975601948;0.12033814797401632;0.1206438758202209;0.12321306285190782;0.12377086046320052;0.12469218181713736;0.126859712338433;0.1271891437668841;0.12763956939116486;0.12996407924650288;0.13425553332614418;0.1387250434560091;0.13895825652571064;0.14058832786145048;0.14594099883089584;0.1461853125224382;0.15439192930964135;0.1586788644597317;0.15962458128795923;0.16163878785483357;0.16216874328520064;0.16592847263069432;0.16601661793308067;0.16634433534625198;0.16900990060362703;0.170230709989872;0.1718679090424721;0.1727155144166055;0.17544203604399433;0.1766128889755047;0.18527083972118405;0.18787878787878787;0.1887485309396429;0.19047619047619052;0.19359513281734414;0.19633912258687136;0.19999999999999998;0.19999999999999998;0.20196612175517445;0.20650108321801208;0.21294347464634594;0.2159210531451678;0.21978021978021978;0.22627786434233255;0.22812655929714568;0.23032656523598508;0.23925936368239545;0.24166852374997846;0.24175824175824176;0.24598312358657093;0.24664959570509745;0.25;0.2511441707374727;0.2531072563322119;0.2548005906911571;0.25799614225633744;0.2581988897471611;0.26220189101436914;0.2637157233354941;0.2671034447860128;0.28615922133023775;0.2872281323269014;0.28743030285918214;0.2875963896032842;0.2887952213879524;0.2990359869909139;0.3046205233977213;0.3142857142857143;0.31852818171320035;0.3335621924974956;0.3342314791620244;0.3689813567091149;0.37276225102098004;0.3775828251857604;0.3841073548493913;0.39844110068646893;0.39999999999999997;0.39999999999999997;0.4090909090909091;0.4222482877358577;0.4285714285714286;0.4338154116867615;0.44955609683094155;0.4819183550460813;0.4840050193525542;0.49999999999999994;0.5124550258807803;0.5449856537425561;0.545544725589981;0.6071428571428572;0.62697118916282;0.7142857142857144;0.7714285714285715;0.7714285714285715;0.8660254037844387;0.9999999999999999;0.9999999999999999;0.9999999999999999;0.9999999999999999;0.9999999999999999;1.0
