;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;278.1;False;False;15.04;39.55;;;;0
1;278.2;False;False;31.78;84.27;;;29.82;1
2;288.1;False;False;20.02;20.5;;;;0
3;288.2;False;False;26.82;45.92;;;18.55;1
4;295.1;False;False;18.18;33.28;;;;0
5;295.2;False;False;40.03;46.6;;;25.84;2
6;293.2;False;False;35.1;38.42;;;31.49;1
7;293.1;False;False;68.25;163.68;;;28.81;1
8;312.1;False;False;14.5;51.64;;;;0
9;312.2;False;False;52.2;61.84;;;23.17;1
10;294.1;False;False;18.02;21.65;;;16.95;1
11;294.2;False;True;19.99;18.79;;;17.4;1
12;308.2;False;True;22.51;21.1;;;18.25;1
13;308.1;False;False;27.14;30.77;;;;0
14;279.1;False;False;28.87;28.92;;;26.64;1
15;279.2;False;False;24.89;215.42;;;;0
16;309.1;False;False;48.84;56.69;;;21.16;3
17;309.2;False;False;29.44;31.52;;;27.29;2
18;313.1;False;True;36.1;35.03;;;26.7;3
19;313.2;False;False;24.92;64.8;;;22.81;2
20;285.2;False;False;19.57;21.4;;;16.43;1
21;285.1;False;False;26.94;63.86;;;24.07;2
22;296.2;False;False;12.43;55.25;;;;0
23;296.1;False;False;56.86;58.34;;;12.96;2
24;283.2;False;False;28.88;42.0;;;23.57;4
25;283.1;False;False;23.65;47.18;;;;0
26;300.1;False;False;18.99;23.5;;;;0
27;300.2;False;False;32.9;37.96;;;;0
28;275.1;False;False;18.59;18.83;;;;0
29;275.2;False;False;20.56;44.57;;;;0
30;276.1;False;True;21.9;21.07;;;19.64;1
31;276.2;False;False;18.69;62.26;;;;0
32;310.2;False;True;20.89;18.28;;;;0
33;310.1;False;False;17.39;225.18;;;;0
34;306.2;False;True;22.01;20.83;;;;0
35;306.1;False;False;28.76;42.47;;;26.87;1
36;298.2;False;False;12.3;19.75;;;;0
37;298.1;False;False;21.43;21.99;;;;0
38;315.2;False;False;5.53;110.34;;;;0
39;315.1;False;False;9.49;22.53;;;;0
