;phi-1_5;roberta-base;bert-large-uncased;Meta-Llama-3-8B-Instruct;roberta-large;Mistral-7B-Instruct-v0.1;bert-base-cased;Eurus-RM-7b;UltraRM-13b;Llama-3.1-8B-Instruct;Llama-2-7b-hf;Mistral-7B-v0.1;Llama-3.1-8B;QRM-Llama3.1-8B;bert-base-uncased;Meta-Llama-3-8B;Llama-2-7b-chat-hf
mean;0.2150857778369448;0.353983087106835;0.3905641517064174;0.2699193693902502;0.3756101542436486;0.3055842852158354;0.3683990837445419;0.30468067901002;0.2886650540188107;0.2760681423901395;0.3352081746362742;0.2961016284041485;0.280187393542314;0.2760183039114448;0.3858426757158957;0.2810541467525866;0.3168593281473449
std;0.1462660329597828;0.1474748227171751;0.1567629338856837;0.1780215103670612;0.1495648909038757;0.1724404504731629;0.1776325941136216;0.1705138572144682;0.1710388501712036;0.1775226864791753;0.1516578805466916;0.1761144183483673;0.175922619791488;0.1786252533780488;0.1696580513511229;0.1796478548570231;0.16354147401942
