;1;2;3;4;5;6;7;8
11;0.2924109863191467;0.2510409879890508;0.2984875980810657;0.2737570288058457;0.23189799188979113;0.2915770631450446;0.2636676483426383;0.41141972494757834
10;0.2652427798386435;0.22432876232215454;0.2756875399325804;0.2555901837726551;0.25002137627268084;0.25705124785420946;0.2390919384461705;0.31144439525894096
9;0.24821861427523315;0.2229633979225827;0.26378327782148664;0.19694333631589836;0.21900867192845547;0.24430794958479485;0.2406068556972199;0.3210397845345066
8;0.2150892404831641;0.19872643315903307;0.1993516585064398;0.15385116285261877;0.16779600420698984;0.23136700207925134;0.18333140961613997;0.31515903845348264
7;0.1391258000599343;0.18644284550047519;0.15871288526109686;0.12090135617658117;0.09393154962129528;0.20002579511077537;0.09836223016026835;0.2935900332690477
6;0.23590111027638302;0.274187875190452;0.25374381960807946;0.25445495393322926;0.21711239088111928;0.28838476181508116;0.2579963423511663;0.3659923885063844
5;0.23851105096754358;0.207065664528223;0.2733532608525434;0.22703325199464777;0.18727619629900566;0.2365278310459235;0.22652656726368445;0.33606549165427096
4;0.1900854748236496;0.17968932746815028;0.24459329476526756;0.19571536237792342;0.17934496491424332;0.21264577266662302;0.20886761818996655;0.2772445330944728
3;0.16384906592562082;0.11069520091909514;0.1726784457957418;0.1109852813309386;0.06886497454587688;0.14099973225480544;0.1228354108562974;0.17747834633432383
2;0.14962953554827485;0.14788546562764704;0.19527661462632917;0.13913435945694164;0.05343072489247428;0.14280433784114552;0.10384234919694571;0.2397249267167007
1;0.09859232815143465;0.040512395502246445;0.12138693490016368;0.05089847545270952;-0.03381636340880662;0.09607656761170624;-0.008271252335377404;0.21544006917799013
0;0.40724940333602566;0.3286146409560807;0.4240594806977009;0.3054280098096766;0.33565965195362707;0.40939804489310627;0.38080473906207357;0.4184833723326996
