;1;2;3;4;5;6;7;8
11;0.3087717426298374;0.17871635703518268;0.29685383015516065;0.2207367611582397;0.23688839817212867;0.2267959137564842;0.2784301547076694;0.29363131917651575
10;0.27335568022851425;0.17491011171988471;0.2984325040721493;0.1031578662665861;0.23917783591444552;0.22328099852634678;0.23988028169283676;0.21901207427556907
9;0.23013429426481088;0.1659424999776358;0.3198869539734778;0.15183606534778482;0.2114025940159892;0.21949707651588948;0.24551863933462822;0.2286412349313194
8;0.22668779430890568;0.16004805609417896;0.22311228183553858;0.13274690118128402;0.18066322510057398;0.12658194895068414;0.17977693414109963;0.15253615249065525
7;0.15004561585349313;0.11814555255338004;0.18271746493004393;0.10407062528721431;0.11699039040967553;0.1588685724557296;0.13712531549500712;0.17490763513027183
6;0.23457396938883457;0.19379512732460638;0.29492493414937854;0.19200822042547439;0.2117451118244685;0.25752976226955265;0.27170499056251807;0.23850048261414053
5;0.23632625429617002;0.15555253252869056;0.29317378290586077;0.20210349490547133;0.20620140935509643;0.21335026961859932;0.22086871509756156;0.2496429208091044
4;0.18369368300248395;0.15862133295468786;0.24969918636061322;0.1451003998433749;0.20618019994697706;0.1939009561017527;0.19856415237077255;0.21332007514377274
3;0.12791586212904038;0.11184945348842354;0.2106077039548885;0.025515996846053813;0.12528883546346128;0.07997296637300777;0.1360704532560435;0.16799803590313206
2;0.13289331428012569;0.15102817728968887;0.2428617977598801;0.11682076873157765;0.1280925990504905;0.11401184953954531;0.13537461098532394;0.18921708515880628
1;0.05680112143772522;0.008928922944589645;0.1609629992784855;0.06202341414599275;0.05703550569354234;0.03294033215561995;0.052279752097247494;0.14411754352856906
0;0.37006626268384873;0.2736196636889397;0.3893990382682608;0.2919182601373831;0.33075689112643625;0.3290313254487097;0.3604869793664095;0.3462124334229083
