;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;718.2;False;True;19.36;19.14;;;;0
1;718.1;False;False;22.33;31.36;;;;0
2;691.1;False;False;23.41;31.96;;;;0
3;691.2;False;False;24.59;33.51;;;;0
4;699.1;False;False;25.77;51.49;;;;0
5;699.2;False;False;25.67;52.63;;;;0
6;706.3;False;True;26.58;21.12;;;;0
7;706.1;False;False;28.51;37.04;;;27.33;1
8;697.3;False;False;25.51;27.46;;;;0
9;697.1;False;False;33.42;36.97;;;;0
10;711.1;False;True;33.81;29.01;;;;0
11;711.2;False;False;25.74;131.68;;;;0
12;698.3;False;True;35.31;24.82;;;;0
13;698.1;False;False;26.63;30.66;;;;0
14;712.3;False;False;31.87;34.97;;;;0
15;712.1;False;False;33.54;48.7;;;30.89;1
16;700.2;False;False;25.42;32.7;;;;0
17;700.1;False;True;26.12;25.12;;;;0
18;705.4;False;False;35.87;36.43;;;31.64;1
19;705.1;False;False;27.2;72.46;;;;0
20;681.1;False;False;27.42;53.1;;;24.32;1
21;681.2;False;True;26.85;26.33;;;25.44;1
22;682.3;False;False;22.69;26.22;;;;0
23;682.1;False;True;28.26;25.47;;;;0
24;690.1;False;False;28.19;33.7;;;;0
25;690.3;False;False;38.27;45.71;;;;0
26;679.1;False;False;36.86;40.32;;;35.55;1
27;679.4;False;False;28.0;44.45;;;;0
28;688.2;False;False;35.38;41.64;;;27.22;6
29;688.1;False;False;24.88;33.19;;;22.42;1
30;680.3;False;False;33.6;34.35;;;;0
31;680.1;False;False;41.58;52.09;;;33.59;3
32;683.3;False;False;24.82;25.39;;;;0
33;683.1;False;True;39.72;21.69;;;;0
34;716.3;False;True;35.38;22.9;;;;0
35;716.1;False;True;40.86;33.93;;;23.54;8
36;689.1;False;True;38.07;36.95;;;29.59;2
37;689.3;False;True;36.64;19.86;;;;0
38;687.1;False;True;73.49;35.17;;;16.06;3
39;687.3;False;False;33.67;45.49;;;32.15;1
40;693.1;False;True;51.55;50.7;;;33.23;3
41;693.3;False;False;48.11;71.5;;;34.94;1
42;692.2;False;False;85.5;120.04;;;49.69;2
43;692.1;False;True;35.39;32.87;;;31.01;1
44;720.4;False;True;62.06;13.4;;;;0
45;720.1;False;True;34.98;29.64;;;20.82;3
46;714.1;False;True;32.81;26.38;;;;0
47;714.2;False;True;41.66;40.18;;;33.59;1
48;703.3;False;False;29.98;36.63;;;;0
49;703.1;False;True;65.77;63.62;;;29.87;1
50;701.1;False;True;30.77;22.85;;;;0
51;701.2;False;False;29.04;133.97;;;;0
52;704.4;False;True;30.53;18.17;;;;0
53;704.1;False;False;27.58;35.32;;;24.81;1
54;708.1;False;True;33.63;33.32;;;26.6;3
55;708.2;False;False;31.06;33.44;;;29.79;1
56;678.3;False;True;31.32;29.13;;;;0
57;678.1;False;True;29.56;24.22;;;;0
58;709.4;False;True;39.52;23.3;;;;0
59;709.1;False;False;36.28;46.11;;;33.78;1
