;number;text;x1;y1;x2;y2;fixations;fix_duration;y;diff_y;line;distance;fix_number;fix_duration_avg;pupil_l;pupil_r;pupil
0;0;Oof,,;146;503;199;524;[];0.0;513.5;;1;1408.1374484810176;0;;;;
1;1;come;222;507;278;521;[1144, 1145, 1155];0.9544;514.0;0.5;1;1392.2331254982516;3;0.3181;16.5216;16.7089;16.62
2;2;on,,;297;507;334;524;[1156];0.2429;515.5;1.5;1;1378.537030991417;1;0.2429;15.8576;15.648;15.75
3;3;you;357;507;398;526;[1154];0.2911;516.5;1.0;1;1366.9558092837642;1;0.2911;16.2602;15.9585;16.11
4;4;got,ta;416;504;488;526;[1146, 1157];0.6149;515.0;1.5;1;1358.435509155525;2;0.3074;16.8541;15.94;16.4
5;5;give;506;502;563;526;[1153, 1162];0.5009;514.0;1.0;1;1355.8654330480701;2;0.2504;10.5859;10.6669;10.63
6;6;me;581;507;608;521;[1158];0.2911;514.0;0.0;1;1360.865238491538;1;0.2911;15.7146;15.4903;15.6
7;7;a;627;507;638;521;[1147];0.2589;514.0;0.0;1;1361.9462575794357;1;0.2589;16.7585;16.8672;16.81
8;8;bit;657;502;698;521;[1159];0.3558;511.5;2.5;1;1363.4871559844746;1;0.3558;16.2319;14.8934;15.56
9;9;more;716;507;773;521;[1148];0.323;514.0;2.5;1;1368.432486217216;1;0.323;18.2767;16.5878;17.43
10;10;than;792;502;848;521;[1160];0.3717;511.5;2.5;1;1378.502991122845;1;0.3717;16.4337;15.6338;16.03
11;11;that;867;502;923;521;[1149, 1151];0.7443;511.5;0.0;1;1392.4419329130499;2;0.3721;16.8862;15.7264;16.31
12;12;to;942;504;968;521;[1150, 1161];0.6796;512.5;1.0;1;1410.2370639486933;2;0.3398;16.7728;15.7996;16.29
13;13;work;985;502;1044;521;[];0.0;511.5;1.0;1;1422.1241247284397;0;;;;
14;14;with,.;1060;502;1129;521;[1152];0.3236;511.5;0.0;1;1445.6870567777214;1;0.3236;14.8416;12.9125;13.88
