;number;text;x1;y1;x2;y2;fixations;fix_duration;y;diff_y;line;distance;fix_number;fix_duration_avg;pupil_l;pupil_r;pupil
0;0;Dear;34;206;90;224;[1281];0.3071;215.0;;1;825.3668449843292;1;0.3071;16.6775;16.5014;16.59
1;1;[,Robot,'s;112;205;225;229;[1282];0.2262;217.0;2.0;1;715.9178321563066;1;0.2262;15.3277;15.2331;15.28
2;2;Love;245;206;300;224;[1283];0.2913;215.0;2.0;1;664.7745338078059;1;0.2913;16.4616;16.2246;16.34
3;3;Interest,],,;320;205;461;229;[1284];0.2748;217.0;2.0;1;559.8757233524112;1;0.2748;17.3356;15.6086;16.47
4;4;Roses;484;206;555;224;[];0.0;215.0;2.0;1;519.5336724403777;0;;;;
5;5;are;574;210;615;224;[1285];0.2589;217.0;2.0;1;498.3395517108647;1;0.2589;16.8636;15.7972;16.33
6;6;red,,;637;205;686;228;[];0.0;216.5;0.5;1;477.83778134361205;0;;;;
7;7;violets;708;205;810;224;[1286];0.3236;214.5;2.0;1;475.29984;1;0.3236;16.201;15.5573;15.88
8;8;are;829;210;870;224;[1287];0.2752;217.0;2.5;1;479.6195008539432;1;0.2752;15.6891;15.2306;15.46
9;9;blue,,;889;205;956;228;[1288];0.275;216.5;0.5;1;487.3966955975241;1;0.275;16.2191;15.4603;15.84
10;10;I,'m;980;206;1021;224;[1290];0.21;215.0;1.5;1;521.7585617882908;1;0.21;17.0369;11.7891;14.41
11;11;just;1039;205;1095;229;[1289];0.3073;217.0;2.0;1;544.4094224013629;1;0.3073;15.904;15.3344;15.62
12;12;a;1114;210;1125;224;[];0.0;217.0;0.0;1;589.8037449858941;0;;;;
13;13;robot,,;1147;205;1226;228;[];0.0;216.5;0.5;1;606.811295609587;0;;;;
14;14;but;27;304;67;323;[];0.0;313.5;97.0;2;792.7740427633751;0;;;;
15;15;my;85;309;113;328;[];0.0;318.5;5.0;2;750.1156175413132;0;;;;
