;number;text;x1;y1;x2;y2;fixations;fix_duration;y;diff_y;line;distance;fix_number;fix_duration_avg;pupil_l;pupil_r;pupil
0;0;the;79;403;120;422;[];0.0;412.5;;1;410.5109779908649;0;;;;
1;1;value;137;403;210;422;[];0.0;412.5;0.0;1;333.24124452266756;0;;;;
2;2;of;228;404;255;422;[2841, 2877];0.6141;413.0;0.5;1;297.3044887838331;2;0.3071;17.5699;16.2523;16.91
3;3;the;274;403;315;422;[];0.0;412.5;0.5;1;253.923088849786;0;;;;
4;4;variable;332;403;450;422;[2876, 2878];0.4695;412.5;0.0;1;192.3476827284808;2;0.2347;16.8494;16.4682;16.66
5;5;a;469;408;480;422;[2842, 2886];0.7124;415.0;2.5;1;189.31750856964157;2;0.3562;17.1078;16.0184;16.56
6;6;is;499;403;524;422;[2880];0.4207;412.5;2.5;1;189.84114793957687;1;0.4207;17.963;15.8726;16.92
7;7;not;544;405;584;422;[2843, 2879, 2884];1.0512;413.5;1.0;1;198.4688727509085;3;0.3504;17.1156;16.0281;16.57
8;8;updated;604;403;705;427;[2844, 2881, 2883, 2885];1.0692;415.0;1.5;1;219.74798552733992;4;0.2673;16.7261;15.5212;16.12
9;9;within;722;403;809;422;[];0.0;412.5;2.5;1;303.8682646329101;0;;;;
10;10;the;829;403;870;422;[2845, 2882];0.5339;412.5;0.0;1;393.2658508579359;2;0.267;16.9935;16.5034;16.75
11;11;loop,.;888;403;956;427;[];0.0;415.0;2.5;1;443.7892107108103;0;;;;
12;12;Therefore,,;977;403;1121;425;[2846, 2847];0.4852;414.0;1.0;1;526.7579661157494;2;0.2426;15.8224;14.2332;15.03
13;13;the;1144;403;1185;422;[];0.0;412.5;1.5;1;686.3378566355029;0;;;;
14;14;stopping;56;502;172;526;[];0.0;514.0;101.5;2;323.70764935511846;0;;;;
15;15;condition;190;502;321;521;[2848];0.3558;511.5;2.5;2;186.56721297888504;1;0.3558;17.9041;17.256;17.58
16;16;of;340;503;366;521;[];0.0;512.0;0.5;2;148.7869515740834;0;;;;
17;17;the;385;502;426;521;[];0.0;511.5;0.5;2;107.44548831248632;0;;;;
18;18;loop;445;502;502;526;[2849];0.2585;514.0;2.5;2;85.26923076923072;1;0.2585;17.5494;16.9996;17.27
19;19;will;518;502;575;521;[];0.0;511.5;2.5;2;96.36335485395175;0;;;;
20;20;never;595;507;666;521;[];0.0;514.0;2.5;2;142.85837517873645;0;;;;
21;21;be;685;502;711;521;[2850];0.275;511.5;2.5;2;220.08857162221898;1;0.275;17.3465;17.103;17.22
22;22;satisfied,.;731;502;872;521;[2851];0.2752;511.5;0.0;2;262.7197384261575;1;0.2752;17.4084;16.4772;16.94
23;23;One;894;503;936;521;[];0.0;512.0;0.5;2;419.55088577991177;0;;;;
24;24;way;953;507;997;526;[];0.0;516.5;4.5;2;476.41765274915696;0;;;;
25;25;to;1015;504;1041;521;[2852, 2853];0.4685;512.5;4.0;2;538.3468652817703;2;0.2343;17.0743;16.8689;16.97
26;26;solve;1061;502;1131;521;[2859, 2860];0.3884;511.5;1.0;2;583.7465451364218;2;0.1942;15.8173;15.7562;15.79
27;27;this;1150;502;1206;521;[];0.0;511.5;0.0;2;671.8169716215187;0;;;;
28;28;issue;297;601;367;620;[];0.0;610.5;99.0;3;117.27520000000004;0;;;;
29;29;is;387;601;412;620;[2887];0.0649;610.5;0.0;3;72.27520000000004;1;0.0649;14.7677;10.2376;12.5
30;30;to;431;603;457;620;[2854];0.291;611.5;1.0;3;27.27520000000004;1;0.291;17.6399;17.2811;17.46
31;31;set;477;603;517;620;[2861, 2888];0.5657;611.5;0.0;3;0.0;2;0.2828;16.9244;16.2479;16.59
32;32;a;536;606;547;620;[2868];0.4209;613.0;1.5;3;51.72479999999996;1;0.4209;16.6203;15.6605;16.14
33;33;to;566;603;592;620;[2855, 2869];0.6958;611.5;1.5;3;81.72479999999996;2;0.3479;12.0252;13.3264;12.68
34;34;0;611;602;622;620;[2867, 2871];0.6957;611.0;0.5;3;126.72479999999996;2;0.3478;17.026;16.4568;16.74
35;35;at;641;603;667;620;[2862, 2872, 2873];1.6654;611.5;0.5;3;156.72479999999996;3;0.5551;17.6695;17.8385;17.75
36;36;the;686;601;727;620;[2856];0.2262;610.5;1.0;3;201.72479999999996;1;0.2262;17.3436;16.7043;17.02
37;37;end;746;601;787;620;[2863, 2865, 2866, 2870];0.8248;610.5;0.0;3;261.72479999999996;4;0.2062;16.2074;17.2855;16.75
38;38;of;806;602;832;620;[2857];0.3237;611.0;0.5;3;321.72479999999996;1;0.3237;17.3529;16.9498;17.15
39;39;the;851;601;892;620;[2864];0.3721;610.5;0.5;3;366.72479999999996;1;0.3721;17.3579;16.4558;16.91
40;40;loop,.;911;601;978;625;[2858, 2874, 2875];1.0352;613.0;2.5;3;426.72479999999996;3;0.3451;17.7036;17.6516;17.68
